Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000247.89492,SP1000247.22.89492,SY1000247.2026.89492,iPad1(1000247),247,01.06.26 18:34,Prod,A1000247.6470,Tisch 11,108,S1000247.89492,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000247.89493,SP1000247.22.89493,SY1000247.2026.89493,iPad1(1000247),247,01.06.26 18:34,Prod,A1000247.6470,Tisch 11,108,S1000247.89493,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000247.89494,SP1000247.22.89494,SY1000247.2026.89494,iPad1(1000247),247,01.06.26 20:41,Prod,A1000247.6471,Tisch 24,110,S1000247.89494,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000247.89495,SP1000247.22.89495,SY1000247.2026.89495,iPad1(1000247),247,01.06.26 20:41,Prod,A1000247.6471,Tisch 24,110,S1000247.89495,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000247.89496,SP1000247.22.89496,SY1000247.2026.89496,iPad1(1000247),247,01.06.26 19:40,Prod,A1000247.6472,,108,S1000247.89496,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000247.89497,SP1000247.22.89497,SY1000247.2026.89497,iPad1(1000247),247,01.06.26 20:05,Prod,A1000247.6473,Tisch 2,109,S1000247.89497,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000247.89498,SP1000247.22.89498,SY1000247.2026.89498,iPad1(1000247),247,01.06.26 20:05,Prod,A1000247.6473,Tisch 2,109,S1000247.89498,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000247.89499,SP1000247.22.89499,SY1000247.2026.89499,iPad1(1000247),247,01.06.26 20:05,Prod,A1000247.6473,Tisch 2,109,S1000247.89499,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000247.89500,SP1000247.22.89500,SY1000247.2026.89500,iPad1(1000247),247,01.06.26 11:12,Prod,A1000247.6474,Tisch 22,101,S1000247.89500,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000247.89501,SP1000247.22.89501,SY1000247.2026.89501,iPad1(1000247),247,01.06.26 11:12,Prod,A1000247.6474,Tisch 22,101,S1000247.89501,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000247.89502,SP1000247.22.89502,SY1000247.2026.89502,iPad1(1000247),247,01.06.26 11:12,Prod,A1000247.6474,Tisch 22,101,S1000247.89502,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000247.89503,SP1000247.22.89503,SY1000247.2026.89503,iPad1(1000247),247,01.06.26 19:58,Prod,A1000247.6475,Tisch 11,113,S1000247.89503,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
