Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000154.14489,SP1000154.24.14489,SY1000154.2026.14489,iPad1(1000154),154,01.06.26 11:30,Prod,A1000154.6836,Tisch 23,108,S1000154.14489,VOID,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000154.14490,SP1000154.24.14490,SY1000154.2026.14490,iPad1(1000154),154,01.06.26 11:30,Prod,A1000154.6836,Tisch 23,108,S1000154.14490,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000154.14491,SP1000154.24.14491,SY1000154.2026.14491,iPad1(1000154),154,01.06.26 11:30,Prod,A1000154.6836,Tisch 23,108,S1000154.14491,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000154.14492,SP1000154.24.14492,SY1000154.2026.14492,iPad1(1000154),154,01.06.26 11:37,Prod,A1000154.6837,Tisch 19,108,S1000154.14492,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000154.14493,SP1000154.24.14493,SY1000154.2026.14493,iPad1(1000154),154,01.06.26 11:37,Prod,A1000154.6837,Tisch 19,108,S1000154.14493,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000154.14494,SP1000154.24.14494,SY1000154.2026.14494,iPad1(1000154),154,01.06.26 11:37,Prod,A1000154.6837,Tisch 19,108,S1000154.14494,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000154.14495,SP1000154.24.14495,SY1000154.2026.14495,iPad1(1000154),154,01.06.26 11:33,Prod,A1000154.6838,Tisch 2,120,S1000154.14495,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000154.14496,SP1000154.24.14496,SY1000154.2026.14496,iPad1(1000154),154,01.06.26 12:05,Prod,A1000154.6839,Tisch 8,117,S1000154.14496,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000154.14497,SP1000154.24.14497,SY1000154.2026.14497,iPad1(1000154),154,01.06.26 12:05,Prod,A1000154.6839,Tisch 8,117,S1000154.14497,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000154.14498,SP1000154.24.14498,SY1000154.2026.14498,iPad1(1000154),154,01.06.26 12:05,Prod,A1000154.6839,Tisch 8,117,S1000154.14498,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
