Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000194.77430,SP1000194.18.77430,SY1000194.2026.77430,iPad1(1000194),194,01.06.26 20:44,Prod,A1000194.6598,Tisch 17,116,S1000194.77430,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000194.77431,SP1000194.18.77431,SY1000194.2026.77431,iPad1(1000194),194,01.06.26 20:44,Prod,A1000194.6598,Tisch 17,116,S1000194.77431,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000194.77432,SP1000194.18.77432,SY1000194.2026.77432,iPad1(1000194),194,01.06.26 17:32,Prod,A1000194.6599,,116,S1000194.77432,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000194.77433,SP1000194.18.77433,SY1000194.2026.77433,iPad1(1000194),194,01.06.26 17:15,Prod,A1000194.6600,Tisch 4,120,S1000194.77433,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000194.77434,SP1000194.18.77434,SY1000194.2026.77434,iPad1(1000194),194,01.06.26 17:15,Prod,A1000194.6600,Tisch 4,120,S1000194.77434,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000194.77435,SP1000194.18.77435,SY1000194.2026.77435,iPad1(1000194),194,01.06.26 19:19,Prod,A1000194.6601,Tisch 3,109,S1000194.77435,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000194.77436,SP1000194.18.77436,SY1000194.2026.77436,iPad1(1000194),194,01.06.26 10:18,Prod,A1000194.6602,Tisch 19,102,S1000194.77436,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000194.77437,SP1000194.18.77437,SY1000194.2026.77437,iPad1(1000194),194,01.06.26 13:43,Prod,A1000194.6603,Tisch 13,102,S1000194.77437,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000194.77438,SP1000194.18.77438,SY1000194.2026.77438,iPad1(1000194),194,01.06.26 13:43,Prod,A1000194.6603,Tisch 13,102,S1000194.77438,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000194.77439,SP1000194.18.77439,SY1000194.2026.77439,iPad1(1000194),194,01.06.26 13:43,Prod,A1000194.6603,Tisch 13,102,S1000194.77439,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000194.77440,SP1000194.18.77440,SY1000194.2026.77440,iPad1(1000194),194,01.06.26 11:38,Prod,A1000194.6604,Tisch 20,120,S1000194.77440,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000194.77441,SP1000194.18.77441,SY1000194.2026.77441,iPad1(1000194),194,01.06.26 11:38,Prod,A1000194.6604,Tisch 20,120,S1000194.77441,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000194.77442,SP1000194.18.77442,SY1000194.2026.77442,iPad1(1000194),194,01.06.26 11:38,Prod,A1000194.6604,Tisch 20,120,S1000194.77442,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000194.77443,SP1000194.18.77443,SY1000194.2026.77443,iPad1(1000194),194,01.06.26 13:01,Prod,A1000194.6605,Tisch 1,102,S1000194.77443,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000194.77444,SP1000194.18.77444,SY1000194.2026.77444,iPad1(1000194),194,01.06.26 20:31,Prod,A1000194.6606,,120,S1000194.77444,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000194.77445,SP1000194.18.77445,SY1000194.2026.77445,iPad1(1000194),194,01.06.26 09:00,Prod,A1000194.6607,,113,S1000194.77445,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000194.77446,SP1000194.18.77446,SY1000194.2026.77446,iPad1(1000194),194,01.06.26 09:00,Prod,A1000194.6607,,113,S1000194.77446,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000194.77447,SP1000194.18.77447,SY1000194.2026.77447,iPad1(1000194),194,01.06.26 09:00,Prod,A1000194.6607,,113,S1000194.77447,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000194.77448,SP1000194.18.77448,SY1000194.2026.77448,iPad1(1000194),194,01.06.26 18:10,Prod,A1000194.6608,Tisch 24,120,S1000194.77448,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000194.77449,SP1000194.18.77449,SY1000194.2026.77449,iPad1(1000194),194,01.06.26 10:42,Prod,A1000194.6609,Tisch 11,109,S1000194.77449,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000194.77450,SP1000194.18.77450,SY1000194.2026.77450,iPad1(1000194),194,01.06.26 10:42,Prod,A1000194.6609,Tisch 11,109,S1000194.77450,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000194.77451,SP1000194.18.77451,SY1000194.2026.77451,iPad1(1000194),194,01.06.26 12:54,Prod,A1000194.6610,Tisch 19,104,S1000194.77451,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000194.77452,SP1000194.18.77452,SY1000194.2026.77452,iPad1(1000194),194,01.06.26 12:54,Prod,A1000194.6610,Tisch 19,104,S1000194.77452,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000194.77453,SP1000194.18.77453,SY1000194.2026.77453,iPad1(1000194),194,01.06.26 13:34,Prod,A1000194.6611,Tisch 7,104,S1000194.77453,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
