Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000038.56944,SP1000038.14.56944,SY1000038.2026.56944,iPad1(1000038),38,01.06.26 18:42,Prod,A1000038.6949,Tisch 14,114,S1000038.56944,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000038.56945,SP1000038.14.56945,SY1000038.2026.56945,iPad1(1000038),38,01.06.26 18:42,Prod,A1000038.6949,Tisch 14,114,S1000038.56945,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000038.56946,SP1000038.14.56946,SY1000038.2026.56946,iPad1(1000038),38,01.06.26 18:42,Prod,A1000038.6949,Tisch 14,114,S1000038.56946,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000038.56947,SP1000038.14.56947,SY1000038.2026.56947,iPad1(1000038),38,01.06.26 17:20,Prod,A1000038.6950,Tisch 13,116,S1000038.56947,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000038.56948,SP1000038.14.56948,SY1000038.2026.56948,iPad1(1000038),38,01.06.26 17:20,Prod,A1000038.6950,Tisch 13,116,S1000038.56948,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000038.56949,SP1000038.14.56949,SY1000038.2026.56949,iPad1(1000038),38,01.06.26 19:34,Prod,A1000038.6951,Tisch 3,103,S1000038.56949,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000038.56950,SP1000038.14.56950,SY1000038.2026.56950,iPad1(1000038),38,01.06.26 19:34,Prod,A1000038.6951,Tisch 3,103,S1000038.56950,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000038.56951,SP1000038.14.56951,SY1000038.2026.56951,iPad1(1000038),38,01.06.26 18:20,Prod,A1000038.6952,Tisch 17,103,S1000038.56951,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000038.56952,SP1000038.14.56952,SY1000038.2026.56952,iPad1(1000038),38,01.06.26 11:42,Prod,A1000038.6953,,103,S1000038.56952,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000038.56953,SP1000038.14.56953,SY1000038.2026.56953,iPad1(1000038),38,01.06.26 11:42,Prod,A1000038.6953,,103,S1000038.56953,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
