Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000297.45638,SP1000297.15.45638,SY1000297.2026.45638,iPad1(1000297),297,01.06.26 17:36,Prod,A1000297.6042,Tisch 15,106,S1000297.45638,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000297.45639,SP1000297.15.45639,SY1000297.2026.45639,iPad1(1000297),297,01.06.26 14:31,Prod,A1000297.6043,Tisch 5,120,S1000297.45639,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000297.45640,SP1000297.15.45640,SY1000297.2026.45640,iPad1(1000297),297,01.06.26 14:31,Prod,A1000297.6043,Tisch 5,120,S1000297.45640,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000297.45641,SP1000297.15.45641,SY1000297.2026.45641,iPad1(1000297),297,01.06.26 14:31,Prod,A1000297.6043,Tisch 5,120,S1000297.45641,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000297.45642,SP1000297.15.45642,SY1000297.2026.45642,iPad1(1000297),297,01.06.26 19:48,Prod,A1000297.6044,Tisch 3,108,S1000297.45642,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000297.45643,SP1000297.15.45643,SY1000297.2026.45643,iPad1(1000297),297,01.06.26 19:48,Prod,A1000297.6044,Tisch 3,108,S1000297.45643,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000297.45644,SP1000297.15.45644,SY1000297.2026.45644,iPad1(1000297),297,01.06.26 19:48,Prod,A1000297.6044,Tisch 3,108,S1000297.45644,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000297.45645,SP1000297.15.45645,SY1000297.2026.45645,iPad1(1000297),297,01.06.26 18:28,Prod,A1000297.6045,Tisch 7,120,S1000297.45645,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000297.45646,SP1000297.15.45646,SY1000297.2026.45646,iPad1(1000297),297,01.06.26 13:20,Prod,A1000297.6046,Tisch 2,106,S1000297.45646,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000297.45647,SP1000297.15.45647,SY1000297.2026.45647,iPad1(1000297),297,01.06.26 17:09,Prod,A1000297.6047,Tisch 20,106,S1000297.45647,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
