Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000250.67272,SP1000250.49.67272,SY1000250.2026.67272,iPad1(1000250),250,01.06.26 14:52,Prod,A1000250.6051,Tisch 17,106,S1000250.67272,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000250.67273,SP1000250.49.67273,SY1000250.2026.67273,iPad1(1000250),250,01.06.26 10:01,Prod,A1000250.6052,Tisch 14,106,S1000250.67273,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000250.67274,SP1000250.49.67274,SY1000250.2026.67274,iPad1(1000250),250,01.06.26 20:30,Prod,A1000250.6053,Tisch 3,106,S1000250.67274,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000250.67275,SP1000250.49.67275,SY1000250.2026.67275,iPad1(1000250),250,01.06.26 20:30,Prod,A1000250.6053,Tisch 3,106,S1000250.67275,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000250.67276,SP1000250.49.67276,SY1000250.2026.67276,iPad1(1000250),250,01.06.26 16:25,Prod,A1000250.6054,Tisch 22,110,S1000250.67276,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000250.67277,SP1000250.49.67277,SY1000250.2026.67277,iPad1(1000250),250,01.06.26 16:25,Prod,A1000250.6054,Tisch 22,110,S1000250.67277,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000250.67278,SP1000250.49.67278,SY1000250.2026.67278,iPad1(1000250),250,01.06.26 16:25,Prod,A1000250.6054,Tisch 22,110,S1000250.67278,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000250.67279,SP1000250.49.67279,SY1000250.2026.67279,iPad1(1000250),250,01.06.26 11:34,Prod,A1000250.6055,Tisch 14,110,S1000250.67279,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000250.67280,SP1000250.49.67280,SY1000250.2026.67280,iPad1(1000250),250,01.06.26 11:34,Prod,A1000250.6055,Tisch 14,110,S1000250.67280,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000250.67281,SP1000250.49.67281,SY1000250.2026.67281,iPad1(1000250),250,01.06.26 12:41,Prod,A1000250.6056,Tisch 2,113,S1000250.67281,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
