Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000273.72518,SP1000273.27.72518,SY1000273.2026.72518,iPad1(1000273),273,01.06.26 12:18,Prod,A1000273.6955,Tisch 6,109,S1000273.72518,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000273.72519,SP1000273.27.72519,SY1000273.2026.72519,iPad1(1000273),273,01.06.26 12:18,Prod,A1000273.6955,Tisch 6,109,S1000273.72519,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000273.72520,SP1000273.27.72520,SY1000273.2026.72520,iPad1(1000273),273,01.06.26 12:18,Prod,A1000273.6955,Tisch 6,109,S1000273.72520,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000273.72521,SP1000273.27.72521,SY1000273.2026.72521,iPad1(1000273),273,01.06.26 10:01,Prod,A1000273.6956,Tisch 7,114,S1000273.72521,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000273.72522,SP1000273.27.72522,SY1000273.2026.72522,iPad1(1000273),273,01.06.26 12:15,Prod,A1000273.6957,Tisch 23,120,S1000273.72522,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000273.72523,SP1000273.27.72523,SY1000273.2026.72523,iPad1(1000273),273,01.06.26 12:15,Prod,A1000273.6957,Tisch 23,120,S1000273.72523,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000273.72524,SP1000273.27.72524,SY1000273.2026.72524,iPad1(1000273),273,01.06.26 18:20,Prod,A1000273.6958,Tisch 18,113,S1000273.72524,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000273.72525,SP1000273.27.72525,SY1000273.2026.72525,iPad1(1000273),273,01.06.26 17:20,Prod,A1000273.6959,Tisch 9,120,S1000273.72525,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000273.72526,SP1000273.27.72526,SY1000273.2026.72526,iPad1(1000273),273,01.06.26 17:20,Prod,A1000273.6959,Tisch 9,120,S1000273.72526,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000273.72527,SP1000273.27.72527,SY1000273.2026.72527,iPad1(1000273),273,01.06.26 17:20,Prod,A1000273.6959,Tisch 9,120,S1000273.72527,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000273.72528,SP1000273.27.72528,SY1000273.2026.72528,iPad1(1000273),273,01.06.26 11:24,Prod,A1000273.6960,Tisch 4,111,S1000273.72528,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000273.72529,SP1000273.27.72529,SY1000273.2026.72529,iPad1(1000273),273,01.06.26 11:24,Prod,A1000273.6960,Tisch 4,111,S1000273.72529,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000273.72530,SP1000273.27.72530,SY1000273.2026.72530,iPad1(1000273),273,01.06.26 11:24,Prod,A1000273.6960,Tisch 4,111,S1000273.72530,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000273.72531,SP1000273.27.72531,SY1000273.2026.72531,iPad1(1000273),273,01.06.26 17:36,Prod,A1000273.6961,Tisch 10,112,S1000273.72531,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000273.72532,SP1000273.27.72532,SY1000273.2026.72532,iPad1(1000273),273,01.06.26 17:36,Prod,A1000273.6961,Tisch 10,112,S1000273.72532,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000273.72533,SP1000273.27.72533,SY1000273.2026.72533,iPad1(1000273),273,01.06.26 20:24,Prod,A1000273.6962,Tisch 10,102,S1000273.72533,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000273.72534,SP1000273.27.72534,SY1000273.2026.72534,iPad1(1000273),273,01.06.26 20:24,Prod,A1000273.6962,Tisch 10,102,S1000273.72534,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
