Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000248.56248,SP1000248.26.56248,SY1000248.2026.56248,iPad1(1000248),248,01.06.26 10:15,Prod,A1000248.6668,Tisch 18,104,S1000248.56248,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000248.56249,SP1000248.26.56249,SY1000248.2026.56249,iPad1(1000248),248,01.06.26 12:37,Prod,A1000248.6669,Tisch 8,117,S1000248.56249,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000248.56250,SP1000248.26.56250,SY1000248.2026.56250,iPad1(1000248),248,01.06.26 11:54,Prod,A1000248.6670,Tisch 9,105,S1000248.56250,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000248.56251,SP1000248.26.56251,SY1000248.2026.56251,iPad1(1000248),248,01.06.26 16:12,Prod,A1000248.6671,Tisch 13,119,S1000248.56251,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000248.56252,SP1000248.26.56252,SY1000248.2026.56252,iPad1(1000248),248,01.06.26 16:12,Prod,A1000248.6671,Tisch 13,119,S1000248.56252,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000248.56253,SP1000248.26.56253,SY1000248.2026.56253,iPad1(1000248),248,01.06.26 16:12,Prod,A1000248.6671,Tisch 13,119,S1000248.56253,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000248.56254,SP1000248.26.56254,SY1000248.2026.56254,iPad1(1000248),248,01.06.26 12:37,Prod,A1000248.6672,Tisch 11,119,S1000248.56254,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000248.56255,SP1000248.26.56255,SY1000248.2026.56255,iPad1(1000248),248,01.06.26 12:37,Prod,A1000248.6672,Tisch 11,119,S1000248.56255,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000248.56256,SP1000248.26.56256,SY1000248.2026.56256,iPad1(1000248),248,01.06.26 19:14,Prod,A1000248.6673,,104,S1000248.56256,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000248.56257,SP1000248.26.56257,SY1000248.2026.56257,iPad1(1000248),248,01.06.26 11:33,Prod,A1000248.6674,Tisch 23,117,S1000248.56257,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000248.56258,SP1000248.26.56258,SY1000248.2026.56258,iPad1(1000248),248,01.06.26 11:33,Prod,A1000248.6674,Tisch 23,117,S1000248.56258,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000248.56259,SP1000248.26.56259,SY1000248.2026.56259,iPad1(1000248),248,01.06.26 11:31,Prod,A1000248.6675,,119,S1000248.56259,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000248.56260,SP1000248.26.56260,SY1000248.2026.56260,iPad1(1000248),248,01.06.26 11:31,Prod,A1000248.6675,,119,S1000248.56260,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000248.56261,SP1000248.26.56261,SY1000248.2026.56261,iPad1(1000248),248,01.06.26 11:31,Prod,A1000248.6675,,119,S1000248.56261,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000248.56262,SP1000248.26.56262,SY1000248.2026.56262,iPad1(1000248),248,01.06.26 17:02,Prod,A1000248.6676,Tisch 6,104,S1000248.56262,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000248.56263,SP1000248.26.56263,SY1000248.2026.56263,iPad1(1000248),248,01.06.26 17:02,Prod,A1000248.6676,Tisch 6,104,S1000248.56263,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000248.56264,SP1000248.26.56264,SY1000248.2026.56264,iPad1(1000248),248,01.06.26 17:02,Prod,A1000248.6676,Tisch 6,104,S1000248.56264,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000248.56265,SP1000248.26.56265,SY1000248.2026.56265,iPad1(1000248),248,01.06.26 12:24,Prod,A1000248.6677,Tisch 22,115,S1000248.56265,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000248.56266,SP1000248.26.56266,SY1000248.2026.56266,iPad1(1000248),248,01.06.26 12:24,Prod,A1000248.6677,Tisch 22,115,S1000248.56266,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000248.56267,SP1000248.26.56267,SY1000248.2026.56267,iPad1(1000248),248,01.06.26 12:24,Prod,A1000248.6677,Tisch 22,115,S1000248.56267,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000248.56268,SP1000248.26.56268,SY1000248.2026.56268,iPad1(1000248),248,01.06.26 11:38,Prod,A1000248.6678,,106,S1000248.56268,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000248.56269,SP1000248.26.56269,SY1000248.2026.56269,iPad1(1000248),248,01.06.26 12:23,Prod,A1000248.6679,Tisch 19,111,S1000248.56269,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000248.56270,SP1000248.26.56270,SY1000248.2026.56270,iPad1(1000248),248,01.06.26 12:23,Prod,A1000248.6679,Tisch 19,111,S1000248.56270,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000248.56271,SP1000248.26.56271,SY1000248.2026.56271,iPad1(1000248),248,01.06.26 18:01,Prod,A1000248.6680,Tisch 21,106,S1000248.56271,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000248.56272,SP1000248.26.56272,SY1000248.2026.56272,iPad1(1000248),248,01.06.26 18:01,Prod,A1000248.6680,Tisch 21,106,S1000248.56272,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000248.56273,SP1000248.26.56273,SY1000248.2026.56273,iPad1(1000248),248,01.06.26 16:28,Prod,A1000248.6681,Tisch 12,117,S1000248.56273,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000248.56274,SP1000248.26.56274,SY1000248.2026.56274,iPad1(1000248),248,01.06.26 10:19,Prod,A1000248.6682,Tisch 3,111,S1000248.56274,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000248.56275,SP1000248.26.56275,SY1000248.2026.56275,iPad1(1000248),248,01.06.26 10:19,Prod,A1000248.6682,Tisch 3,111,S1000248.56275,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000248.56276,SP1000248.26.56276,SY1000248.2026.56276,iPad1(1000248),248,01.06.26 15:37,Prod,A1000248.6683,,104,S1000248.56276,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000248.56277,SP1000248.26.56277,SY1000248.2026.56277,iPad1(1000248),248,01.06.26 15:37,Prod,A1000248.6683,,104,S1000248.56277,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000248.56278,SP1000248.26.56278,SY1000248.2026.56278,iPad1(1000248),248,01.06.26 15:37,Prod,A1000248.6683,,104,S1000248.56278,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000248.56279,SP1000248.26.56279,SY1000248.2026.56279,iPad1(1000248),248,01.06.26 17:12,Prod,A1000248.6684,,119,S1000248.56279,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000248.56280,SP1000248.26.56280,SY1000248.2026.56280,iPad1(1000248),248,01.06.26 17:12,Prod,A1000248.6684,,119,S1000248.56280,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000248.56281,SP1000248.26.56281,SY1000248.2026.56281,iPad1(1000248),248,01.06.26 13:16,Prod,A1000248.6685,Tisch 22,111,S1000248.56281,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000248.56282,SP1000248.26.56282,SY1000248.2026.56282,iPad1(1000248),248,01.06.26 13:16,Prod,A1000248.6685,Tisch 22,111,S1000248.56282,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000248.56283,SP1000248.26.56283,SY1000248.2026.56283,iPad1(1000248),248,01.06.26 16:41,Prod,A1000248.6686,Tisch 20,115,S1000248.56283,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000248.56284,SP1000248.26.56284,SY1000248.2026.56284,iPad1(1000248),248,01.06.26 16:41,Prod,A1000248.6686,Tisch 20,115,S1000248.56284,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000248.56285,SP1000248.26.56285,SY1000248.2026.56285,iPad1(1000248),248,01.06.26 17:57,Prod,A1000248.6687,Tisch 20,119,S1000248.56285,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000248.56286,SP1000248.26.56286,SY1000248.2026.56286,iPad1(1000248),248,01.06.26 17:57,Prod,A1000248.6687,Tisch 20,119,S1000248.56286,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000248.56287,SP1000248.26.56287,SY1000248.2026.56287,iPad1(1000248),248,01.06.26 17:57,Prod,A1000248.6687,Tisch 20,119,S1000248.56287,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000248.56288,SP1000248.26.56288,SY1000248.2026.56288,iPad1(1000248),248,01.06.26 13:58,Prod,A1000248.6688,Tisch 3,117,S1000248.56288,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
