Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000222.48094,SP1000222.16.48094,SY1000222.2026.48094,iPad1(1000222),222,01.06.26 14:56,Prod,A1000222.6267,Tisch 20,103,S1000222.48094,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000222.48095,SP1000222.16.48095,SY1000222.2026.48095,iPad1(1000222),222,01.06.26 14:56,Prod,A1000222.6267,Tisch 20,103,S1000222.48095,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000222.48096,SP1000222.16.48096,SY1000222.2026.48096,iPad1(1000222),222,01.06.26 19:22,Prod,A1000222.6268,Tisch 4,116,S1000222.48096,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000222.48097,SP1000222.16.48097,SY1000222.2026.48097,iPad1(1000222),222,01.06.26 19:22,Prod,A1000222.6268,Tisch 4,116,S1000222.48097,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000222.48098,SP1000222.16.48098,SY1000222.2026.48098,iPad1(1000222),222,01.06.26 11:41,Prod,A1000222.6269,Tisch 13,118,S1000222.48098,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000222.48099,SP1000222.16.48099,SY1000222.2026.48099,iPad1(1000222),222,01.06.26 20:23,Prod,A1000222.6270,Tisch 24,104,S1000222.48099,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000222.48100,SP1000222.16.48100,SY1000222.2026.48100,iPad1(1000222),222,01.06.26 20:23,Prod,A1000222.6270,Tisch 24,104,S1000222.48100,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000222.48101,SP1000222.16.48101,SY1000222.2026.48101,iPad1(1000222),222,01.06.26 20:23,Prod,A1000222.6270,Tisch 24,104,S1000222.48101,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000222.48102,SP1000222.16.48102,SY1000222.2026.48102,iPad1(1000222),222,01.06.26 20:04,Prod,A1000222.6271,Tisch 11,118,S1000222.48102,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000222.48103,SP1000222.16.48103,SY1000222.2026.48103,iPad1(1000222),222,01.06.26 15:25,Prod,A1000222.6272,Tisch 18,104,S1000222.48103,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000222.48104,SP1000222.16.48104,SY1000222.2026.48104,iPad1(1000222),222,01.06.26 15:25,Prod,A1000222.6272,Tisch 18,104,S1000222.48104,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000222.48105,SP1000222.16.48105,SY1000222.2026.48105,iPad1(1000222),222,01.06.26 15:25,Prod,A1000222.6272,Tisch 18,104,S1000222.48105,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000222.48106,SP1000222.16.48106,SY1000222.2026.48106,iPad1(1000222),222,01.06.26 17:12,Prod,A1000222.6273,Tisch 5,104,S1000222.48106,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000222.48107,SP1000222.16.48107,SY1000222.2026.48107,iPad1(1000222),222,01.06.26 17:12,Prod,A1000222.6273,Tisch 5,104,S1000222.48107,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000222.48108,SP1000222.16.48108,SY1000222.2026.48108,iPad1(1000222),222,01.06.26 17:05,Prod,A1000222.6274,Tisch 10,109,S1000222.48108,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000222.48109,SP1000222.16.48109,SY1000222.2026.48109,iPad1(1000222),222,01.06.26 17:05,Prod,A1000222.6274,Tisch 10,109,S1000222.48109,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000222.48110,SP1000222.16.48110,SY1000222.2026.48110,iPad1(1000222),222,01.06.26 12:46,Prod,A1000222.6275,Tisch 18,103,S1000222.48110,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000222.48111,SP1000222.16.48111,SY1000222.2026.48111,iPad1(1000222),222,01.06.26 18:45,Prod,A1000222.6276,Tisch 18,103,S1000222.48111,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000222.48112,SP1000222.16.48112,SY1000222.2026.48112,iPad1(1000222),222,01.06.26 18:45,Prod,A1000222.6276,Tisch 18,103,S1000222.48112,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000222.48113,SP1000222.16.48113,SY1000222.2026.48113,iPad1(1000222),222,01.06.26 18:45,Prod,A1000222.6276,Tisch 18,103,S1000222.48113,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000222.48114,SP1000222.16.48114,SY1000222.2026.48114,iPad1(1000222),222,01.06.26 14:41,Prod,A1000222.6277,Tisch 7,116,S1000222.48114,VOID,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000222.48115,SP1000222.16.48115,SY1000222.2026.48115,iPad1(1000222),222,01.06.26 14:41,Prod,A1000222.6277,Tisch 7,116,S1000222.48115,VOID,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000222.48116,SP1000222.16.48116,SY1000222.2026.48116,iPad1(1000222),222,01.06.26 10:00,Prod,A1000222.6278,Tisch 15,109,S1000222.48116,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000222.48117,SP1000222.16.48117,SY1000222.2026.48117,iPad1(1000222),222,01.06.26 10:00,Prod,A1000222.6278,Tisch 15,109,S1000222.48117,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000222.48118,SP1000222.16.48118,SY1000222.2026.48118,iPad1(1000222),222,01.06.26 12:36,Prod,A1000222.6279,Tisch 7,104,S1000222.48118,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000222.48119,SP1000222.16.48119,SY1000222.2026.48119,iPad1(1000222),222,01.06.26 12:36,Prod,A1000222.6279,Tisch 7,104,S1000222.48119,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000222.48120,SP1000222.16.48120,SY1000222.2026.48120,iPad1(1000222),222,01.06.26 12:36,Prod,A1000222.6279,Tisch 7,104,S1000222.48120,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000222.48121,SP1000222.16.48121,SY1000222.2026.48121,iPad1(1000222),222,01.06.26 10:13,Prod,A1000222.6280,Tisch 21,109,S1000222.48121,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000222.48122,SP1000222.16.48122,SY1000222.2026.48122,iPad1(1000222),222,01.06.26 10:13,Prod,A1000222.6280,Tisch 21,109,S1000222.48122,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000222.48123,SP1000222.16.48123,SY1000222.2026.48123,iPad1(1000222),222,01.06.26 10:13,Prod,A1000222.6280,Tisch 21,109,S1000222.48123,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000222.48124,SP1000222.16.48124,SY1000222.2026.48124,iPad1(1000222),222,01.06.26 13:44,Prod,A1000222.6281,Tisch 17,103,S1000222.48124,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000222.48125,SP1000222.16.48125,SY1000222.2026.48125,iPad1(1000222),222,01.06.26 13:44,Prod,A1000222.6281,Tisch 17,103,S1000222.48125,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000222.48126,SP1000222.16.48126,SY1000222.2026.48126,iPad1(1000222),222,01.06.26 11:27,Prod,A1000222.6282,Tisch 3,109,S1000222.48126,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000222.48127,SP1000222.16.48127,SY1000222.2026.48127,iPad1(1000222),222,01.06.26 11:27,Prod,A1000222.6282,Tisch 3,109,S1000222.48127,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000222.48128,SP1000222.16.48128,SY1000222.2026.48128,iPad1(1000222),222,01.06.26 12:27,Prod,A1000222.6283,Tisch 20,116,S1000222.48128,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000222.48129,SP1000222.16.48129,SY1000222.2026.48129,iPad1(1000222),222,01.06.26 12:27,Prod,A1000222.6283,Tisch 20,116,S1000222.48129,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
