Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000354.53321,SP1000354.49.53321,SY1000354.2026.53321,iPad1(1000354),354,01.06.26 19:38,Prod,A1000354.6274,Tisch 21,103,S1000354.53321,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000354.53322,SP1000354.49.53322,SY1000354.2026.53322,iPad1(1000354),354,01.06.26 18:22,Prod,A1000354.6275,Tisch 2,101,S1000354.53322,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000354.53323,SP1000354.49.53323,SY1000354.2026.53323,iPad1(1000354),354,01.06.26 18:22,Prod,A1000354.6275,Tisch 2,101,S1000354.53323,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000354.53324,SP1000354.49.53324,SY1000354.2026.53324,iPad1(1000354),354,01.06.26 12:45,Prod,A1000354.6276,Tisch 13,119,S1000354.53324,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000354.53325,SP1000354.49.53325,SY1000354.2026.53325,iPad1(1000354),354,01.06.26 12:45,Prod,A1000354.6276,Tisch 13,119,S1000354.53325,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000354.53326,SP1000354.49.53326,SY1000354.2026.53326,iPad1(1000354),354,01.06.26 12:34,Prod,A1000354.6277,Tisch 13,101,S1000354.53326,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000354.53327,SP1000354.49.53327,SY1000354.2026.53327,iPad1(1000354),354,01.06.26 12:34,Prod,A1000354.6277,Tisch 13,101,S1000354.53327,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000354.53328,SP1000354.49.53328,SY1000354.2026.53328,iPad1(1000354),354,01.06.26 12:34,Prod,A1000354.6277,Tisch 13,101,S1000354.53328,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000354.53329,SP1000354.49.53329,SY1000354.2026.53329,iPad1(1000354),354,01.06.26 15:18,Prod,A1000354.6278,Tisch 7,101,S1000354.53329,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000354.53330,SP1000354.49.53330,SY1000354.2026.53330,iPad1(1000354),354,01.06.26 15:18,Prod,A1000354.6278,Tisch 7,101,S1000354.53330,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000354.53331,SP1000354.49.53331,SY1000354.2026.53331,iPad1(1000354),354,01.06.26 11:13,Prod,A1000354.6279,Tisch 1,119,S1000354.53331,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000354.53332,SP1000354.49.53332,SY1000354.2026.53332,iPad1(1000354),354,01.06.26 11:13,Prod,A1000354.6279,Tisch 1,119,S1000354.53332,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000354.53333,SP1000354.49.53333,SY1000354.2026.53333,iPad1(1000354),354,01.06.26 20:42,Prod,A1000354.6280,Tisch 13,106,S1000354.53333,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000354.53334,SP1000354.49.53334,SY1000354.2026.53334,iPad1(1000354),354,01.06.26 20:42,Prod,A1000354.6280,Tisch 13,106,S1000354.53334,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000354.53335,SP1000354.49.53335,SY1000354.2026.53335,iPad1(1000354),354,01.06.26 10:50,Prod,A1000354.6281,Tisch 22,119,S1000354.53335,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000354.53336,SP1000354.49.53336,SY1000354.2026.53336,iPad1(1000354),354,01.06.26 10:50,Prod,A1000354.6281,Tisch 22,119,S1000354.53336,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000354.53337,SP1000354.49.53337,SY1000354.2026.53337,iPad1(1000354),354,01.06.26 10:50,Prod,A1000354.6281,Tisch 22,119,S1000354.53337,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000354.53338,SP1000354.49.53338,SY1000354.2026.53338,iPad1(1000354),354,01.06.26 16:00,Prod,A1000354.6282,Tisch 14,120,S1000354.53338,VOID,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000354.53339,SP1000354.49.53339,SY1000354.2026.53339,iPad1(1000354),354,01.06.26 16:00,Prod,A1000354.6282,Tisch 14,120,S1000354.53339,VOID,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000354.53340,SP1000354.49.53340,SY1000354.2026.53340,iPad1(1000354),354,01.06.26 16:00,Prod,A1000354.6282,Tisch 14,120,S1000354.53340,VOID,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000354.53341,SP1000354.49.53341,SY1000354.2026.53341,iPad1(1000354),354,01.06.26 12:15,Prod,A1000354.6283,Tisch 18,119,S1000354.53341,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000354.53342,SP1000354.49.53342,SY1000354.2026.53342,iPad1(1000354),354,01.06.26 12:15,Prod,A1000354.6283,Tisch 18,119,S1000354.53342,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000354.53343,SP1000354.49.53343,SY1000354.2026.53343,iPad1(1000354),354,01.06.26 12:15,Prod,A1000354.6283,Tisch 18,119,S1000354.53343,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000354.53344,SP1000354.49.53344,SY1000354.2026.53344,iPad1(1000354),354,01.06.26 15:38,Prod,A1000354.6284,Tisch 13,101,S1000354.53344,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000354.53345,SP1000354.49.53345,SY1000354.2026.53345,iPad1(1000354),354,01.06.26 12:20,Prod,A1000354.6285,Tisch 6,103,S1000354.53345,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000354.53346,SP1000354.49.53346,SY1000354.2026.53346,iPad1(1000354),354,01.06.26 09:14,Prod,A1000354.6286,Tisch 6,106,S1000354.53346,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000354.53347,SP1000354.49.53347,SY1000354.2026.53347,iPad1(1000354),354,01.06.26 09:14,Prod,A1000354.6286,Tisch 6,106,S1000354.53347,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000354.53348,SP1000354.49.53348,SY1000354.2026.53348,iPad1(1000354),354,01.06.26 08:00,Prod,A1000354.6287,Tisch 2,106,S1000354.53348,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000354.53349,SP1000354.49.53349,SY1000354.2026.53349,iPad1(1000354),354,01.06.26 11:09,Prod,A1000354.6288,Tisch 15,106,S1000354.53349,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000354.53350,SP1000354.49.53350,SY1000354.2026.53350,iPad1(1000354),354,01.06.26 12:49,Prod,A1000354.6289,Tisch 15,119,S1000354.53350,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000354.53351,SP1000354.49.53351,SY1000354.2026.53351,iPad1(1000354),354,01.06.26 12:49,Prod,A1000354.6289,Tisch 15,119,S1000354.53351,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000354.53352,SP1000354.49.53352,SY1000354.2026.53352,iPad1(1000354),354,01.06.26 12:49,Prod,A1000354.6289,Tisch 15,119,S1000354.53352,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000354.53353,SP1000354.49.53353,SY1000354.2026.53353,iPad1(1000354),354,01.06.26 08:08,Prod,A1000354.6290,Tisch 21,101,S1000354.53353,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000354.53354,SP1000354.49.53354,SY1000354.2026.53354,iPad1(1000354),354,01.06.26 08:08,Prod,A1000354.6290,Tisch 21,101,S1000354.53354,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000354.53355,SP1000354.49.53355,SY1000354.2026.53355,iPad1(1000354),354,01.06.26 13:31,Prod,A1000354.6291,Tisch 3,101,S1000354.53355,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000354.53356,SP1000354.49.53356,SY1000354.2026.53356,iPad1(1000354),354,01.06.26 13:31,Prod,A1000354.6291,Tisch 3,101,S1000354.53356,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000354.53357,SP1000354.49.53357,SY1000354.2026.53357,iPad1(1000354),354,01.06.26 13:31,Prod,A1000354.6291,Tisch 3,101,S1000354.53357,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000354.53358,SP1000354.49.53358,SY1000354.2026.53358,iPad1(1000354),354,01.06.26 13:47,Prod,A1000354.6292,Tisch 4,103,S1000354.53358,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000354.53359,SP1000354.49.53359,SY1000354.2026.53359,iPad1(1000354),354,01.06.26 11:51,Prod,A1000354.6293,Tisch 17,103,S1000354.53359,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000354.53360,SP1000354.49.53360,SY1000354.2026.53360,iPad1(1000354),354,01.06.26 11:51,Prod,A1000354.6293,Tisch 17,103,S1000354.53360,VOID,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000354.53361,SP1000354.49.53361,SY1000354.2026.53361,iPad1(1000354),354,01.06.26 11:32,Prod,A1000354.6294,Tisch 11,104,S1000354.53361,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000354.53362,SP1000354.49.53362,SY1000354.2026.53362,iPad1(1000354),354,01.06.26 11:32,Prod,A1000354.6294,Tisch 11,104,S1000354.53362,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000354.53363,SP1000354.49.53363,SY1000354.2026.53363,iPad1(1000354),354,01.06.26 11:32,Prod,A1000354.6294,Tisch 11,104,S1000354.53363,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000354.53364,SP1000354.49.53364,SY1000354.2026.53364,iPad1(1000354),354,01.06.26 11:00,Prod,A1000354.6295,Tisch 5,104,S1000354.53364,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000354.53365,SP1000354.49.53365,SY1000354.2026.53365,iPad1(1000354),354,01.06.26 18:00,Prod,A1000354.6296,Tisch 10,104,S1000354.53365,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000354.53366,SP1000354.49.53366,SY1000354.2026.53366,iPad1(1000354),354,01.06.26 15:33,Prod,A1000354.6297,Tisch 17,103,S1000354.53366,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000354.53367,SP1000354.49.53367,SY1000354.2026.53367,iPad1(1000354),354,01.06.26 18:06,Prod,A1000354.6298,Tisch 19,104,S1000354.53367,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000354.53368,SP1000354.49.53368,SY1000354.2026.53368,iPad1(1000354),354,01.06.26 08:51,Prod,A1000354.6299,Tisch 16,104,S1000354.53368,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000354.53369,SP1000354.49.53369,SY1000354.2026.53369,iPad1(1000354),354,01.06.26 16:26,Prod,A1000354.6300,Tisch 6,106,S1000354.53369,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000354.53370,SP1000354.49.53370,SY1000354.2026.53370,iPad1(1000354),354,01.06.26 18:01,Prod,A1000354.6301,Tisch 13,119,S1000354.53370,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000354.53371,SP1000354.49.53371,SY1000354.2026.53371,iPad1(1000354),354,01.06.26 18:01,Prod,A1000354.6301,Tisch 13,119,S1000354.53371,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000354.53372,SP1000354.49.53372,SY1000354.2026.53372,iPad1(1000354),354,01.06.26 18:16,Prod,A1000354.6302,Tisch 19,104,S1000354.53372,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000354.53373,SP1000354.49.53373,SY1000354.2026.53373,iPad1(1000354),354,01.06.26 18:16,Prod,A1000354.6302,Tisch 19,104,S1000354.53373,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
