Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000384.66242,SP1000384.12.66242,SY1000384.2026.66242,iPad1(1000384),384,01.06.26 11:31,Prod,A1000384.6020,Tisch 13,110,S1000384.66242,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000384.66243,SP1000384.12.66243,SY1000384.2026.66243,iPad1(1000384),384,01.06.26 11:31,Prod,A1000384.6020,Tisch 13,110,S1000384.66243,VOID,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000384.66244,SP1000384.12.66244,SY1000384.2026.66244,iPad1(1000384),384,01.06.26 17:23,Prod,A1000384.6021,Tisch 19,112,S1000384.66244,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000384.66245,SP1000384.12.66245,SY1000384.2026.66245,iPad1(1000384),384,01.06.26 17:23,Prod,A1000384.6021,Tisch 19,112,S1000384.66245,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000384.66246,SP1000384.12.66246,SY1000384.2026.66246,iPad1(1000384),384,01.06.26 11:22,Prod,A1000384.6022,Tisch 1,109,S1000384.66246,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000384.66247,SP1000384.12.66247,SY1000384.2026.66247,iPad1(1000384),384,01.06.26 11:22,Prod,A1000384.6022,Tisch 1,109,S1000384.66247,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000384.66248,SP1000384.12.66248,SY1000384.2026.66248,iPad1(1000384),384,01.06.26 10:54,Prod,A1000384.6023,Tisch 10,119,S1000384.66248,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000384.66249,SP1000384.12.66249,SY1000384.2026.66249,iPad1(1000384),384,01.06.26 10:54,Prod,A1000384.6023,Tisch 10,119,S1000384.66249,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000384.66250,SP1000384.12.66250,SY1000384.2026.66250,iPad1(1000384),384,01.06.26 11:36,Prod,A1000384.6024,,110,S1000384.66250,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000384.66251,SP1000384.12.66251,SY1000384.2026.66251,iPad1(1000384),384,01.06.26 11:36,Prod,A1000384.6024,,110,S1000384.66251,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000384.66252,SP1000384.12.66252,SY1000384.2026.66252,iPad1(1000384),384,01.06.26 11:31,Prod,A1000384.6025,Tisch 23,110,S1000384.66252,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000384.66253,SP1000384.12.66253,SY1000384.2026.66253,iPad1(1000384),384,01.06.26 11:31,Prod,A1000384.6025,Tisch 23,110,S1000384.66253,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000384.66254,SP1000384.12.66254,SY1000384.2026.66254,iPad1(1000384),384,01.06.26 19:29,Prod,A1000384.6026,,119,S1000384.66254,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000384.66255,SP1000384.12.66255,SY1000384.2026.66255,iPad1(1000384),384,01.06.26 09:57,Prod,A1000384.6027,Tisch 22,112,S1000384.66255,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000384.66256,SP1000384.12.66256,SY1000384.2026.66256,iPad1(1000384),384,01.06.26 09:57,Prod,A1000384.6027,Tisch 22,112,S1000384.66256,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000384.66257,SP1000384.12.66257,SY1000384.2026.66257,iPad1(1000384),384,01.06.26 12:55,Prod,A1000384.6028,,110,S1000384.66257,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000384.66258,SP1000384.12.66258,SY1000384.2026.66258,iPad1(1000384),384,01.06.26 12:55,Prod,A1000384.6028,,110,S1000384.66258,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000384.66259,SP1000384.12.66259,SY1000384.2026.66259,iPad1(1000384),384,01.06.26 19:31,Prod,A1000384.6029,Tisch 12,110,S1000384.66259,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000384.66260,SP1000384.12.66260,SY1000384.2026.66260,iPad1(1000384),384,01.06.26 19:04,Prod,A1000384.6030,Tisch 2,114,S1000384.66260,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000384.66261,SP1000384.12.66261,SY1000384.2026.66261,iPad1(1000384),384,01.06.26 20:07,Prod,A1000384.6031,Tisch 16,112,S1000384.66261,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000384.66262,SP1000384.12.66262,SY1000384.2026.66262,iPad1(1000384),384,01.06.26 16:24,Prod,A1000384.6032,Tisch 19,112,S1000384.66262,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000384.66263,SP1000384.12.66263,SY1000384.2026.66263,iPad1(1000384),384,01.06.26 16:24,Prod,A1000384.6032,Tisch 19,112,S1000384.66263,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000384.66264,SP1000384.12.66264,SY1000384.2026.66264,iPad1(1000384),384,01.06.26 16:24,Prod,A1000384.6032,Tisch 19,112,S1000384.66264,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000384.66265,SP1000384.12.66265,SY1000384.2026.66265,iPad1(1000384),384,01.06.26 19:11,Prod,A1000384.6033,,109,S1000384.66265,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000384.66266,SP1000384.12.66266,SY1000384.2026.66266,iPad1(1000384),384,01.06.26 19:11,Prod,A1000384.6033,,109,S1000384.66266,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000384.66267,SP1000384.12.66267,SY1000384.2026.66267,iPad1(1000384),384,01.06.26 19:40,Prod,A1000384.6034,Tisch 3,114,S1000384.66267,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000384.66268,SP1000384.12.66268,SY1000384.2026.66268,iPad1(1000384),384,01.06.26 19:40,Prod,A1000384.6034,Tisch 3,114,S1000384.66268,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000384.66269,SP1000384.12.66269,SY1000384.2026.66269,iPad1(1000384),384,01.06.26 19:40,Prod,A1000384.6034,Tisch 3,114,S1000384.66269,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000384.66270,SP1000384.12.66270,SY1000384.2026.66270,iPad1(1000384),384,01.06.26 12:50,Prod,A1000384.6035,Tisch 2,109,S1000384.66270,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000384.66271,SP1000384.12.66271,SY1000384.2026.66271,iPad1(1000384),384,01.06.26 12:50,Prod,A1000384.6035,Tisch 2,109,S1000384.66271,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000384.66272,SP1000384.12.66272,SY1000384.2026.66272,iPad1(1000384),384,01.06.26 12:50,Prod,A1000384.6035,Tisch 2,109,S1000384.66272,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000384.66273,SP1000384.12.66273,SY1000384.2026.66273,iPad1(1000384),384,01.06.26 14:28,Prod,A1000384.6036,Tisch 8,112,S1000384.66273,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000384.66274,SP1000384.12.66274,SY1000384.2026.66274,iPad1(1000384),384,01.06.26 14:28,Prod,A1000384.6036,Tisch 8,112,S1000384.66274,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000384.66275,SP1000384.12.66275,SY1000384.2026.66275,iPad1(1000384),384,01.06.26 14:28,Prod,A1000384.6036,Tisch 8,112,S1000384.66275,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000384.66276,SP1000384.12.66276,SY1000384.2026.66276,iPad1(1000384),384,01.06.26 13:00,Prod,A1000384.6037,Tisch 18,110,S1000384.66276,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000384.66277,SP1000384.12.66277,SY1000384.2026.66277,iPad1(1000384),384,01.06.26 13:00,Prod,A1000384.6037,Tisch 18,110,S1000384.66277,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000384.66278,SP1000384.12.66278,SY1000384.2026.66278,iPad1(1000384),384,01.06.26 13:00,Prod,A1000384.6037,Tisch 18,110,S1000384.66278,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000384.66279,SP1000384.12.66279,SY1000384.2026.66279,iPad1(1000384),384,01.06.26 11:37,Prod,A1000384.6038,Tisch 9,109,S1000384.66279,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000384.66280,SP1000384.12.66280,SY1000384.2026.66280,iPad1(1000384),384,01.06.26 11:37,Prod,A1000384.6038,Tisch 9,109,S1000384.66280,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000384.66281,SP1000384.12.66281,SY1000384.2026.66281,iPad1(1000384),384,01.06.26 11:06,Prod,A1000384.6039,,110,S1000384.66281,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000384.66282,SP1000384.12.66282,SY1000384.2026.66282,iPad1(1000384),384,01.06.26 11:06,Prod,A1000384.6039,,110,S1000384.66282,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000384.66283,SP1000384.12.66283,SY1000384.2026.66283,iPad1(1000384),384,01.06.26 11:06,Prod,A1000384.6039,,110,S1000384.66283,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
