Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000305.47083,SP1000305.8.47083,SY1000305.2026.47083,iPad1(1000305),305,01.06.26 13:30,Prod,A1000305.6534,Tisch 3,117,S1000305.47083,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000305.47084,SP1000305.8.47084,SY1000305.2026.47084,iPad1(1000305),305,01.06.26 13:30,Prod,A1000305.6534,Tisch 3,117,S1000305.47084,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000305.47085,SP1000305.8.47085,SY1000305.2026.47085,iPad1(1000305),305,01.06.26 13:30,Prod,A1000305.6534,Tisch 3,117,S1000305.47085,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000305.47086,SP1000305.8.47086,SY1000305.2026.47086,iPad1(1000305),305,01.06.26 18:16,Prod,A1000305.6535,Tisch 17,117,S1000305.47086,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000305.47087,SP1000305.8.47087,SY1000305.2026.47087,iPad1(1000305),305,01.06.26 18:16,Prod,A1000305.6535,Tisch 17,117,S1000305.47087,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000305.47088,SP1000305.8.47088,SY1000305.2026.47088,iPad1(1000305),305,01.06.26 15:04,Prod,A1000305.6536,Tisch 13,118,S1000305.47088,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000305.47089,SP1000305.8.47089,SY1000305.2026.47089,iPad1(1000305),305,01.06.26 15:02,Prod,A1000305.6537,Tisch 13,110,S1000305.47089,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000305.47090,SP1000305.8.47090,SY1000305.2026.47090,iPad1(1000305),305,01.06.26 15:02,Prod,A1000305.6537,Tisch 13,110,S1000305.47090,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000305.47091,SP1000305.8.47091,SY1000305.2026.47091,iPad1(1000305),305,01.06.26 15:02,Prod,A1000305.6537,Tisch 13,110,S1000305.47091,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000305.47092,SP1000305.8.47092,SY1000305.2026.47092,iPad1(1000305),305,01.06.26 18:53,Prod,A1000305.6538,Tisch 17,118,S1000305.47092,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000305.47093,SP1000305.8.47093,SY1000305.2026.47093,iPad1(1000305),305,01.06.26 18:53,Prod,A1000305.6538,Tisch 17,118,S1000305.47093,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
