Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000241.11521,SP1000241.17.11521,SY1000241.2026.11521,iPad1(1000241),241,01.06.26 12:30,Prod,A1000241.6853,Tisch 8,103,S1000241.11521,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000241.11522,SP1000241.17.11522,SY1000241.2026.11522,iPad1(1000241),241,01.06.26 12:30,Prod,A1000241.6853,Tisch 8,103,S1000241.11522,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000241.11523,SP1000241.17.11523,SY1000241.2026.11523,iPad1(1000241),241,01.06.26 15:39,Prod,A1000241.6854,,103,S1000241.11523,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000241.11524,SP1000241.17.11524,SY1000241.2026.11524,iPad1(1000241),241,01.06.26 17:10,Prod,A1000241.6855,,112,S1000241.11524,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000241.11525,SP1000241.17.11525,SY1000241.2026.11525,iPad1(1000241),241,01.06.26 17:10,Prod,A1000241.6855,,112,S1000241.11525,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000241.11526,SP1000241.17.11526,SY1000241.2026.11526,iPad1(1000241),241,01.06.26 17:10,Prod,A1000241.6855,,112,S1000241.11526,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000241.11527,SP1000241.17.11527,SY1000241.2026.11527,iPad1(1000241),241,01.06.26 19:33,Prod,A1000241.6856,Tisch 8,103,S1000241.11527,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000241.11528,SP1000241.17.11528,SY1000241.2026.11528,iPad1(1000241),241,01.06.26 19:33,Prod,A1000241.6856,Tisch 8,103,S1000241.11528,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000241.11529,SP1000241.17.11529,SY1000241.2026.11529,iPad1(1000241),241,01.06.26 19:33,Prod,A1000241.6856,Tisch 8,103,S1000241.11529,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000241.11530,SP1000241.17.11530,SY1000241.2026.11530,iPad1(1000241),241,01.06.26 17:58,Prod,A1000241.6857,Tisch 23,112,S1000241.11530,VOID,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000241.11531,SP1000241.17.11531,SY1000241.2026.11531,iPad1(1000241),241,01.06.26 17:58,Prod,A1000241.6857,Tisch 23,112,S1000241.11531,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000241.11532,SP1000241.17.11532,SY1000241.2026.11532,iPad1(1000241),241,01.06.26 19:58,Prod,A1000241.6858,,102,S1000241.11532,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000241.11533,SP1000241.17.11533,SY1000241.2026.11533,iPad1(1000241),241,01.06.26 19:58,Prod,A1000241.6858,,102,S1000241.11533,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000241.11534,SP1000241.17.11534,SY1000241.2026.11534,iPad1(1000241),241,01.06.26 19:58,Prod,A1000241.6858,,102,S1000241.11534,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000241.11535,SP1000241.17.11535,SY1000241.2026.11535,iPad1(1000241),241,01.06.26 16:53,Prod,A1000241.6859,Tisch 1,104,S1000241.11535,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
