Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000367.48272,SP1000367.17.48272,SY1000367.2026.48272,iPad1(1000367),367,01.06.26 17:35,Prod,A1000367.6061,Tisch 24,119,S1000367.48272,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000367.48273,SP1000367.17.48273,SY1000367.2026.48273,iPad1(1000367),367,01.06.26 17:35,Prod,A1000367.6061,Tisch 24,119,S1000367.48273,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000367.48274,SP1000367.17.48274,SY1000367.2026.48274,iPad1(1000367),367,01.06.26 17:35,Prod,A1000367.6061,Tisch 24,119,S1000367.48274,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000367.48275,SP1000367.17.48275,SY1000367.2026.48275,iPad1(1000367),367,01.06.26 12:54,Prod,A1000367.6062,Tisch 5,116,S1000367.48275,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000367.48276,SP1000367.17.48276,SY1000367.2026.48276,iPad1(1000367),367,01.06.26 12:32,Prod,A1000367.6063,Tisch 4,112,S1000367.48276,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000367.48277,SP1000367.17.48277,SY1000367.2026.48277,iPad1(1000367),367,01.06.26 12:32,Prod,A1000367.6063,Tisch 4,112,S1000367.48277,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000367.48278,SP1000367.17.48278,SY1000367.2026.48278,iPad1(1000367),367,01.06.26 19:46,Prod,A1000367.6064,Tisch 15,112,S1000367.48278,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000367.48279,SP1000367.17.48279,SY1000367.2026.48279,iPad1(1000367),367,01.06.26 18:51,Prod,A1000367.6065,Tisch 6,116,S1000367.48279,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000367.48280,SP1000367.17.48280,SY1000367.2026.48280,iPad1(1000367),367,01.06.26 12:47,Prod,A1000367.6066,Tisch 9,112,S1000367.48280,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000367.48281,SP1000367.17.48281,SY1000367.2026.48281,iPad1(1000367),367,01.06.26 12:47,Prod,A1000367.6066,Tisch 9,112,S1000367.48281,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
