Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000296.24852,SP1000296.19.24852,SY1000296.2026.24852,iPad1(1000296),296,01.06.26 17:58,Prod,A1000296.6143,Tisch 1,106,S1000296.24852,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000296.24853,SP1000296.19.24853,SY1000296.2026.24853,iPad1(1000296),296,01.06.26 17:58,Prod,A1000296.6143,Tisch 1,106,S1000296.24853,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000296.24854,SP1000296.19.24854,SY1000296.2026.24854,iPad1(1000296),296,01.06.26 11:02,Prod,A1000296.6144,,117,S1000296.24854,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000296.24855,SP1000296.19.24855,SY1000296.2026.24855,iPad1(1000296),296,01.06.26 09:34,Prod,A1000296.6145,Tisch 17,119,S1000296.24855,VOID,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000296.24856,SP1000296.19.24856,SY1000296.2026.24856,iPad1(1000296),296,01.06.26 09:34,Prod,A1000296.6145,Tisch 17,119,S1000296.24856,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000296.24857,SP1000296.19.24857,SY1000296.2026.24857,iPad1(1000296),296,01.06.26 17:42,Prod,A1000296.6146,Tisch 10,117,S1000296.24857,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000296.24858,SP1000296.19.24858,SY1000296.2026.24858,iPad1(1000296),296,01.06.26 17:42,Prod,A1000296.6146,Tisch 10,117,S1000296.24858,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000296.24859,SP1000296.19.24859,SY1000296.2026.24859,iPad1(1000296),296,01.06.26 17:42,Prod,A1000296.6146,Tisch 10,117,S1000296.24859,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000296.24860,SP1000296.19.24860,SY1000296.2026.24860,iPad1(1000296),296,01.06.26 19:40,Prod,A1000296.6147,Tisch 9,119,S1000296.24860,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000296.24861,SP1000296.19.24861,SY1000296.2026.24861,iPad1(1000296),296,01.06.26 18:42,Prod,A1000296.6148,Tisch 5,106,S1000296.24861,VOID,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000296.24862,SP1000296.19.24862,SY1000296.2026.24862,iPad1(1000296),296,01.06.26 18:42,Prod,A1000296.6148,Tisch 5,106,S1000296.24862,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000296.24863,SP1000296.19.24863,SY1000296.2026.24863,iPad1(1000296),296,01.06.26 18:42,Prod,A1000296.6148,Tisch 5,106,S1000296.24863,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000296.24864,SP1000296.19.24864,SY1000296.2026.24864,iPad1(1000296),296,01.06.26 15:50,Prod,A1000296.6149,Tisch 17,113,S1000296.24864,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
