Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000106.65460,SP1000106.32.65460,SY1000106.2026.65460,iPad1(1000106),106,01.06.26 13:40,Prod,A1000106.6865,Tisch 24,105,S1000106.65460,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000106.65461,SP1000106.32.65461,SY1000106.2026.65461,iPad1(1000106),106,01.06.26 14:41,Prod,A1000106.6866,Tisch 9,117,S1000106.65461,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000106.65462,SP1000106.32.65462,SY1000106.2026.65462,iPad1(1000106),106,01.06.26 19:23,Prod,A1000106.6867,Tisch 10,113,S1000106.65462,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000106.65463,SP1000106.32.65463,SY1000106.2026.65463,iPad1(1000106),106,01.06.26 19:23,Prod,A1000106.6867,Tisch 10,113,S1000106.65463,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000106.65464,SP1000106.32.65464,SY1000106.2026.65464,iPad1(1000106),106,01.06.26 17:14,Prod,A1000106.6868,Tisch 18,105,S1000106.65464,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000106.65465,SP1000106.32.65465,SY1000106.2026.65465,iPad1(1000106),106,01.06.26 16:28,Prod,A1000106.6869,Tisch 22,106,S1000106.65465,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000106.65466,SP1000106.32.65466,SY1000106.2026.65466,iPad1(1000106),106,01.06.26 11:30,Prod,A1000106.6870,Tisch 8,117,S1000106.65466,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000106.65467,SP1000106.32.65467,SY1000106.2026.65467,iPad1(1000106),106,01.06.26 11:30,Prod,A1000106.6870,Tisch 8,117,S1000106.65467,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000106.65468,SP1000106.32.65468,SY1000106.2026.65468,iPad1(1000106),106,01.06.26 12:54,Prod,A1000106.6871,Tisch 21,113,S1000106.65468,VOID,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000106.65469,SP1000106.32.65469,SY1000106.2026.65469,iPad1(1000106),106,01.06.26 18:23,Prod,A1000106.6872,Tisch 3,106,S1000106.65469,VOID,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000106.65470,SP1000106.32.65470,SY1000106.2026.65470,iPad1(1000106),106,01.06.26 11:43,Prod,A1000106.6873,,117,S1000106.65470,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
