Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000229.66497,SP1000229.2.66497,SY1000229.2026.66497,iPad1(1000229),229,01.06.26 10:28,Prod,A1000229.6691,Tisch 2,108,S1000229.66497,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000229.66498,SP1000229.2.66498,SY1000229.2026.66498,iPad1(1000229),229,01.06.26 10:28,Prod,A1000229.6691,Tisch 2,108,S1000229.66498,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000229.66499,SP1000229.2.66499,SY1000229.2026.66499,iPad1(1000229),229,01.06.26 17:12,Prod,A1000229.6692,,114,S1000229.66499,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000229.66500,SP1000229.2.66500,SY1000229.2026.66500,iPad1(1000229),229,01.06.26 19:46,Prod,A1000229.6693,Tisch 5,101,S1000229.66500,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000229.66501,SP1000229.2.66501,SY1000229.2026.66501,iPad1(1000229),229,01.06.26 10:57,Prod,A1000229.6694,Tisch 18,101,S1000229.66501,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000229.66502,SP1000229.2.66502,SY1000229.2026.66502,iPad1(1000229),229,01.06.26 10:57,Prod,A1000229.6694,Tisch 18,101,S1000229.66502,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000229.66503,SP1000229.2.66503,SY1000229.2026.66503,iPad1(1000229),229,01.06.26 10:57,Prod,A1000229.6694,Tisch 18,101,S1000229.66503,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000229.66504,SP1000229.2.66504,SY1000229.2026.66504,iPad1(1000229),229,01.06.26 13:40,Prod,A1000229.6695,,108,S1000229.66504,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000229.66505,SP1000229.2.66505,SY1000229.2026.66505,iPad1(1000229),229,01.06.26 13:40,Prod,A1000229.6695,,108,S1000229.66505,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000229.66506,SP1000229.2.66506,SY1000229.2026.66506,iPad1(1000229),229,01.06.26 13:40,Prod,A1000229.6695,,108,S1000229.66506,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000229.66507,SP1000229.2.66507,SY1000229.2026.66507,iPad1(1000229),229,01.06.26 19:49,Prod,A1000229.6696,Tisch 19,108,S1000229.66507,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000229.66508,SP1000229.2.66508,SY1000229.2026.66508,iPad1(1000229),229,01.06.26 20:27,Prod,A1000229.6697,,114,S1000229.66508,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000229.66509,SP1000229.2.66509,SY1000229.2026.66509,iPad1(1000229),229,01.06.26 20:27,Prod,A1000229.6697,,114,S1000229.66509,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000229.66510,SP1000229.2.66510,SY1000229.2026.66510,iPad1(1000229),229,01.06.26 20:44,Prod,A1000229.6698,Tisch 1,110,S1000229.66510,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000229.66511,SP1000229.2.66511,SY1000229.2026.66511,iPad1(1000229),229,01.06.26 17:08,Prod,A1000229.6699,,101,S1000229.66511,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000229.66512,SP1000229.2.66512,SY1000229.2026.66512,iPad1(1000229),229,01.06.26 19:53,Prod,A1000229.6700,,108,S1000229.66512,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000229.66513,SP1000229.2.66513,SY1000229.2026.66513,iPad1(1000229),229,01.06.26 19:53,Prod,A1000229.6700,,108,S1000229.66513,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000229.66514,SP1000229.2.66514,SY1000229.2026.66514,iPad1(1000229),229,01.06.26 19:53,Prod,A1000229.6700,,108,S1000229.66514,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000229.66515,SP1000229.2.66515,SY1000229.2026.66515,iPad1(1000229),229,01.06.26 08:25,Prod,A1000229.6701,Tisch 17,108,S1000229.66515,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000229.66516,SP1000229.2.66516,SY1000229.2026.66516,iPad1(1000229),229,01.06.26 11:21,Prod,A1000229.6702,Tisch 12,110,S1000229.66516,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000229.66517,SP1000229.2.66517,SY1000229.2026.66517,iPad1(1000229),229,01.06.26 13:54,Prod,A1000229.6703,Tisch 5,109,S1000229.66517,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000229.66518,SP1000229.2.66518,SY1000229.2026.66518,iPad1(1000229),229,01.06.26 13:54,Prod,A1000229.6703,Tisch 5,109,S1000229.66518,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000229.66519,SP1000229.2.66519,SY1000229.2026.66519,iPad1(1000229),229,01.06.26 16:34,Prod,A1000229.6704,,110,S1000229.66519,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000229.66520,SP1000229.2.66520,SY1000229.2026.66520,iPad1(1000229),229,01.06.26 19:43,Prod,A1000229.6705,Tisch 1,101,S1000229.66520,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000229.66521,SP1000229.2.66521,SY1000229.2026.66521,iPad1(1000229),229,01.06.26 19:43,Prod,A1000229.6705,Tisch 1,101,S1000229.66521,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
