Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000344.77907,SP1000344.24.77907,SY1000344.2026.77907,iPad1(1000344),344,01.06.26 12:28,Prod,A1000344.6433,Tisch 11,102,S1000344.77907,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000344.77908,SP1000344.24.77908,SY1000344.2026.77908,iPad1(1000344),344,01.06.26 12:28,Prod,A1000344.6433,Tisch 11,102,S1000344.77908,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000344.77909,SP1000344.24.77909,SY1000344.2026.77909,iPad1(1000344),344,01.06.26 19:42,Prod,A1000344.6434,Tisch 14,110,S1000344.77909,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000344.77910,SP1000344.24.77910,SY1000344.2026.77910,iPad1(1000344),344,01.06.26 19:42,Prod,A1000344.6434,Tisch 14,110,S1000344.77910,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000344.77911,SP1000344.24.77911,SY1000344.2026.77911,iPad1(1000344),344,01.06.26 19:42,Prod,A1000344.6434,Tisch 14,110,S1000344.77911,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000344.77912,SP1000344.24.77912,SY1000344.2026.77912,iPad1(1000344),344,01.06.26 11:23,Prod,A1000344.6435,Tisch 13,104,S1000344.77912,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000344.77913,SP1000344.24.77913,SY1000344.2026.77913,iPad1(1000344),344,01.06.26 19:12,Prod,A1000344.6436,Tisch 8,103,S1000344.77913,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000344.77914,SP1000344.24.77914,SY1000344.2026.77914,iPad1(1000344),344,01.06.26 12:58,Prod,A1000344.6437,,104,S1000344.77914,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000344.77915,SP1000344.24.77915,SY1000344.2026.77915,iPad1(1000344),344,01.06.26 12:58,Prod,A1000344.6437,,104,S1000344.77915,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000344.77916,SP1000344.24.77916,SY1000344.2026.77916,iPad1(1000344),344,01.06.26 08:15,Prod,A1000344.6438,Tisch 1,111,S1000344.77916,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000344.77917,SP1000344.24.77917,SY1000344.2026.77917,iPad1(1000344),344,01.06.26 08:15,Prod,A1000344.6438,Tisch 1,111,S1000344.77917,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000344.77918,SP1000344.24.77918,SY1000344.2026.77918,iPad1(1000344),344,01.06.26 16:21,Prod,A1000344.6439,Tisch 24,116,S1000344.77918,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
