Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000007.87591,SP1000007.50.87591,SY1000007.2026.87591,iPad1(1000007),7,01.06.26 11:49,Prod,A1000007.6523,Tisch 20,103,S1000007.87591,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000007.87592,SP1000007.50.87592,SY1000007.2026.87592,iPad1(1000007),7,01.06.26 11:49,Prod,A1000007.6523,Tisch 20,103,S1000007.87592,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000007.87593,SP1000007.50.87593,SY1000007.2026.87593,iPad1(1000007),7,01.06.26 11:49,Prod,A1000007.6523,Tisch 20,103,S1000007.87593,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000007.87594,SP1000007.50.87594,SY1000007.2026.87594,iPad1(1000007),7,01.06.26 14:09,Prod,A1000007.6524,Tisch 3,110,S1000007.87594,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000007.87595,SP1000007.50.87595,SY1000007.2026.87595,iPad1(1000007),7,01.06.26 14:09,Prod,A1000007.6524,Tisch 3,110,S1000007.87595,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000007.87596,SP1000007.50.87596,SY1000007.2026.87596,iPad1(1000007),7,01.06.26 14:09,Prod,A1000007.6524,Tisch 3,110,S1000007.87596,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000007.87597,SP1000007.50.87597,SY1000007.2026.87597,iPad1(1000007),7,01.06.26 18:20,Prod,A1000007.6525,Tisch 7,103,S1000007.87597,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000007.87598,SP1000007.50.87598,SY1000007.2026.87598,iPad1(1000007),7,01.06.26 17:27,Prod,A1000007.6526,Tisch 10,103,S1000007.87598,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000007.87599,SP1000007.50.87599,SY1000007.2026.87599,iPad1(1000007),7,01.06.26 11:39,Prod,A1000007.6527,Tisch 8,103,S1000007.87599,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000007.87600,SP1000007.50.87600,SY1000007.2026.87600,iPad1(1000007),7,01.06.26 11:39,Prod,A1000007.6527,Tisch 8,103,S1000007.87600,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000007.87601,SP1000007.50.87601,SY1000007.2026.87601,iPad1(1000007),7,01.06.26 08:57,Prod,A1000007.6528,Tisch 19,118,S1000007.87601,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000007.87602,SP1000007.50.87602,SY1000007.2026.87602,iPad1(1000007),7,01.06.26 08:27,Prod,A1000007.6529,Tisch 15,106,S1000007.87602,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000007.87603,SP1000007.50.87603,SY1000007.2026.87603,iPad1(1000007),7,01.06.26 13:18,Prod,A1000007.6530,Tisch 6,110,S1000007.87603,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000007.87604,SP1000007.50.87604,SY1000007.2026.87604,iPad1(1000007),7,01.06.26 13:18,Prod,A1000007.6530,Tisch 6,110,S1000007.87604,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000007.87605,SP1000007.50.87605,SY1000007.2026.87605,iPad1(1000007),7,01.06.26 13:18,Prod,A1000007.6530,Tisch 6,110,S1000007.87605,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000007.87606,SP1000007.50.87606,SY1000007.2026.87606,iPad1(1000007),7,01.06.26 11:15,Prod,A1000007.6531,Tisch 21,110,S1000007.87606,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
