Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000184.37203,SP1000184.46.37203,SY1000184.2026.37203,iPad1(1000184),184,01.06.26 17:03,Prod,A1000184.6759,Tisch 12,101,S1000184.37203,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000184.37204,SP1000184.46.37204,SY1000184.2026.37204,iPad1(1000184),184,01.06.26 17:26,Prod,A1000184.6760,,117,S1000184.37204,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000184.37205,SP1000184.46.37205,SY1000184.2026.37205,iPad1(1000184),184,01.06.26 17:26,Prod,A1000184.6760,,117,S1000184.37205,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000184.37206,SP1000184.46.37206,SY1000184.2026.37206,iPad1(1000184),184,01.06.26 20:35,Prod,A1000184.6761,Tisch 20,102,S1000184.37206,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000184.37207,SP1000184.46.37207,SY1000184.2026.37207,iPad1(1000184),184,01.06.26 20:35,Prod,A1000184.6761,Tisch 20,102,S1000184.37207,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000184.37208,SP1000184.46.37208,SY1000184.2026.37208,iPad1(1000184),184,01.06.26 20:35,Prod,A1000184.6761,Tisch 20,102,S1000184.37208,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000184.37209,SP1000184.46.37209,SY1000184.2026.37209,iPad1(1000184),184,01.06.26 17:51,Prod,A1000184.6762,Tisch 12,110,S1000184.37209,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000184.37210,SP1000184.46.37210,SY1000184.2026.37210,iPad1(1000184),184,01.06.26 17:51,Prod,A1000184.6762,Tisch 12,110,S1000184.37210,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000184.37211,SP1000184.46.37211,SY1000184.2026.37211,iPad1(1000184),184,01.06.26 16:40,Prod,A1000184.6763,Tisch 16,102,S1000184.37211,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000184.37212,SP1000184.46.37212,SY1000184.2026.37212,iPad1(1000184),184,01.06.26 16:40,Prod,A1000184.6763,Tisch 16,102,S1000184.37212,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
