Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000200.63952,SP1000200.7.63952,SY1000200.2026.63952,iPad1(1000200),200,01.06.26 20:47,Prod,A1000200.6668,,111,S1000200.63952,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000200.63953,SP1000200.7.63953,SY1000200.2026.63953,iPad1(1000200),200,01.06.26 20:47,Prod,A1000200.6668,,111,S1000200.63953,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000200.63954,SP1000200.7.63954,SY1000200.2026.63954,iPad1(1000200),200,01.06.26 09:36,Prod,A1000200.6669,,107,S1000200.63954,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000200.63955,SP1000200.7.63955,SY1000200.2026.63955,iPad1(1000200),200,01.06.26 09:36,Prod,A1000200.6669,,107,S1000200.63955,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000200.63956,SP1000200.7.63956,SY1000200.2026.63956,iPad1(1000200),200,01.06.26 09:36,Prod,A1000200.6669,,107,S1000200.63956,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000200.63957,SP1000200.7.63957,SY1000200.2026.63957,iPad1(1000200),200,01.06.26 15:32,Prod,A1000200.6670,Tisch 24,118,S1000200.63957,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000200.63958,SP1000200.7.63958,SY1000200.2026.63958,iPad1(1000200),200,01.06.26 20:40,Prod,A1000200.6671,Tisch 18,113,S1000200.63958,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000200.63959,SP1000200.7.63959,SY1000200.2026.63959,iPad1(1000200),200,01.06.26 20:40,Prod,A1000200.6671,Tisch 18,113,S1000200.63959,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000200.63960,SP1000200.7.63960,SY1000200.2026.63960,iPad1(1000200),200,01.06.26 18:48,Prod,A1000200.6672,Tisch 13,111,S1000200.63960,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000200.63961,SP1000200.7.63961,SY1000200.2026.63961,iPad1(1000200),200,01.06.26 18:48,Prod,A1000200.6672,Tisch 13,111,S1000200.63961,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000200.63962,SP1000200.7.63962,SY1000200.2026.63962,iPad1(1000200),200,01.06.26 18:48,Prod,A1000200.6672,Tisch 13,111,S1000200.63962,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000200.63963,SP1000200.7.63963,SY1000200.2026.63963,iPad1(1000200),200,01.06.26 18:32,Prod,A1000200.6673,Tisch 8,118,S1000200.63963,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000200.63964,SP1000200.7.63964,SY1000200.2026.63964,iPad1(1000200),200,01.06.26 17:52,Prod,A1000200.6674,Tisch 22,117,S1000200.63964,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
