Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000255.51797,SP1000255.49.51797,SY1000255.2026.51797,iPad1(1000255),255,01.06.26 12:46,Prod,A1000255.6031,Tisch 23,112,S1000255.51797,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000255.51798,SP1000255.49.51798,SY1000255.2026.51798,iPad1(1000255),255,01.06.26 12:46,Prod,A1000255.6031,Tisch 23,112,S1000255.51798,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000255.51799,SP1000255.49.51799,SY1000255.2026.51799,iPad1(1000255),255,01.06.26 12:46,Prod,A1000255.6031,Tisch 23,112,S1000255.51799,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000255.51800,SP1000255.49.51800,SY1000255.2026.51800,iPad1(1000255),255,01.06.26 19:44,Prod,A1000255.6032,Tisch 4,114,S1000255.51800,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000255.51801,SP1000255.49.51801,SY1000255.2026.51801,iPad1(1000255),255,01.06.26 19:44,Prod,A1000255.6032,Tisch 4,114,S1000255.51801,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000255.51802,SP1000255.49.51802,SY1000255.2026.51802,iPad1(1000255),255,01.06.26 19:44,Prod,A1000255.6032,Tisch 4,114,S1000255.51802,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000255.51803,SP1000255.49.51803,SY1000255.2026.51803,iPad1(1000255),255,01.06.26 17:03,Prod,A1000255.6033,Tisch 11,113,S1000255.51803,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000255.51804,SP1000255.49.51804,SY1000255.2026.51804,iPad1(1000255),255,01.06.26 17:03,Prod,A1000255.6033,Tisch 11,113,S1000255.51804,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000255.51805,SP1000255.49.51805,SY1000255.2026.51805,iPad1(1000255),255,01.06.26 17:03,Prod,A1000255.6033,Tisch 11,113,S1000255.51805,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000255.51806,SP1000255.49.51806,SY1000255.2026.51806,iPad1(1000255),255,01.06.26 10:16,Prod,A1000255.6034,Tisch 4,113,S1000255.51806,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
