Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000124.76510,SP1000124.28.76510,SY1000124.2026.76510,iPad1(1000124),124,01.06.26 09:04,Prod,A1000124.6369,Tisch 2,119,S1000124.76510,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000124.76511,SP1000124.28.76511,SY1000124.2026.76511,iPad1(1000124),124,01.06.26 09:04,Prod,A1000124.6369,Tisch 2,119,S1000124.76511,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000124.76512,SP1000124.28.76512,SY1000124.2026.76512,iPad1(1000124),124,01.06.26 13:21,Prod,A1000124.6370,Tisch 16,119,S1000124.76512,VOID,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000124.76513,SP1000124.28.76513,SY1000124.2026.76513,iPad1(1000124),124,01.06.26 13:21,Prod,A1000124.6370,Tisch 16,119,S1000124.76513,VOID,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000124.76514,SP1000124.28.76514,SY1000124.2026.76514,iPad1(1000124),124,01.06.26 13:21,Prod,A1000124.6370,Tisch 16,119,S1000124.76514,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000124.76515,SP1000124.28.76515,SY1000124.2026.76515,iPad1(1000124),124,01.06.26 16:54,Prod,A1000124.6371,Tisch 9,119,S1000124.76515,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000124.76516,SP1000124.28.76516,SY1000124.2026.76516,iPad1(1000124),124,01.06.26 16:47,Prod,A1000124.6372,Tisch 17,112,S1000124.76516,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000124.76517,SP1000124.28.76517,SY1000124.2026.76517,iPad1(1000124),124,01.06.26 16:47,Prod,A1000124.6372,Tisch 17,112,S1000124.76517,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000124.76518,SP1000124.28.76518,SY1000124.2026.76518,iPad1(1000124),124,01.06.26 11:43,Prod,A1000124.6373,Tisch 18,119,S1000124.76518,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000124.76519,SP1000124.28.76519,SY1000124.2026.76519,iPad1(1000124),124,01.06.26 11:43,Prod,A1000124.6373,Tisch 18,119,S1000124.76519,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
