Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000386.14083,SP1000386.22.14083,SY1000386.2026.14083,iPad1(1000386),386,01.06.26 17:19,Prod,A1000386.6046,Tisch 5,109,S1000386.14083,VOID,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000386.14084,SP1000386.22.14084,SY1000386.2026.14084,iPad1(1000386),386,01.06.26 17:19,Prod,A1000386.6046,Tisch 5,109,S1000386.14084,VOID,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000386.14085,SP1000386.22.14085,SY1000386.2026.14085,iPad1(1000386),386,01.06.26 20:45,Prod,A1000386.6047,Tisch 12,120,S1000386.14085,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000386.14086,SP1000386.22.14086,SY1000386.2026.14086,iPad1(1000386),386,01.06.26 16:15,Prod,A1000386.6048,Tisch 8,117,S1000386.14086,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000386.14087,SP1000386.22.14087,SY1000386.2026.14087,iPad1(1000386),386,01.06.26 16:15,Prod,A1000386.6048,Tisch 8,117,S1000386.14087,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000386.14088,SP1000386.22.14088,SY1000386.2026.14088,iPad1(1000386),386,01.06.26 16:15,Prod,A1000386.6048,Tisch 8,117,S1000386.14088,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000386.14089,SP1000386.22.14089,SY1000386.2026.14089,iPad1(1000386),386,01.06.26 15:48,Prod,A1000386.6049,Tisch 16,116,S1000386.14089,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000386.14090,SP1000386.22.14090,SY1000386.2026.14090,iPad1(1000386),386,01.06.26 15:48,Prod,A1000386.6049,Tisch 16,116,S1000386.14090,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000386.14091,SP1000386.22.14091,SY1000386.2026.14091,iPad1(1000386),386,01.06.26 19:49,Prod,A1000386.6050,Tisch 10,120,S1000386.14091,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000386.14092,SP1000386.22.14092,SY1000386.2026.14092,iPad1(1000386),386,01.06.26 12:15,Prod,A1000386.6051,Tisch 7,111,S1000386.14092,VOID,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000386.14093,SP1000386.22.14093,SY1000386.2026.14093,iPad1(1000386),386,01.06.26 12:15,Prod,A1000386.6051,Tisch 7,111,S1000386.14093,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000386.14094,SP1000386.22.14094,SY1000386.2026.14094,iPad1(1000386),386,01.06.26 11:17,Prod,A1000386.6052,Tisch 6,111,S1000386.14094,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000386.14095,SP1000386.22.14095,SY1000386.2026.14095,iPad1(1000386),386,01.06.26 11:17,Prod,A1000386.6052,Tisch 6,111,S1000386.14095,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000386.14096,SP1000386.22.14096,SY1000386.2026.14096,iPad1(1000386),386,01.06.26 11:17,Prod,A1000386.6052,Tisch 6,111,S1000386.14096,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000386.14097,SP1000386.22.14097,SY1000386.2026.14097,iPad1(1000386),386,01.06.26 19:46,Prod,A1000386.6053,Tisch 11,120,S1000386.14097,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000386.14098,SP1000386.22.14098,SY1000386.2026.14098,iPad1(1000386),386,01.06.26 19:46,Prod,A1000386.6053,Tisch 11,120,S1000386.14098,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000386.14099,SP1000386.22.14099,SY1000386.2026.14099,iPad1(1000386),386,01.06.26 10:55,Prod,A1000386.6054,,107,S1000386.14099,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
