Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000151.72683,SP1000151.6.72683,SY1000151.2026.72683,iPad1(1000151),151,01.06.26 10:38,Prod,A1000151.6702,Tisch 23,112,S1000151.72683,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000151.72684,SP1000151.6.72684,SY1000151.2026.72684,iPad1(1000151),151,01.06.26 10:38,Prod,A1000151.6702,Tisch 23,112,S1000151.72684,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000151.72685,SP1000151.6.72685,SY1000151.2026.72685,iPad1(1000151),151,01.06.26 14:12,Prod,A1000151.6703,Tisch 1,119,S1000151.72685,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000151.72686,SP1000151.6.72686,SY1000151.2026.72686,iPad1(1000151),151,01.06.26 14:12,Prod,A1000151.6703,Tisch 1,119,S1000151.72686,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000151.72687,SP1000151.6.72687,SY1000151.2026.72687,iPad1(1000151),151,01.06.26 19:15,Prod,A1000151.6704,Tisch 1,119,S1000151.72687,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000151.72688,SP1000151.6.72688,SY1000151.2026.72688,iPad1(1000151),151,01.06.26 19:15,Prod,A1000151.6704,Tisch 1,119,S1000151.72688,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000151.72689,SP1000151.6.72689,SY1000151.2026.72689,iPad1(1000151),151,01.06.26 19:15,Prod,A1000151.6704,Tisch 1,119,S1000151.72689,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000151.72690,SP1000151.6.72690,SY1000151.2026.72690,iPad1(1000151),151,01.06.26 11:36,Prod,A1000151.6705,Tisch 13,119,S1000151.72690,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000151.72691,SP1000151.6.72691,SY1000151.2026.72691,iPad1(1000151),151,01.06.26 11:36,Prod,A1000151.6705,Tisch 13,119,S1000151.72691,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000151.72692,SP1000151.6.72692,SY1000151.2026.72692,iPad1(1000151),151,01.06.26 11:36,Prod,A1000151.6705,Tisch 13,119,S1000151.72692,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000151.72693,SP1000151.6.72693,SY1000151.2026.72693,iPad1(1000151),151,01.06.26 16:11,Prod,A1000151.6706,,105,S1000151.72693,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000151.72694,SP1000151.6.72694,SY1000151.2026.72694,iPad1(1000151),151,01.06.26 16:11,Prod,A1000151.6706,,105,S1000151.72694,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000151.72695,SP1000151.6.72695,SY1000151.2026.72695,iPad1(1000151),151,01.06.26 16:48,Prod,A1000151.6707,Tisch 15,108,S1000151.72695,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000151.72696,SP1000151.6.72696,SY1000151.2026.72696,iPad1(1000151),151,01.06.26 16:48,Prod,A1000151.6707,Tisch 15,108,S1000151.72696,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000151.72697,SP1000151.6.72697,SY1000151.2026.72697,iPad1(1000151),151,01.06.26 16:48,Prod,A1000151.6707,Tisch 15,108,S1000151.72697,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000151.72698,SP1000151.6.72698,SY1000151.2026.72698,iPad1(1000151),151,01.06.26 12:13,Prod,A1000151.6708,Tisch 8,103,S1000151.72698,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000151.72699,SP1000151.6.72699,SY1000151.2026.72699,iPad1(1000151),151,01.06.26 12:29,Prod,A1000151.6709,Tisch 24,111,S1000151.72699,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000151.72700,SP1000151.6.72700,SY1000151.2026.72700,iPad1(1000151),151,01.06.26 12:29,Prod,A1000151.6709,Tisch 24,111,S1000151.72700,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000151.72701,SP1000151.6.72701,SY1000151.2026.72701,iPad1(1000151),151,01.06.26 12:29,Prod,A1000151.6709,Tisch 24,111,S1000151.72701,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000151.72702,SP1000151.6.72702,SY1000151.2026.72702,iPad1(1000151),151,01.06.26 19:07,Prod,A1000151.6710,Tisch 16,107,S1000151.72702,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000151.72703,SP1000151.6.72703,SY1000151.2026.72703,iPad1(1000151),151,01.06.26 11:04,Prod,A1000151.6711,Tisch 16,119,S1000151.72703,VOID,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000151.72704,SP1000151.6.72704,SY1000151.2026.72704,iPad1(1000151),151,01.06.26 11:04,Prod,A1000151.6711,Tisch 16,119,S1000151.72704,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000151.72705,SP1000151.6.72705,SY1000151.2026.72705,iPad1(1000151),151,01.06.26 11:04,Prod,A1000151.6711,Tisch 16,119,S1000151.72705,VOID,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000151.72706,SP1000151.6.72706,SY1000151.2026.72706,iPad1(1000151),151,01.06.26 12:16,Prod,A1000151.6712,Tisch 11,107,S1000151.72706,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000151.72707,SP1000151.6.72707,SY1000151.2026.72707,iPad1(1000151),151,01.06.26 12:16,Prod,A1000151.6712,Tisch 11,107,S1000151.72707,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000151.72708,SP1000151.6.72708,SY1000151.2026.72708,iPad1(1000151),151,01.06.26 20:26,Prod,A1000151.6713,Tisch 4,112,S1000151.72708,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000151.72709,SP1000151.6.72709,SY1000151.2026.72709,iPad1(1000151),151,01.06.26 20:26,Prod,A1000151.6713,Tisch 4,112,S1000151.72709,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000151.72710,SP1000151.6.72710,SY1000151.2026.72710,iPad1(1000151),151,01.06.26 20:26,Prod,A1000151.6713,Tisch 4,112,S1000151.72710,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000151.72711,SP1000151.6.72711,SY1000151.2026.72711,iPad1(1000151),151,01.06.26 11:48,Prod,A1000151.6714,Tisch 10,103,S1000151.72711,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000151.72712,SP1000151.6.72712,SY1000151.2026.72712,iPad1(1000151),151,01.06.26 11:48,Prod,A1000151.6714,Tisch 10,103,S1000151.72712,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000151.72713,SP1000151.6.72713,SY1000151.2026.72713,iPad1(1000151),151,01.06.26 11:48,Prod,A1000151.6714,Tisch 10,103,S1000151.72713,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000151.72714,SP1000151.6.72714,SY1000151.2026.72714,iPad1(1000151),151,01.06.26 11:17,Prod,A1000151.6715,Tisch 3,108,S1000151.72714,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000151.72715,SP1000151.6.72715,SY1000151.2026.72715,iPad1(1000151),151,01.06.26 11:17,Prod,A1000151.6715,Tisch 3,108,S1000151.72715,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000151.72716,SP1000151.6.72716,SY1000151.2026.72716,iPad1(1000151),151,01.06.26 11:17,Prod,A1000151.6715,Tisch 3,108,S1000151.72716,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
