Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000321.59084,SP1000321.31.59084,SY1000321.2026.59084,iPad1(1000321),321,01.06.26 19:24,Prod,A1000321.6795,Tisch 4,104,S1000321.59084,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000321.59085,SP1000321.31.59085,SY1000321.2026.59085,iPad1(1000321),321,01.06.26 19:24,Prod,A1000321.6795,Tisch 4,104,S1000321.59085,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000321.59086,SP1000321.31.59086,SY1000321.2026.59086,iPad1(1000321),321,01.06.26 19:44,Prod,A1000321.6796,Tisch 5,120,S1000321.59086,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000321.59087,SP1000321.31.59087,SY1000321.2026.59087,iPad1(1000321),321,01.06.26 19:44,Prod,A1000321.6796,Tisch 5,120,S1000321.59087,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000321.59088,SP1000321.31.59088,SY1000321.2026.59088,iPad1(1000321),321,01.06.26 18:10,Prod,A1000321.6797,Tisch 14,108,S1000321.59088,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000321.59089,SP1000321.31.59089,SY1000321.2026.59089,iPad1(1000321),321,01.06.26 18:10,Prod,A1000321.6797,Tisch 14,108,S1000321.59089,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000321.59090,SP1000321.31.59090,SY1000321.2026.59090,iPad1(1000321),321,01.06.26 09:39,Prod,A1000321.6798,,113,S1000321.59090,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000321.59091,SP1000321.31.59091,SY1000321.2026.59091,iPad1(1000321),321,01.06.26 19:25,Prod,A1000321.6799,Tisch 1,113,S1000321.59091,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000321.59092,SP1000321.31.59092,SY1000321.2026.59092,iPad1(1000321),321,01.06.26 13:34,Prod,A1000321.6800,Tisch 20,106,S1000321.59092,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000321.59093,SP1000321.31.59093,SY1000321.2026.59093,iPad1(1000321),321,01.06.26 13:34,Prod,A1000321.6800,Tisch 20,106,S1000321.59093,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000321.59094,SP1000321.31.59094,SY1000321.2026.59094,iPad1(1000321),321,01.06.26 13:34,Prod,A1000321.6800,Tisch 20,106,S1000321.59094,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000321.59095,SP1000321.31.59095,SY1000321.2026.59095,iPad1(1000321),321,01.06.26 13:14,Prod,A1000321.6801,Tisch 11,108,S1000321.59095,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000321.59096,SP1000321.31.59096,SY1000321.2026.59096,iPad1(1000321),321,01.06.26 13:17,Prod,A1000321.6802,Tisch 23,113,S1000321.59096,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000321.59097,SP1000321.31.59097,SY1000321.2026.59097,iPad1(1000321),321,01.06.26 13:17,Prod,A1000321.6802,Tisch 23,113,S1000321.59097,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000321.59098,SP1000321.31.59098,SY1000321.2026.59098,iPad1(1000321),321,01.06.26 13:17,Prod,A1000321.6802,Tisch 23,113,S1000321.59098,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000321.59099,SP1000321.31.59099,SY1000321.2026.59099,iPad1(1000321),321,01.06.26 20:03,Prod,A1000321.6803,Tisch 14,120,S1000321.59099,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000321.59100,SP1000321.31.59100,SY1000321.2026.59100,iPad1(1000321),321,01.06.26 12:37,Prod,A1000321.6804,Tisch 15,113,S1000321.59100,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000321.59101,SP1000321.31.59101,SY1000321.2026.59101,iPad1(1000321),321,01.06.26 12:37,Prod,A1000321.6804,Tisch 15,113,S1000321.59101,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000321.59102,SP1000321.31.59102,SY1000321.2026.59102,iPad1(1000321),321,01.06.26 12:37,Prod,A1000321.6804,Tisch 15,113,S1000321.59102,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000321.59103,SP1000321.31.59103,SY1000321.2026.59103,iPad1(1000321),321,01.06.26 16:41,Prod,A1000321.6805,,106,S1000321.59103,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000321.59104,SP1000321.31.59104,SY1000321.2026.59104,iPad1(1000321),321,01.06.26 16:41,Prod,A1000321.6805,,106,S1000321.59104,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000321.59105,SP1000321.31.59105,SY1000321.2026.59105,iPad1(1000321),321,01.06.26 16:41,Prod,A1000321.6805,,106,S1000321.59105,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000321.59106,SP1000321.31.59106,SY1000321.2026.59106,iPad1(1000321),321,01.06.26 19:31,Prod,A1000321.6806,Tisch 23,120,S1000321.59106,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000321.59107,SP1000321.31.59107,SY1000321.2026.59107,iPad1(1000321),321,01.06.26 19:31,Prod,A1000321.6806,Tisch 23,120,S1000321.59107,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000321.59108,SP1000321.31.59108,SY1000321.2026.59108,iPad1(1000321),321,01.06.26 13:58,Prod,A1000321.6807,Tisch 1,106,S1000321.59108,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000321.59109,SP1000321.31.59109,SY1000321.2026.59109,iPad1(1000321),321,01.06.26 20:30,Prod,A1000321.6808,Tisch 10,106,S1000321.59109,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000321.59110,SP1000321.31.59110,SY1000321.2026.59110,iPad1(1000321),321,01.06.26 12:33,Prod,A1000321.6809,Tisch 8,104,S1000321.59110,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000321.59111,SP1000321.31.59111,SY1000321.2026.59111,iPad1(1000321),321,01.06.26 12:33,Prod,A1000321.6809,Tisch 8,104,S1000321.59111,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000321.59112,SP1000321.31.59112,SY1000321.2026.59112,iPad1(1000321),321,01.06.26 12:33,Prod,A1000321.6809,Tisch 8,104,S1000321.59112,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
