Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000025.22328,SP1000025.28.22328,SY1000025.2026.22328,iPad1(1000025),25,01.06.26 11:08,Prod,A1000025.6598,Tisch 15,115,S1000025.22328,VOID,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000025.22329,SP1000025.28.22329,SY1000025.2026.22329,iPad1(1000025),25,01.06.26 11:08,Prod,A1000025.6598,Tisch 15,115,S1000025.22329,VOID,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000025.22330,SP1000025.28.22330,SY1000025.2026.22330,iPad1(1000025),25,01.06.26 11:08,Prod,A1000025.6598,Tisch 15,115,S1000025.22330,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000025.22331,SP1000025.28.22331,SY1000025.2026.22331,iPad1(1000025),25,01.06.26 20:24,Prod,A1000025.6599,Tisch 19,109,S1000025.22331,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000025.22332,SP1000025.28.22332,SY1000025.2026.22332,iPad1(1000025),25,01.06.26 20:24,Prod,A1000025.6599,Tisch 19,109,S1000025.22332,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000025.22333,SP1000025.28.22333,SY1000025.2026.22333,iPad1(1000025),25,01.06.26 20:24,Prod,A1000025.6599,Tisch 19,109,S1000025.22333,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000025.22334,SP1000025.28.22334,SY1000025.2026.22334,iPad1(1000025),25,01.06.26 15:19,Prod,A1000025.6600,Tisch 23,109,S1000025.22334,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000025.22335,SP1000025.28.22335,SY1000025.2026.22335,iPad1(1000025),25,01.06.26 13:56,Prod,A1000025.6601,Tisch 11,115,S1000025.22335,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000025.22336,SP1000025.28.22336,SY1000025.2026.22336,iPad1(1000025),25,01.06.26 13:56,Prod,A1000025.6601,Tisch 11,115,S1000025.22336,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000025.22337,SP1000025.28.22337,SY1000025.2026.22337,iPad1(1000025),25,01.06.26 12:37,Prod,A1000025.6602,Tisch 1,109,S1000025.22337,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
