Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000322.86006,SP1000322.13.86006,SY1000322.2026.86006,iPad1(1000322),322,01.06.26 11:46,Prod,A1000322.6399,Tisch 8,106,S1000322.86006,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000322.86007,SP1000322.13.86007,SY1000322.2026.86007,iPad1(1000322),322,01.06.26 11:46,Prod,A1000322.6399,Tisch 8,106,S1000322.86007,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000322.86008,SP1000322.13.86008,SY1000322.2026.86008,iPad1(1000322),322,01.06.26 11:46,Prod,A1000322.6399,Tisch 8,106,S1000322.86008,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000322.86009,SP1000322.13.86009,SY1000322.2026.86009,iPad1(1000322),322,01.06.26 19:20,Prod,A1000322.6400,Tisch 17,117,S1000322.86009,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000322.86010,SP1000322.13.86010,SY1000322.2026.86010,iPad1(1000322),322,01.06.26 12:04,Prod,A1000322.6401,Tisch 4,106,S1000322.86010,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000322.86011,SP1000322.13.86011,SY1000322.2026.86011,iPad1(1000322),322,01.06.26 12:04,Prod,A1000322.6401,Tisch 4,106,S1000322.86011,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000322.86012,SP1000322.13.86012,SY1000322.2026.86012,iPad1(1000322),322,01.06.26 12:21,Prod,A1000322.6402,Tisch 7,104,S1000322.86012,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000322.86013,SP1000322.13.86013,SY1000322.2026.86013,iPad1(1000322),322,01.06.26 12:21,Prod,A1000322.6402,Tisch 7,104,S1000322.86013,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000322.86014,SP1000322.13.86014,SY1000322.2026.86014,iPad1(1000322),322,01.06.26 12:21,Prod,A1000322.6402,Tisch 7,104,S1000322.86014,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000322.86015,SP1000322.13.86015,SY1000322.2026.86015,iPad1(1000322),322,01.06.26 19:25,Prod,A1000322.6403,Tisch 3,103,S1000322.86015,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
