Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000148.46453,SP1000148.10.46453,SY1000148.2026.46453,iPad1(1000148),148,01.06.26 19:58,Prod,A1000148.6292,Tisch 12,101,S1000148.46453,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000148.46454,SP1000148.10.46454,SY1000148.2026.46454,iPad1(1000148),148,01.06.26 19:58,Prod,A1000148.6292,Tisch 12,101,S1000148.46454,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000148.46455,SP1000148.10.46455,SY1000148.2026.46455,iPad1(1000148),148,01.06.26 19:58,Prod,A1000148.6292,Tisch 12,101,S1000148.46455,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000148.46456,SP1000148.10.46456,SY1000148.2026.46456,iPad1(1000148),148,01.06.26 12:55,Prod,A1000148.6293,Tisch 14,103,S1000148.46456,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000148.46457,SP1000148.10.46457,SY1000148.2026.46457,iPad1(1000148),148,01.06.26 12:55,Prod,A1000148.6293,Tisch 14,103,S1000148.46457,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000148.46458,SP1000148.10.46458,SY1000148.2026.46458,iPad1(1000148),148,01.06.26 12:55,Prod,A1000148.6293,Tisch 14,103,S1000148.46458,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000148.46459,SP1000148.10.46459,SY1000148.2026.46459,iPad1(1000148),148,01.06.26 19:58,Prod,A1000148.6294,Tisch 13,107,S1000148.46459,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000148.46460,SP1000148.10.46460,SY1000148.2026.46460,iPad1(1000148),148,01.06.26 19:58,Prod,A1000148.6294,Tisch 13,107,S1000148.46460,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000148.46461,SP1000148.10.46461,SY1000148.2026.46461,iPad1(1000148),148,01.06.26 12:21,Prod,A1000148.6295,Tisch 21,112,S1000148.46461,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000148.46462,SP1000148.10.46462,SY1000148.2026.46462,iPad1(1000148),148,01.06.26 09:24,Prod,A1000148.6296,,112,S1000148.46462,VOID,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000148.46463,SP1000148.10.46463,SY1000148.2026.46463,iPad1(1000148),148,01.06.26 09:24,Prod,A1000148.6296,,112,S1000148.46463,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000148.46464,SP1000148.10.46464,SY1000148.2026.46464,iPad1(1000148),148,01.06.26 12:12,Prod,A1000148.6297,Tisch 22,116,S1000148.46464,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000148.46465,SP1000148.10.46465,SY1000148.2026.46465,iPad1(1000148),148,01.06.26 12:12,Prod,A1000148.6297,Tisch 22,116,S1000148.46465,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000148.46466,SP1000148.10.46466,SY1000148.2026.46466,iPad1(1000148),148,01.06.26 15:00,Prod,A1000148.6298,Tisch 23,101,S1000148.46466,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000148.46467,SP1000148.10.46467,SY1000148.2026.46467,iPad1(1000148),148,01.06.26 12:17,Prod,A1000148.6299,Tisch 10,112,S1000148.46467,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000148.46468,SP1000148.10.46468,SY1000148.2026.46468,iPad1(1000148),148,01.06.26 16:11,Prod,A1000148.6300,Tisch 11,116,S1000148.46468,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000148.46469,SP1000148.10.46469,SY1000148.2026.46469,iPad1(1000148),148,01.06.26 16:11,Prod,A1000148.6300,Tisch 11,116,S1000148.46469,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000148.46470,SP1000148.10.46470,SY1000148.2026.46470,iPad1(1000148),148,01.06.26 20:48,Prod,A1000148.6301,Tisch 3,103,S1000148.46470,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000148.46471,SP1000148.10.46471,SY1000148.2026.46471,iPad1(1000148),148,01.06.26 20:48,Prod,A1000148.6301,Tisch 3,103,S1000148.46471,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000148.46472,SP1000148.10.46472,SY1000148.2026.46472,iPad1(1000148),148,01.06.26 20:50,Prod,A1000148.6302,Tisch 24,101,S1000148.46472,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000148.46473,SP1000148.10.46473,SY1000148.2026.46473,iPad1(1000148),148,01.06.26 20:50,Prod,A1000148.6302,Tisch 24,101,S1000148.46473,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000148.46474,SP1000148.10.46474,SY1000148.2026.46474,iPad1(1000148),148,01.06.26 13:03,Prod,A1000148.6303,Tisch 14,103,S1000148.46474,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000148.46475,SP1000148.10.46475,SY1000148.2026.46475,iPad1(1000148),148,01.06.26 17:06,Prod,A1000148.6304,,112,S1000148.46475,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000148.46476,SP1000148.10.46476,SY1000148.2026.46476,iPad1(1000148),148,01.06.26 17:06,Prod,A1000148.6304,,112,S1000148.46476,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000148.46477,SP1000148.10.46477,SY1000148.2026.46477,iPad1(1000148),148,01.06.26 17:06,Prod,A1000148.6304,,112,S1000148.46477,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000148.46478,SP1000148.10.46478,SY1000148.2026.46478,iPad1(1000148),148,01.06.26 09:17,Prod,A1000148.6305,,112,S1000148.46478,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000148.46479,SP1000148.10.46479,SY1000148.2026.46479,iPad1(1000148),148,01.06.26 09:17,Prod,A1000148.6305,,112,S1000148.46479,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000148.46480,SP1000148.10.46480,SY1000148.2026.46480,iPad1(1000148),148,01.06.26 09:17,Prod,A1000148.6305,,112,S1000148.46480,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000148.46481,SP1000148.10.46481,SY1000148.2026.46481,iPad1(1000148),148,01.06.26 17:29,Prod,A1000148.6306,Tisch 23,116,S1000148.46481,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
