Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000251.87838,SP1000251.30.87838,SY1000251.2026.87838,iPad1(1000251),251,01.06.26 14:50,Prod,A1000251.6727,Tisch 10,111,S1000251.87838,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000251.87839,SP1000251.30.87839,SY1000251.2026.87839,iPad1(1000251),251,01.06.26 14:50,Prod,A1000251.6727,Tisch 10,111,S1000251.87839,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000251.87840,SP1000251.30.87840,SY1000251.2026.87840,iPad1(1000251),251,01.06.26 14:50,Prod,A1000251.6727,Tisch 10,111,S1000251.87840,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000251.87841,SP1000251.30.87841,SY1000251.2026.87841,iPad1(1000251),251,01.06.26 19:20,Prod,A1000251.6728,Tisch 19,113,S1000251.87841,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000251.87842,SP1000251.30.87842,SY1000251.2026.87842,iPad1(1000251),251,01.06.26 11:13,Prod,A1000251.6729,Tisch 3,111,S1000251.87842,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000251.87843,SP1000251.30.87843,SY1000251.2026.87843,iPad1(1000251),251,01.06.26 11:13,Prod,A1000251.6729,Tisch 3,111,S1000251.87843,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000251.87844,SP1000251.30.87844,SY1000251.2026.87844,iPad1(1000251),251,01.06.26 11:13,Prod,A1000251.6729,Tisch 3,111,S1000251.87844,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000251.87845,SP1000251.30.87845,SY1000251.2026.87845,iPad1(1000251),251,01.06.26 12:04,Prod,A1000251.6730,Tisch 17,109,S1000251.87845,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000251.87846,SP1000251.30.87846,SY1000251.2026.87846,iPad1(1000251),251,01.06.26 12:04,Prod,A1000251.6730,Tisch 17,109,S1000251.87846,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000251.87847,SP1000251.30.87847,SY1000251.2026.87847,iPad1(1000251),251,01.06.26 13:47,Prod,A1000251.6731,Tisch 17,111,S1000251.87847,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000251.87848,SP1000251.30.87848,SY1000251.2026.87848,iPad1(1000251),251,01.06.26 13:47,Prod,A1000251.6731,Tisch 17,111,S1000251.87848,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000251.87849,SP1000251.30.87849,SY1000251.2026.87849,iPad1(1000251),251,01.06.26 13:47,Prod,A1000251.6731,Tisch 17,111,S1000251.87849,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
