Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000068.67570,SP1000068.41.67570,SY1000068.2026.67570,iPad1(1000068),68,01.06.26 16:27,Prod,A1000068.6381,Tisch 1,119,S1000068.67570,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000068.67571,SP1000068.41.67571,SY1000068.2026.67571,iPad1(1000068),68,01.06.26 19:22,Prod,A1000068.6382,Tisch 15,102,S1000068.67571,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000068.67572,SP1000068.41.67572,SY1000068.2026.67572,iPad1(1000068),68,01.06.26 16:17,Prod,A1000068.6383,Tisch 9,116,S1000068.67572,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000068.67573,SP1000068.41.67573,SY1000068.2026.67573,iPad1(1000068),68,01.06.26 12:06,Prod,A1000068.6384,Tisch 14,116,S1000068.67573,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000068.67574,SP1000068.41.67574,SY1000068.2026.67574,iPad1(1000068),68,01.06.26 12:06,Prod,A1000068.6384,Tisch 14,116,S1000068.67574,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000068.67575,SP1000068.41.67575,SY1000068.2026.67575,iPad1(1000068),68,01.06.26 10:11,Prod,A1000068.6385,Tisch 6,119,S1000068.67575,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000068.67576,SP1000068.41.67576,SY1000068.2026.67576,iPad1(1000068),68,01.06.26 10:11,Prod,A1000068.6385,Tisch 6,119,S1000068.67576,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000068.67577,SP1000068.41.67577,SY1000068.2026.67577,iPad1(1000068),68,01.06.26 10:11,Prod,A1000068.6385,Tisch 6,119,S1000068.67577,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000068.67578,SP1000068.41.67578,SY1000068.2026.67578,iPad1(1000068),68,01.06.26 19:40,Prod,A1000068.6386,Tisch 9,112,S1000068.67578,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000068.67579,SP1000068.41.67579,SY1000068.2026.67579,iPad1(1000068),68,01.06.26 19:40,Prod,A1000068.6386,Tisch 9,112,S1000068.67579,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
