Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000031.39121,SP1000031.49.39121,SY1000031.2026.39121,iPad1(1000031),31,01.06.26 16:49,Prod,A1000031.6835,Tisch 20,106,S1000031.39121,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000031.39122,SP1000031.49.39122,SY1000031.2026.39122,iPad1(1000031),31,01.06.26 16:49,Prod,A1000031.6835,Tisch 20,106,S1000031.39122,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000031.39123,SP1000031.49.39123,SY1000031.2026.39123,iPad1(1000031),31,01.06.26 16:49,Prod,A1000031.6835,Tisch 20,106,S1000031.39123,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000031.39124,SP1000031.49.39124,SY1000031.2026.39124,iPad1(1000031),31,01.06.26 17:39,Prod,A1000031.6836,Tisch 8,106,S1000031.39124,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000031.39125,SP1000031.49.39125,SY1000031.2026.39125,iPad1(1000031),31,01.06.26 17:39,Prod,A1000031.6836,Tisch 8,106,S1000031.39125,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000031.39126,SP1000031.49.39126,SY1000031.2026.39126,iPad1(1000031),31,01.06.26 17:39,Prod,A1000031.6836,Tisch 8,106,S1000031.39126,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000031.39127,SP1000031.49.39127,SY1000031.2026.39127,iPad1(1000031),31,01.06.26 20:48,Prod,A1000031.6837,Tisch 5,103,S1000031.39127,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000031.39128,SP1000031.49.39128,SY1000031.2026.39128,iPad1(1000031),31,01.06.26 11:39,Prod,A1000031.6838,Tisch 17,105,S1000031.39128,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000031.39129,SP1000031.49.39129,SY1000031.2026.39129,iPad1(1000031),31,01.06.26 16:51,Prod,A1000031.6839,Tisch 3,106,S1000031.39129,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000031.39130,SP1000031.49.39130,SY1000031.2026.39130,iPad1(1000031),31,01.06.26 16:51,Prod,A1000031.6839,Tisch 3,106,S1000031.39130,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000031.39131,SP1000031.49.39131,SY1000031.2026.39131,iPad1(1000031),31,01.06.26 20:39,Prod,A1000031.6840,Tisch 17,107,S1000031.39131,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000031.39132,SP1000031.49.39132,SY1000031.2026.39132,iPad1(1000031),31,01.06.26 20:39,Prod,A1000031.6840,Tisch 17,107,S1000031.39132,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000031.39133,SP1000031.49.39133,SY1000031.2026.39133,iPad1(1000031),31,01.06.26 20:39,Prod,A1000031.6840,Tisch 17,107,S1000031.39133,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000031.39134,SP1000031.49.39134,SY1000031.2026.39134,iPad1(1000031),31,01.06.26 20:57,Prod,A1000031.6841,Tisch 3,105,S1000031.39134,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000031.39135,SP1000031.49.39135,SY1000031.2026.39135,iPad1(1000031),31,01.06.26 20:57,Prod,A1000031.6841,Tisch 3,105,S1000031.39135,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000031.39136,SP1000031.49.39136,SY1000031.2026.39136,iPad1(1000031),31,01.06.26 12:29,Prod,A1000031.6842,Tisch 12,107,S1000031.39136,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000031.39137,SP1000031.49.39137,SY1000031.2026.39137,iPad1(1000031),31,01.06.26 12:29,Prod,A1000031.6842,Tisch 12,107,S1000031.39137,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000031.39138,SP1000031.49.39138,SY1000031.2026.39138,iPad1(1000031),31,01.06.26 19:05,Prod,A1000031.6843,Tisch 13,107,S1000031.39138,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000031.39139,SP1000031.49.39139,SY1000031.2026.39139,iPad1(1000031),31,01.06.26 19:05,Prod,A1000031.6843,Tisch 13,107,S1000031.39139,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000031.39140,SP1000031.49.39140,SY1000031.2026.39140,iPad1(1000031),31,01.06.26 19:05,Prod,A1000031.6843,Tisch 13,107,S1000031.39140,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000031.39141,SP1000031.49.39141,SY1000031.2026.39141,iPad1(1000031),31,01.06.26 14:23,Prod,A1000031.6844,Tisch 22,105,S1000031.39141,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000031.39142,SP1000031.49.39142,SY1000031.2026.39142,iPad1(1000031),31,01.06.26 11:22,Prod,A1000031.6845,Tisch 16,107,S1000031.39142,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000031.39143,SP1000031.49.39143,SY1000031.2026.39143,iPad1(1000031),31,01.06.26 11:22,Prod,A1000031.6845,Tisch 16,107,S1000031.39143,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000031.39144,SP1000031.49.39144,SY1000031.2026.39144,iPad1(1000031),31,01.06.26 13:47,Prod,A1000031.6846,Tisch 18,107,S1000031.39144,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000031.39145,SP1000031.49.39145,SY1000031.2026.39145,iPad1(1000031),31,01.06.26 13:47,Prod,A1000031.6846,Tisch 18,107,S1000031.39145,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000031.39146,SP1000031.49.39146,SY1000031.2026.39146,iPad1(1000031),31,01.06.26 13:47,Prod,A1000031.6846,Tisch 18,107,S1000031.39146,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000031.39147,SP1000031.49.39147,SY1000031.2026.39147,iPad1(1000031),31,01.06.26 20:02,Prod,A1000031.6847,Tisch 16,110,S1000031.39147,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000031.39148,SP1000031.49.39148,SY1000031.2026.39148,iPad1(1000031),31,01.06.26 20:02,Prod,A1000031.6847,Tisch 16,110,S1000031.39148,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000031.39149,SP1000031.49.39149,SY1000031.2026.39149,iPad1(1000031),31,01.06.26 20:02,Prod,A1000031.6847,Tisch 16,110,S1000031.39149,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000031.39150,SP1000031.49.39150,SY1000031.2026.39150,iPad1(1000031),31,01.06.26 11:32,Prod,A1000031.6848,Tisch 11,110,S1000031.39150,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000031.39151,SP1000031.49.39151,SY1000031.2026.39151,iPad1(1000031),31,01.06.26 11:32,Prod,A1000031.6848,Tisch 11,110,S1000031.39151,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000031.39152,SP1000031.49.39152,SY1000031.2026.39152,iPad1(1000031),31,01.06.26 11:32,Prod,A1000031.6848,Tisch 11,110,S1000031.39152,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000031.39153,SP1000031.49.39153,SY1000031.2026.39153,iPad1(1000031),31,01.06.26 20:49,Prod,A1000031.6849,Tisch 24,106,S1000031.39153,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000031.39154,SP1000031.49.39154,SY1000031.2026.39154,iPad1(1000031),31,01.06.26 20:49,Prod,A1000031.6849,Tisch 24,106,S1000031.39154,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000031.39155,SP1000031.49.39155,SY1000031.2026.39155,iPad1(1000031),31,01.06.26 10:37,Prod,A1000031.6850,Tisch 1,103,S1000031.39155,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000031.39156,SP1000031.49.39156,SY1000031.2026.39156,iPad1(1000031),31,01.06.26 10:37,Prod,A1000031.6850,Tisch 1,103,S1000031.39156,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
