Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000180.82576,SP1000180.49.82576,SY1000180.2026.82576,iPad1(1000180),180,01.06.26 08:33,Prod,A1000180.6807,Tisch 22,118,S1000180.82576,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000180.82577,SP1000180.49.82577,SY1000180.2026.82577,iPad1(1000180),180,01.06.26 08:33,Prod,A1000180.6807,Tisch 22,118,S1000180.82577,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000180.82578,SP1000180.49.82578,SY1000180.2026.82578,iPad1(1000180),180,01.06.26 08:33,Prod,A1000180.6807,Tisch 22,118,S1000180.82578,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000180.82579,SP1000180.49.82579,SY1000180.2026.82579,iPad1(1000180),180,01.06.26 16:36,Prod,A1000180.6808,Tisch 9,111,S1000180.82579,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000180.82580,SP1000180.49.82580,SY1000180.2026.82580,iPad1(1000180),180,01.06.26 16:36,Prod,A1000180.6808,Tisch 9,111,S1000180.82580,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000180.82581,SP1000180.49.82581,SY1000180.2026.82581,iPad1(1000180),180,01.06.26 12:34,Prod,A1000180.6809,,112,S1000180.82581,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000180.82582,SP1000180.49.82582,SY1000180.2026.82582,iPad1(1000180),180,01.06.26 12:34,Prod,A1000180.6809,,112,S1000180.82582,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000180.82583,SP1000180.49.82583,SY1000180.2026.82583,iPad1(1000180),180,01.06.26 16:32,Prod,A1000180.6810,Tisch 14,109,S1000180.82583,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000180.82584,SP1000180.49.82584,SY1000180.2026.82584,iPad1(1000180),180,01.06.26 16:32,Prod,A1000180.6810,Tisch 14,109,S1000180.82584,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000180.82585,SP1000180.49.82585,SY1000180.2026.82585,iPad1(1000180),180,01.06.26 16:32,Prod,A1000180.6810,Tisch 14,109,S1000180.82585,VOID,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
