Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000213.10483,SP1000213.51.10483,SY1000213.2026.10483,iPad1(1000213),213,01.06.26 12:34,Prod,A1000213.6517,Tisch 18,119,S1000213.10483,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000213.10484,SP1000213.51.10484,SY1000213.2026.10484,iPad1(1000213),213,01.06.26 19:53,Prod,A1000213.6518,Tisch 23,115,S1000213.10484,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000213.10485,SP1000213.51.10485,SY1000213.2026.10485,iPad1(1000213),213,01.06.26 19:53,Prod,A1000213.6518,Tisch 23,115,S1000213.10485,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000213.10486,SP1000213.51.10486,SY1000213.2026.10486,iPad1(1000213),213,01.06.26 18:20,Prod,A1000213.6519,Tisch 8,118,S1000213.10486,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000213.10487,SP1000213.51.10487,SY1000213.2026.10487,iPad1(1000213),213,01.06.26 18:20,Prod,A1000213.6519,Tisch 8,118,S1000213.10487,VOID,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000213.10488,SP1000213.51.10488,SY1000213.2026.10488,iPad1(1000213),213,01.06.26 18:20,Prod,A1000213.6519,Tisch 8,118,S1000213.10488,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000213.10489,SP1000213.51.10489,SY1000213.2026.10489,iPad1(1000213),213,01.06.26 17:25,Prod,A1000213.6520,,104,S1000213.10489,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000213.10490,SP1000213.51.10490,SY1000213.2026.10490,iPad1(1000213),213,01.06.26 12:57,Prod,A1000213.6521,Tisch 22,119,S1000213.10490,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000213.10491,SP1000213.51.10491,SY1000213.2026.10491,iPad1(1000213),213,01.06.26 20:27,Prod,A1000213.6522,Tisch 22,113,S1000213.10491,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000213.10492,SP1000213.51.10492,SY1000213.2026.10492,iPad1(1000213),213,01.06.26 20:27,Prod,A1000213.6522,Tisch 22,113,S1000213.10492,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000213.10493,SP1000213.51.10493,SY1000213.2026.10493,iPad1(1000213),213,01.06.26 12:14,Prod,A1000213.6523,Tisch 24,117,S1000213.10493,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000213.10494,SP1000213.51.10494,SY1000213.2026.10494,iPad1(1000213),213,01.06.26 12:14,Prod,A1000213.6523,Tisch 24,117,S1000213.10494,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000213.10495,SP1000213.51.10495,SY1000213.2026.10495,iPad1(1000213),213,01.06.26 15:47,Prod,A1000213.6524,,119,S1000213.10495,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000213.10496,SP1000213.51.10496,SY1000213.2026.10496,iPad1(1000213),213,01.06.26 09:52,Prod,A1000213.6525,,104,S1000213.10496,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000213.10497,SP1000213.51.10497,SY1000213.2026.10497,iPad1(1000213),213,01.06.26 16:33,Prod,A1000213.6526,Tisch 13,113,S1000213.10497,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000213.10498,SP1000213.51.10498,SY1000213.2026.10498,iPad1(1000213),213,01.06.26 16:33,Prod,A1000213.6526,Tisch 13,113,S1000213.10498,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000213.10499,SP1000213.51.10499,SY1000213.2026.10499,iPad1(1000213),213,01.06.26 16:33,Prod,A1000213.6526,Tisch 13,113,S1000213.10499,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000213.10500,SP1000213.51.10500,SY1000213.2026.10500,iPad1(1000213),213,01.06.26 11:37,Prod,A1000213.6527,Tisch 2,115,S1000213.10500,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000213.10501,SP1000213.51.10501,SY1000213.2026.10501,iPad1(1000213),213,01.06.26 11:37,Prod,A1000213.6527,Tisch 2,115,S1000213.10501,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000213.10502,SP1000213.51.10502,SY1000213.2026.10502,iPad1(1000213),213,01.06.26 11:37,Prod,A1000213.6527,Tisch 2,115,S1000213.10502,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000213.10503,SP1000213.51.10503,SY1000213.2026.10503,iPad1(1000213),213,01.06.26 15:51,Prod,A1000213.6528,Tisch 18,115,S1000213.10503,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000213.10504,SP1000213.51.10504,SY1000213.2026.10504,iPad1(1000213),213,01.06.26 13:43,Prod,A1000213.6529,Tisch 4,104,S1000213.10504,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000213.10505,SP1000213.51.10505,SY1000213.2026.10505,iPad1(1000213),213,01.06.26 13:43,Prod,A1000213.6529,Tisch 4,104,S1000213.10505,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000213.10506,SP1000213.51.10506,SY1000213.2026.10506,iPad1(1000213),213,01.06.26 16:15,Prod,A1000213.6530,Tisch 13,117,S1000213.10506,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000213.10507,SP1000213.51.10507,SY1000213.2026.10507,iPad1(1000213),213,01.06.26 16:15,Prod,A1000213.6530,Tisch 13,117,S1000213.10507,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000213.10508,SP1000213.51.10508,SY1000213.2026.10508,iPad1(1000213),213,01.06.26 16:15,Prod,A1000213.6530,Tisch 13,117,S1000213.10508,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
