Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000173.10425,SP1000173.46.10425,SY1000173.2026.10425,iPad1(1000173),173,01.06.26 16:32,Prod,A1000173.6139,Tisch 9,115,S1000173.10425,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000173.10426,SP1000173.46.10426,SY1000173.2026.10426,iPad1(1000173),173,01.06.26 16:32,Prod,A1000173.6139,Tisch 9,115,S1000173.10426,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000173.10427,SP1000173.46.10427,SY1000173.2026.10427,iPad1(1000173),173,01.06.26 16:32,Prod,A1000173.6139,Tisch 9,115,S1000173.10427,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000173.10428,SP1000173.46.10428,SY1000173.2026.10428,iPad1(1000173),173,01.06.26 20:35,Prod,A1000173.6140,Tisch 1,120,S1000173.10428,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000173.10429,SP1000173.46.10429,SY1000173.2026.10429,iPad1(1000173),173,01.06.26 20:35,Prod,A1000173.6140,Tisch 1,120,S1000173.10429,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000173.10430,SP1000173.46.10430,SY1000173.2026.10430,iPad1(1000173),173,01.06.26 20:35,Prod,A1000173.6140,Tisch 1,120,S1000173.10430,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000173.10431,SP1000173.46.10431,SY1000173.2026.10431,iPad1(1000173),173,01.06.26 16:52,Prod,A1000173.6141,Tisch 18,117,S1000173.10431,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000173.10432,SP1000173.46.10432,SY1000173.2026.10432,iPad1(1000173),173,01.06.26 16:52,Prod,A1000173.6141,Tisch 18,117,S1000173.10432,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000173.10433,SP1000173.46.10433,SY1000173.2026.10433,iPad1(1000173),173,01.06.26 18:46,Prod,A1000173.6142,Tisch 22,102,S1000173.10433,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000173.10434,SP1000173.46.10434,SY1000173.2026.10434,iPad1(1000173),173,01.06.26 18:46,Prod,A1000173.6142,Tisch 22,102,S1000173.10434,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
