Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000266.46002,SP1000266.5.46002,SY1000266.2026.46002,iPad1(1000266),266,01.06.26 19:51,Prod,A1000266.6997,Tisch 5,109,S1000266.46002,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000266.46003,SP1000266.5.46003,SY1000266.2026.46003,iPad1(1000266),266,01.06.26 16:19,Prod,A1000266.6998,Tisch 9,104,S1000266.46003,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000266.46004,SP1000266.5.46004,SY1000266.2026.46004,iPad1(1000266),266,01.06.26 16:19,Prod,A1000266.6998,Tisch 9,104,S1000266.46004,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000266.46005,SP1000266.5.46005,SY1000266.2026.46005,iPad1(1000266),266,01.06.26 16:19,Prod,A1000266.6998,Tisch 9,104,S1000266.46005,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000266.46006,SP1000266.5.46006,SY1000266.2026.46006,iPad1(1000266),266,01.06.26 11:46,Prod,A1000266.6999,Tisch 23,109,S1000266.46006,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000266.46007,SP1000266.5.46007,SY1000266.2026.46007,iPad1(1000266),266,01.06.26 11:46,Prod,A1000266.6999,Tisch 23,109,S1000266.46007,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000266.46008,SP1000266.5.46008,SY1000266.2026.46008,iPad1(1000266),266,01.06.26 10:57,Prod,A1000266.7000,,115,S1000266.46008,VOID,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000266.46009,SP1000266.5.46009,SY1000266.2026.46009,iPad1(1000266),266,01.06.26 10:57,Prod,A1000266.7000,,115,S1000266.46009,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000266.46010,SP1000266.5.46010,SY1000266.2026.46010,iPad1(1000266),266,01.06.26 10:57,Prod,A1000266.7000,,115,S1000266.46010,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000266.46011,SP1000266.5.46011,SY1000266.2026.46011,iPad1(1000266),266,01.06.26 08:09,Prod,A1000266.7001,,104,S1000266.46011,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000266.46012,SP1000266.5.46012,SY1000266.2026.46012,iPad1(1000266),266,01.06.26 08:09,Prod,A1000266.7001,,104,S1000266.46012,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000266.46013,SP1000266.5.46013,SY1000266.2026.46013,iPad1(1000266),266,01.06.26 08:09,Prod,A1000266.7001,,104,S1000266.46013,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000266.46014,SP1000266.5.46014,SY1000266.2026.46014,iPad1(1000266),266,01.06.26 19:15,Prod,A1000266.7002,Tisch 19,115,S1000266.46014,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000266.46015,SP1000266.5.46015,SY1000266.2026.46015,iPad1(1000266),266,01.06.26 19:15,Prod,A1000266.7002,Tisch 19,115,S1000266.46015,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000266.46016,SP1000266.5.46016,SY1000266.2026.46016,iPad1(1000266),266,01.06.26 19:15,Prod,A1000266.7002,Tisch 19,115,S1000266.46016,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000266.46017,SP1000266.5.46017,SY1000266.2026.46017,iPad1(1000266),266,01.06.26 16:13,Prod,A1000266.7003,Tisch 9,101,S1000266.46017,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000266.46018,SP1000266.5.46018,SY1000266.2026.46018,iPad1(1000266),266,01.06.26 16:13,Prod,A1000266.7003,Tisch 9,101,S1000266.46018,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000266.46019,SP1000266.5.46019,SY1000266.2026.46019,iPad1(1000266),266,01.06.26 18:14,Prod,A1000266.7004,Tisch 11,114,S1000266.46019,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000266.46020,SP1000266.5.46020,SY1000266.2026.46020,iPad1(1000266),266,01.06.26 12:52,Prod,A1000266.7005,Tisch 3,103,S1000266.46020,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000266.46021,SP1000266.5.46021,SY1000266.2026.46021,iPad1(1000266),266,01.06.26 11:27,Prod,A1000266.7006,Tisch 5,114,S1000266.46021,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000266.46022,SP1000266.5.46022,SY1000266.2026.46022,iPad1(1000266),266,01.06.26 11:27,Prod,A1000266.7006,Tisch 5,114,S1000266.46022,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000266.46023,SP1000266.5.46023,SY1000266.2026.46023,iPad1(1000266),266,01.06.26 20:19,Prod,A1000266.7007,Tisch 22,109,S1000266.46023,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000266.46024,SP1000266.5.46024,SY1000266.2026.46024,iPad1(1000266),266,01.06.26 14:54,Prod,A1000266.7008,Tisch 13,104,S1000266.46024,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000266.46025,SP1000266.5.46025,SY1000266.2026.46025,iPad1(1000266),266,01.06.26 14:54,Prod,A1000266.7008,Tisch 13,104,S1000266.46025,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000266.46026,SP1000266.5.46026,SY1000266.2026.46026,iPad1(1000266),266,01.06.26 14:54,Prod,A1000266.7008,Tisch 13,104,S1000266.46026,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000266.46027,SP1000266.5.46027,SY1000266.2026.46027,iPad1(1000266),266,01.06.26 13:15,Prod,A1000266.7009,,115,S1000266.46027,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000266.46028,SP1000266.5.46028,SY1000266.2026.46028,iPad1(1000266),266,01.06.26 13:15,Prod,A1000266.7009,,115,S1000266.46028,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000266.46029,SP1000266.5.46029,SY1000266.2026.46029,iPad1(1000266),266,01.06.26 08:52,Prod,A1000266.7010,Tisch 17,104,S1000266.46029,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000266.46030,SP1000266.5.46030,SY1000266.2026.46030,iPad1(1000266),266,01.06.26 10:44,Prod,A1000266.7011,Tisch 4,104,S1000266.46030,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000266.46031,SP1000266.5.46031,SY1000266.2026.46031,iPad1(1000266),266,01.06.26 10:44,Prod,A1000266.7011,Tisch 4,104,S1000266.46031,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000266.46032,SP1000266.5.46032,SY1000266.2026.46032,iPad1(1000266),266,01.06.26 10:32,Prod,A1000266.7012,,114,S1000266.46032,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000266.46033,SP1000266.5.46033,SY1000266.2026.46033,iPad1(1000266),266,01.06.26 10:32,Prod,A1000266.7012,,114,S1000266.46033,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
