Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000219.28467,SP1000219.3.28467,SY1000219.2026.28467,iPad1(1000219),219,01.06.26 17:24,Prod,A1000219.6060,Tisch 15,103,S1000219.28467,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000219.28468,SP1000219.3.28468,SY1000219.2026.28468,iPad1(1000219),219,01.06.26 17:24,Prod,A1000219.6060,Tisch 15,103,S1000219.28468,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000219.28469,SP1000219.3.28469,SY1000219.2026.28469,iPad1(1000219),219,01.06.26 17:24,Prod,A1000219.6060,Tisch 15,103,S1000219.28469,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000219.28470,SP1000219.3.28470,SY1000219.2026.28470,iPad1(1000219),219,01.06.26 12:39,Prod,A1000219.6061,Tisch 5,117,S1000219.28470,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000219.28471,SP1000219.3.28471,SY1000219.2026.28471,iPad1(1000219),219,01.06.26 12:39,Prod,A1000219.6061,Tisch 5,117,S1000219.28471,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000219.28472,SP1000219.3.28472,SY1000219.2026.28472,iPad1(1000219),219,01.06.26 12:39,Prod,A1000219.6061,Tisch 5,117,S1000219.28472,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000219.28473,SP1000219.3.28473,SY1000219.2026.28473,iPad1(1000219),219,01.06.26 20:41,Prod,A1000219.6062,Tisch 17,103,S1000219.28473,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000219.28474,SP1000219.3.28474,SY1000219.2026.28474,iPad1(1000219),219,01.06.26 20:04,Prod,A1000219.6063,Tisch 9,117,S1000219.28474,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000219.28475,SP1000219.3.28475,SY1000219.2026.28475,iPad1(1000219),219,01.06.26 20:04,Prod,A1000219.6063,Tisch 9,117,S1000219.28475,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000219.28476,SP1000219.3.28476,SY1000219.2026.28476,iPad1(1000219),219,01.06.26 20:04,Prod,A1000219.6063,Tisch 9,117,S1000219.28476,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
