Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000358.48945,SP1000358.29.48945,SY1000358.2026.48945,iPad1(1000358),358,01.06.26 11:11,Prod,A1000358.6292,Tisch 8,105,S1000358.48945,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000358.48946,SP1000358.29.48946,SY1000358.2026.48946,iPad1(1000358),358,01.06.26 11:11,Prod,A1000358.6292,Tisch 8,105,S1000358.48946,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000358.48947,SP1000358.29.48947,SY1000358.2026.48947,iPad1(1000358),358,01.06.26 11:11,Prod,A1000358.6292,Tisch 8,105,S1000358.48947,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000358.48948,SP1000358.29.48948,SY1000358.2026.48948,iPad1(1000358),358,01.06.26 20:50,Prod,A1000358.6293,Tisch 14,116,S1000358.48948,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000358.48949,SP1000358.29.48949,SY1000358.2026.48949,iPad1(1000358),358,01.06.26 20:50,Prod,A1000358.6293,Tisch 14,116,S1000358.48949,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000358.48950,SP1000358.29.48950,SY1000358.2026.48950,iPad1(1000358),358,01.06.26 20:50,Prod,A1000358.6293,Tisch 14,116,S1000358.48950,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000358.48951,SP1000358.29.48951,SY1000358.2026.48951,iPad1(1000358),358,01.06.26 19:06,Prod,A1000358.6294,Tisch 16,101,S1000358.48951,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000358.48952,SP1000358.29.48952,SY1000358.2026.48952,iPad1(1000358),358,01.06.26 19:06,Prod,A1000358.6294,Tisch 16,101,S1000358.48952,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000358.48953,SP1000358.29.48953,SY1000358.2026.48953,iPad1(1000358),358,01.06.26 19:06,Prod,A1000358.6294,Tisch 16,101,S1000358.48953,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000358.48954,SP1000358.29.48954,SY1000358.2026.48954,iPad1(1000358),358,01.06.26 18:12,Prod,A1000358.6295,Tisch 1,112,S1000358.48954,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
