Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000199.82460,SP1000199.29.82460,SY1000199.2026.82460,iPad1(1000199),199,01.06.26 13:54,Prod,A1000199.6427,Tisch 17,114,S1000199.82460,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000199.82461,SP1000199.29.82461,SY1000199.2026.82461,iPad1(1000199),199,01.06.26 13:29,Prod,A1000199.6428,Tisch 15,104,S1000199.82461,VOID,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000199.82462,SP1000199.29.82462,SY1000199.2026.82462,iPad1(1000199),199,01.06.26 13:29,Prod,A1000199.6428,Tisch 15,104,S1000199.82462,VOID,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000199.82463,SP1000199.29.82463,SY1000199.2026.82463,iPad1(1000199),199,01.06.26 16:01,Prod,A1000199.6429,Tisch 17,110,S1000199.82463,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000199.82464,SP1000199.29.82464,SY1000199.2026.82464,iPad1(1000199),199,01.06.26 16:01,Prod,A1000199.6429,Tisch 17,110,S1000199.82464,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000199.82465,SP1000199.29.82465,SY1000199.2026.82465,iPad1(1000199),199,01.06.26 16:01,Prod,A1000199.6429,Tisch 17,110,S1000199.82465,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000199.82466,SP1000199.29.82466,SY1000199.2026.82466,iPad1(1000199),199,01.06.26 15:55,Prod,A1000199.6430,Tisch 15,103,S1000199.82466,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000199.82467,SP1000199.29.82467,SY1000199.2026.82467,iPad1(1000199),199,01.06.26 15:55,Prod,A1000199.6430,Tisch 15,103,S1000199.82467,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000199.82468,SP1000199.29.82468,SY1000199.2026.82468,iPad1(1000199),199,01.06.26 16:30,Prod,A1000199.6431,Tisch 10,110,S1000199.82468,VOID,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000199.82469,SP1000199.29.82469,SY1000199.2026.82469,iPad1(1000199),199,01.06.26 19:13,Prod,A1000199.6432,Tisch 2,104,S1000199.82469,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
