Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000135.40432,SP1000135.45.40432,SY1000135.2026.40432,iPad1(1000135),135,01.06.26 11:30,Prod,A1000135.6995,Tisch 14,101,S1000135.40432,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000135.40433,SP1000135.45.40433,SY1000135.2026.40433,iPad1(1000135),135,01.06.26 16:31,Prod,A1000135.6996,Tisch 7,101,S1000135.40433,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000135.40434,SP1000135.45.40434,SY1000135.2026.40434,iPad1(1000135),135,01.06.26 08:27,Prod,A1000135.6997,Tisch 19,117,S1000135.40434,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000135.40435,SP1000135.45.40435,SY1000135.2026.40435,iPad1(1000135),135,01.06.26 08:27,Prod,A1000135.6997,Tisch 19,117,S1000135.40435,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000135.40436,SP1000135.45.40436,SY1000135.2026.40436,iPad1(1000135),135,01.06.26 13:17,Prod,A1000135.6998,Tisch 23,101,S1000135.40436,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000135.40437,SP1000135.45.40437,SY1000135.2026.40437,iPad1(1000135),135,01.06.26 13:17,Prod,A1000135.6998,Tisch 23,101,S1000135.40437,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000135.40438,SP1000135.45.40438,SY1000135.2026.40438,iPad1(1000135),135,01.06.26 13:17,Prod,A1000135.6998,Tisch 23,101,S1000135.40438,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000135.40439,SP1000135.45.40439,SY1000135.2026.40439,iPad1(1000135),135,01.06.26 17:22,Prod,A1000135.6999,Tisch 22,102,S1000135.40439,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000135.40440,SP1000135.45.40440,SY1000135.2026.40440,iPad1(1000135),135,01.06.26 13:31,Prod,A1000135.7000,Tisch 20,112,S1000135.40440,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000135.40441,SP1000135.45.40441,SY1000135.2026.40441,iPad1(1000135),135,01.06.26 19:47,Prod,A1000135.7001,Tisch 10,112,S1000135.40441,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000135.40442,SP1000135.45.40442,SY1000135.2026.40442,iPad1(1000135),135,01.06.26 19:47,Prod,A1000135.7001,Tisch 10,112,S1000135.40442,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000135.40443,SP1000135.45.40443,SY1000135.2026.40443,iPad1(1000135),135,01.06.26 19:47,Prod,A1000135.7001,Tisch 10,112,S1000135.40443,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000135.40444,SP1000135.45.40444,SY1000135.2026.40444,iPad1(1000135),135,01.06.26 19:21,Prod,A1000135.7002,Tisch 4,103,S1000135.40444,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000135.40445,SP1000135.45.40445,SY1000135.2026.40445,iPad1(1000135),135,01.06.26 19:21,Prod,A1000135.7002,Tisch 4,103,S1000135.40445,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000135.40446,SP1000135.45.40446,SY1000135.2026.40446,iPad1(1000135),135,01.06.26 19:21,Prod,A1000135.7002,Tisch 4,103,S1000135.40446,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000135.40447,SP1000135.45.40447,SY1000135.2026.40447,iPad1(1000135),135,01.06.26 18:19,Prod,A1000135.7003,Tisch 3,117,S1000135.40447,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000135.40448,SP1000135.45.40448,SY1000135.2026.40448,iPad1(1000135),135,01.06.26 17:40,Prod,A1000135.7004,Tisch 19,105,S1000135.40448,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000135.40449,SP1000135.45.40449,SY1000135.2026.40449,iPad1(1000135),135,01.06.26 11:30,Prod,A1000135.7005,Tisch 20,112,S1000135.40449,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000135.40450,SP1000135.45.40450,SY1000135.2026.40450,iPad1(1000135),135,01.06.26 11:30,Prod,A1000135.7005,Tisch 20,112,S1000135.40450,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
