Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000262.19431,SP1000262.42.19431,SY1000262.2026.19431,iPad1(1000262),262,01.06.26 17:06,Prod,A1000262.6751,Tisch 10,112,S1000262.19431,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000262.19432,SP1000262.42.19432,SY1000262.2026.19432,iPad1(1000262),262,01.06.26 09:31,Prod,A1000262.6752,Tisch 7,104,S1000262.19432,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000262.19433,SP1000262.42.19433,SY1000262.2026.19433,iPad1(1000262),262,01.06.26 09:31,Prod,A1000262.6752,Tisch 7,104,S1000262.19433,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000262.19434,SP1000262.42.19434,SY1000262.2026.19434,iPad1(1000262),262,01.06.26 09:31,Prod,A1000262.6752,Tisch 7,104,S1000262.19434,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000262.19435,SP1000262.42.19435,SY1000262.2026.19435,iPad1(1000262),262,01.06.26 13:29,Prod,A1000262.6753,Tisch 11,119,S1000262.19435,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000262.19436,SP1000262.42.19436,SY1000262.2026.19436,iPad1(1000262),262,01.06.26 13:29,Prod,A1000262.6753,Tisch 11,119,S1000262.19436,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000262.19437,SP1000262.42.19437,SY1000262.2026.19437,iPad1(1000262),262,01.06.26 11:38,Prod,A1000262.6754,Tisch 16,103,S1000262.19437,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000262.19438,SP1000262.42.19438,SY1000262.2026.19438,iPad1(1000262),262,01.06.26 08:26,Prod,A1000262.6755,Tisch 3,119,S1000262.19438,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000262.19439,SP1000262.42.19439,SY1000262.2026.19439,iPad1(1000262),262,01.06.26 08:26,Prod,A1000262.6755,Tisch 3,119,S1000262.19439,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000262.19440,SP1000262.42.19440,SY1000262.2026.19440,iPad1(1000262),262,01.06.26 08:26,Prod,A1000262.6755,Tisch 3,119,S1000262.19440,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000262.19441,SP1000262.42.19441,SY1000262.2026.19441,iPad1(1000262),262,01.06.26 15:25,Prod,A1000262.6756,Tisch 10,104,S1000262.19441,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000262.19442,SP1000262.42.19442,SY1000262.2026.19442,iPad1(1000262),262,01.06.26 12:53,Prod,A1000262.6757,Tisch 16,119,S1000262.19442,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000262.19443,SP1000262.42.19443,SY1000262.2026.19443,iPad1(1000262),262,01.06.26 16:18,Prod,A1000262.6758,Tisch 19,104,S1000262.19443,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000262.19444,SP1000262.42.19444,SY1000262.2026.19444,iPad1(1000262),262,01.06.26 16:18,Prod,A1000262.6758,Tisch 19,104,S1000262.19444,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000262.19445,SP1000262.42.19445,SY1000262.2026.19445,iPad1(1000262),262,01.06.26 16:18,Prod,A1000262.6758,Tisch 19,104,S1000262.19445,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
