Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000169.61544,SP1000169.27.61544,SY1000169.2026.61544,iPad1(1000169),169,01.06.26 15:24,Prod,A1000169.6198,Tisch 9,105,S1000169.61544,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000169.61545,SP1000169.27.61545,SY1000169.2026.61545,iPad1(1000169),169,01.06.26 08:21,Prod,A1000169.6199,Tisch 18,114,S1000169.61545,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000169.61546,SP1000169.27.61546,SY1000169.2026.61546,iPad1(1000169),169,01.06.26 08:21,Prod,A1000169.6199,Tisch 18,114,S1000169.61546,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000169.61547,SP1000169.27.61547,SY1000169.2026.61547,iPad1(1000169),169,01.06.26 08:21,Prod,A1000169.6199,Tisch 18,114,S1000169.61547,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000169.61548,SP1000169.27.61548,SY1000169.2026.61548,iPad1(1000169),169,01.06.26 20:04,Prod,A1000169.6200,Tisch 1,102,S1000169.61548,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000169.61549,SP1000169.27.61549,SY1000169.2026.61549,iPad1(1000169),169,01.06.26 18:00,Prod,A1000169.6201,,114,S1000169.61549,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000169.61550,SP1000169.27.61550,SY1000169.2026.61550,iPad1(1000169),169,01.06.26 18:00,Prod,A1000169.6201,,114,S1000169.61550,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000169.61551,SP1000169.27.61551,SY1000169.2026.61551,iPad1(1000169),169,01.06.26 12:02,Prod,A1000169.6202,Tisch 5,109,S1000169.61551,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000169.61552,SP1000169.27.61552,SY1000169.2026.61552,iPad1(1000169),169,01.06.26 12:02,Prod,A1000169.6202,Tisch 5,109,S1000169.61552,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000169.61553,SP1000169.27.61553,SY1000169.2026.61553,iPad1(1000169),169,01.06.26 12:02,Prod,A1000169.6202,Tisch 5,109,S1000169.61553,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
