Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000071.89503,SP1000071.26.89503,SY1000071.2026.89503,iPad1(1000071),71,01.06.26 17:37,Prod,A1000071.6219,Tisch 13,102,S1000071.89503,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000071.89504,SP1000071.26.89504,SY1000071.2026.89504,iPad1(1000071),71,01.06.26 17:37,Prod,A1000071.6219,Tisch 13,102,S1000071.89504,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000071.89505,SP1000071.26.89505,SY1000071.2026.89505,iPad1(1000071),71,01.06.26 11:05,Prod,A1000071.6220,Tisch 15,119,S1000071.89505,VOID,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000071.89506,SP1000071.26.89506,SY1000071.2026.89506,iPad1(1000071),71,01.06.26 19:46,Prod,A1000071.6221,Tisch 3,102,S1000071.89506,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000071.89507,SP1000071.26.89507,SY1000071.2026.89507,iPad1(1000071),71,01.06.26 19:46,Prod,A1000071.6221,Tisch 3,102,S1000071.89507,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000071.89508,SP1000071.26.89508,SY1000071.2026.89508,iPad1(1000071),71,01.06.26 17:32,Prod,A1000071.6222,Tisch 15,119,S1000071.89508,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000071.89509,SP1000071.26.89509,SY1000071.2026.89509,iPad1(1000071),71,01.06.26 17:32,Prod,A1000071.6222,Tisch 15,119,S1000071.89509,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000071.89510,SP1000071.26.89510,SY1000071.2026.89510,iPad1(1000071),71,01.06.26 08:47,Prod,A1000071.6223,Tisch 17,102,S1000071.89510,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000071.89511,SP1000071.26.89511,SY1000071.2026.89511,iPad1(1000071),71,01.06.26 08:47,Prod,A1000071.6223,Tisch 17,102,S1000071.89511,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000071.89512,SP1000071.26.89512,SY1000071.2026.89512,iPad1(1000071),71,01.06.26 19:18,Prod,A1000071.6224,Tisch 3,102,S1000071.89512,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
