Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000235.67628,SP1000235.23.67628,SY1000235.2026.67628,iPad1(1000235),235,01.06.26 18:51,Prod,A1000235.6837,Tisch 21,116,S1000235.67628,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000235.67629,SP1000235.23.67629,SY1000235.2026.67629,iPad1(1000235),235,01.06.26 18:51,Prod,A1000235.6837,Tisch 21,116,S1000235.67629,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000235.67630,SP1000235.23.67630,SY1000235.2026.67630,iPad1(1000235),235,01.06.26 14:46,Prod,A1000235.6838,Tisch 4,107,S1000235.67630,VOID,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000235.67631,SP1000235.23.67631,SY1000235.2026.67631,iPad1(1000235),235,01.06.26 14:46,Prod,A1000235.6838,Tisch 4,107,S1000235.67631,VOID,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000235.67632,SP1000235.23.67632,SY1000235.2026.67632,iPad1(1000235),235,01.06.26 14:46,Prod,A1000235.6838,Tisch 4,107,S1000235.67632,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000235.67633,SP1000235.23.67633,SY1000235.2026.67633,iPad1(1000235),235,01.06.26 20:13,Prod,A1000235.6839,Tisch 20,119,S1000235.67633,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000235.67634,SP1000235.23.67634,SY1000235.2026.67634,iPad1(1000235),235,01.06.26 20:13,Prod,A1000235.6839,Tisch 20,119,S1000235.67634,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000235.67635,SP1000235.23.67635,SY1000235.2026.67635,iPad1(1000235),235,01.06.26 15:40,Prod,A1000235.6840,Tisch 6,107,S1000235.67635,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000235.67636,SP1000235.23.67636,SY1000235.2026.67636,iPad1(1000235),235,01.06.26 15:40,Prod,A1000235.6840,Tisch 6,107,S1000235.67636,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000235.67637,SP1000235.23.67637,SY1000235.2026.67637,iPad1(1000235),235,01.06.26 14:43,Prod,A1000235.6841,Tisch 21,115,S1000235.67637,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
