Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000042.41249,SP1000042.42.41249,SY1000042.2026.41249,iPad1(1000042),42,01.06.26 15:22,Prod,A1000042.6939,Tisch 14,110,S1000042.41249,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000042.41250,SP1000042.42.41250,SY1000042.2026.41250,iPad1(1000042),42,01.06.26 15:22,Prod,A1000042.6939,Tisch 14,110,S1000042.41250,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000042.41251,SP1000042.42.41251,SY1000042.2026.41251,iPad1(1000042),42,01.06.26 18:49,Prod,A1000042.6940,Tisch 5,108,S1000042.41251,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000042.41252,SP1000042.42.41252,SY1000042.2026.41252,iPad1(1000042),42,01.06.26 18:49,Prod,A1000042.6940,Tisch 5,108,S1000042.41252,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000042.41253,SP1000042.42.41253,SY1000042.2026.41253,iPad1(1000042),42,01.06.26 19:36,Prod,A1000042.6941,Tisch 11,118,S1000042.41253,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000042.41254,SP1000042.42.41254,SY1000042.2026.41254,iPad1(1000042),42,01.06.26 19:36,Prod,A1000042.6941,Tisch 11,118,S1000042.41254,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000042.41255,SP1000042.42.41255,SY1000042.2026.41255,iPad1(1000042),42,01.06.26 19:36,Prod,A1000042.6941,Tisch 11,118,S1000042.41255,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000042.41256,SP1000042.42.41256,SY1000042.2026.41256,iPad1(1000042),42,01.06.26 19:25,Prod,A1000042.6942,Tisch 15,118,S1000042.41256,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000042.41257,SP1000042.42.41257,SY1000042.2026.41257,iPad1(1000042),42,01.06.26 19:25,Prod,A1000042.6942,Tisch 15,118,S1000042.41257,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000042.41258,SP1000042.42.41258,SY1000042.2026.41258,iPad1(1000042),42,01.06.26 19:25,Prod,A1000042.6942,Tisch 15,118,S1000042.41258,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000042.41259,SP1000042.42.41259,SY1000042.2026.41259,iPad1(1000042),42,01.06.26 13:24,Prod,A1000042.6943,Tisch 7,106,S1000042.41259,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000042.41260,SP1000042.42.41260,SY1000042.2026.41260,iPad1(1000042),42,01.06.26 13:24,Prod,A1000042.6943,Tisch 7,106,S1000042.41260,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000042.41261,SP1000042.42.41261,SY1000042.2026.41261,iPad1(1000042),42,01.06.26 10:28,Prod,A1000042.6944,Tisch 18,118,S1000042.41261,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000042.41262,SP1000042.42.41262,SY1000042.2026.41262,iPad1(1000042),42,01.06.26 10:28,Prod,A1000042.6944,Tisch 18,118,S1000042.41262,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000042.41263,SP1000042.42.41263,SY1000042.2026.41263,iPad1(1000042),42,01.06.26 20:37,Prod,A1000042.6945,Tisch 2,108,S1000042.41263,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000042.41264,SP1000042.42.41264,SY1000042.2026.41264,iPad1(1000042),42,01.06.26 20:37,Prod,A1000042.6945,Tisch 2,108,S1000042.41264,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000042.41265,SP1000042.42.41265,SY1000042.2026.41265,iPad1(1000042),42,01.06.26 20:53,Prod,A1000042.6946,Tisch 2,120,S1000042.41265,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000042.41266,SP1000042.42.41266,SY1000042.2026.41266,iPad1(1000042),42,01.06.26 17:48,Prod,A1000042.6947,Tisch 17,106,S1000042.41266,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000042.41267,SP1000042.42.41267,SY1000042.2026.41267,iPad1(1000042),42,01.06.26 12:14,Prod,A1000042.6948,Tisch 20,115,S1000042.41267,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
