Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000133.49818,SP1000133.19.49818,SY1000133.2026.49818,iPad1(1000133),133,01.06.26 10:25,Prod,A1000133.6781,Tisch 24,102,S1000133.49818,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000133.49819,SP1000133.19.49819,SY1000133.2026.49819,iPad1(1000133),133,01.06.26 10:25,Prod,A1000133.6781,Tisch 24,102,S1000133.49819,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000133.49820,SP1000133.19.49820,SY1000133.2026.49820,iPad1(1000133),133,01.06.26 20:43,Prod,A1000133.6782,,108,S1000133.49820,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000133.49821,SP1000133.19.49821,SY1000133.2026.49821,iPad1(1000133),133,01.06.26 20:43,Prod,A1000133.6782,,108,S1000133.49821,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000133.49822,SP1000133.19.49822,SY1000133.2026.49822,iPad1(1000133),133,01.06.26 20:43,Prod,A1000133.6782,,108,S1000133.49822,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000133.49823,SP1000133.19.49823,SY1000133.2026.49823,iPad1(1000133),133,01.06.26 17:01,Prod,A1000133.6783,Tisch 17,116,S1000133.49823,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000133.49824,SP1000133.19.49824,SY1000133.2026.49824,iPad1(1000133),133,01.06.26 17:01,Prod,A1000133.6783,Tisch 17,116,S1000133.49824,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000133.49825,SP1000133.19.49825,SY1000133.2026.49825,iPad1(1000133),133,01.06.26 17:01,Prod,A1000133.6783,Tisch 17,116,S1000133.49825,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000133.49826,SP1000133.19.49826,SY1000133.2026.49826,iPad1(1000133),133,01.06.26 12:09,Prod,A1000133.6784,Tisch 17,108,S1000133.49826,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000133.49827,SP1000133.19.49827,SY1000133.2026.49827,iPad1(1000133),133,01.06.26 08:11,Prod,A1000133.6785,Tisch 16,119,S1000133.49827,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000133.49828,SP1000133.19.49828,SY1000133.2026.49828,iPad1(1000133),133,01.06.26 08:11,Prod,A1000133.6785,Tisch 16,119,S1000133.49828,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000133.49829,SP1000133.19.49829,SY1000133.2026.49829,iPad1(1000133),133,01.06.26 08:11,Prod,A1000133.6785,Tisch 16,119,S1000133.49829,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000133.49830,SP1000133.19.49830,SY1000133.2026.49830,iPad1(1000133),133,01.06.26 12:50,Prod,A1000133.6786,Tisch 7,109,S1000133.49830,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000133.49831,SP1000133.19.49831,SY1000133.2026.49831,iPad1(1000133),133,01.06.26 12:50,Prod,A1000133.6786,Tisch 7,109,S1000133.49831,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000133.49832,SP1000133.19.49832,SY1000133.2026.49832,iPad1(1000133),133,01.06.26 20:03,Prod,A1000133.6787,Tisch 14,105,S1000133.49832,VOID,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000133.49833,SP1000133.19.49833,SY1000133.2026.49833,iPad1(1000133),133,01.06.26 20:03,Prod,A1000133.6787,Tisch 14,105,S1000133.49833,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000133.49834,SP1000133.19.49834,SY1000133.2026.49834,iPad1(1000133),133,01.06.26 15:31,Prod,A1000133.6788,Tisch 24,101,S1000133.49834,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000133.49835,SP1000133.19.49835,SY1000133.2026.49835,iPad1(1000133),133,01.06.26 15:31,Prod,A1000133.6788,Tisch 24,101,S1000133.49835,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000133.49836,SP1000133.19.49836,SY1000133.2026.49836,iPad1(1000133),133,01.06.26 15:31,Prod,A1000133.6788,Tisch 24,101,S1000133.49836,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000133.49837,SP1000133.19.49837,SY1000133.2026.49837,iPad1(1000133),133,01.06.26 17:33,Prod,A1000133.6789,Tisch 20,116,S1000133.49837,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000133.49838,SP1000133.19.49838,SY1000133.2026.49838,iPad1(1000133),133,01.06.26 12:47,Prod,A1000133.6790,Tisch 8,119,S1000133.49838,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000133.49839,SP1000133.19.49839,SY1000133.2026.49839,iPad1(1000133),133,01.06.26 12:47,Prod,A1000133.6790,Tisch 8,119,S1000133.49839,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000133.49840,SP1000133.19.49840,SY1000133.2026.49840,iPad1(1000133),133,01.06.26 13:31,Prod,A1000133.6791,Tisch 18,108,S1000133.49840,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000133.49841,SP1000133.19.49841,SY1000133.2026.49841,iPad1(1000133),133,01.06.26 13:31,Prod,A1000133.6791,Tisch 18,108,S1000133.49841,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000133.49842,SP1000133.19.49842,SY1000133.2026.49842,iPad1(1000133),133,01.06.26 13:31,Prod,A1000133.6791,Tisch 18,108,S1000133.49842,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000133.49843,SP1000133.19.49843,SY1000133.2026.49843,iPad1(1000133),133,01.06.26 16:16,Prod,A1000133.6792,Tisch 6,119,S1000133.49843,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000133.49844,SP1000133.19.49844,SY1000133.2026.49844,iPad1(1000133),133,01.06.26 12:22,Prod,A1000133.6793,,116,S1000133.49844,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000133.49845,SP1000133.19.49845,SY1000133.2026.49845,iPad1(1000133),133,01.06.26 12:22,Prod,A1000133.6793,,116,S1000133.49845,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000133.49846,SP1000133.19.49846,SY1000133.2026.49846,iPad1(1000133),133,01.06.26 12:22,Prod,A1000133.6793,,116,S1000133.49846,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000133.49847,SP1000133.19.49847,SY1000133.2026.49847,iPad1(1000133),133,01.06.26 12:50,Prod,A1000133.6794,Tisch 19,116,S1000133.49847,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000133.49848,SP1000133.19.49848,SY1000133.2026.49848,iPad1(1000133),133,01.06.26 12:50,Prod,A1000133.6794,Tisch 19,116,S1000133.49848,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000133.49849,SP1000133.19.49849,SY1000133.2026.49849,iPad1(1000133),133,01.06.26 18:41,Prod,A1000133.6795,Tisch 19,102,S1000133.49849,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000133.49850,SP1000133.19.49850,SY1000133.2026.49850,iPad1(1000133),133,01.06.26 16:29,Prod,A1000133.6796,Tisch 16,102,S1000133.49850,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000133.49851,SP1000133.19.49851,SY1000133.2026.49851,iPad1(1000133),133,01.06.26 16:29,Prod,A1000133.6796,Tisch 16,102,S1000133.49851,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000133.49852,SP1000133.19.49852,SY1000133.2026.49852,iPad1(1000133),133,01.06.26 16:29,Prod,A1000133.6796,Tisch 16,102,S1000133.49852,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000133.49853,SP1000133.19.49853,SY1000133.2026.49853,iPad1(1000133),133,01.06.26 15:21,Prod,A1000133.6797,Tisch 3,116,S1000133.49853,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000133.49854,SP1000133.19.49854,SY1000133.2026.49854,iPad1(1000133),133,01.06.26 15:21,Prod,A1000133.6797,Tisch 3,116,S1000133.49854,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000133.49855,SP1000133.19.49855,SY1000133.2026.49855,iPad1(1000133),133,01.06.26 13:27,Prod,A1000133.6798,Tisch 17,105,S1000133.49855,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000133.49856,SP1000133.19.49856,SY1000133.2026.49856,iPad1(1000133),133,01.06.26 10:22,Prod,A1000133.6799,Tisch 13,105,S1000133.49856,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000133.49857,SP1000133.19.49857,SY1000133.2026.49857,iPad1(1000133),133,01.06.26 10:22,Prod,A1000133.6799,Tisch 13,105,S1000133.49857,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000133.49858,SP1000133.19.49858,SY1000133.2026.49858,iPad1(1000133),133,01.06.26 10:22,Prod,A1000133.6799,Tisch 13,105,S1000133.49858,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000133.49859,SP1000133.19.49859,SY1000133.2026.49859,iPad1(1000133),133,01.06.26 17:55,Prod,A1000133.6800,Tisch 11,102,S1000133.49859,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000133.49860,SP1000133.19.49860,SY1000133.2026.49860,iPad1(1000133),133,01.06.26 17:55,Prod,A1000133.6800,Tisch 11,102,S1000133.49860,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000133.49861,SP1000133.19.49861,SY1000133.2026.49861,iPad1(1000133),133,01.06.26 12:15,Prod,A1000133.6801,Tisch 23,102,S1000133.49861,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000133.49862,SP1000133.19.49862,SY1000133.2026.49862,iPad1(1000133),133,01.06.26 18:23,Prod,A1000133.6802,Tisch 7,101,S1000133.49862,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000133.49863,SP1000133.19.49863,SY1000133.2026.49863,iPad1(1000133),133,01.06.26 19:47,Prod,A1000133.6803,Tisch 24,101,S1000133.49863,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000133.49864,SP1000133.19.49864,SY1000133.2026.49864,iPad1(1000133),133,01.06.26 16:41,Prod,A1000133.6804,Tisch 21,116,S1000133.49864,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000133.49865,SP1000133.19.49865,SY1000133.2026.49865,iPad1(1000133),133,01.06.26 16:41,Prod,A1000133.6804,Tisch 21,116,S1000133.49865,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000133.49866,SP1000133.19.49866,SY1000133.2026.49866,iPad1(1000133),133,01.06.26 16:27,Prod,A1000133.6805,Tisch 11,109,S1000133.49866,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000133.49867,SP1000133.19.49867,SY1000133.2026.49867,iPad1(1000133),133,01.06.26 16:27,Prod,A1000133.6805,Tisch 11,109,S1000133.49867,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000133.49868,SP1000133.19.49868,SY1000133.2026.49868,iPad1(1000133),133,01.06.26 16:27,Prod,A1000133.6805,Tisch 11,109,S1000133.49868,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000133.49869,SP1000133.19.49869,SY1000133.2026.49869,iPad1(1000133),133,01.06.26 09:51,Prod,A1000133.6806,Tisch 24,108,S1000133.49869,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000133.49870,SP1000133.19.49870,SY1000133.2026.49870,iPad1(1000133),133,01.06.26 12:31,Prod,A1000133.6807,Tisch 9,101,S1000133.49870,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000133.49871,SP1000133.19.49871,SY1000133.2026.49871,iPad1(1000133),133,01.06.26 12:31,Prod,A1000133.6807,Tisch 9,101,S1000133.49871,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000133.49872,SP1000133.19.49872,SY1000133.2026.49872,iPad1(1000133),133,01.06.26 12:31,Prod,A1000133.6807,Tisch 9,101,S1000133.49872,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000133.49873,SP1000133.19.49873,SY1000133.2026.49873,iPad1(1000133),133,01.06.26 19:27,Prod,A1000133.6808,Tisch 9,108,S1000133.49873,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000133.49874,SP1000133.19.49874,SY1000133.2026.49874,iPad1(1000133),133,01.06.26 19:27,Prod,A1000133.6808,Tisch 9,108,S1000133.49874,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000133.49875,SP1000133.19.49875,SY1000133.2026.49875,iPad1(1000133),133,01.06.26 19:27,Prod,A1000133.6808,Tisch 9,108,S1000133.49875,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000133.49876,SP1000133.19.49876,SY1000133.2026.49876,iPad1(1000133),133,01.06.26 20:17,Prod,A1000133.6809,Tisch 6,101,S1000133.49876,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000133.49877,SP1000133.19.49877,SY1000133.2026.49877,iPad1(1000133),133,01.06.26 20:17,Prod,A1000133.6809,Tisch 6,101,S1000133.49877,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000133.49878,SP1000133.19.49878,SY1000133.2026.49878,iPad1(1000133),133,01.06.26 13:26,Prod,A1000133.6810,,105,S1000133.49878,VOID,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000133.49879,SP1000133.19.49879,SY1000133.2026.49879,iPad1(1000133),133,01.06.26 13:26,Prod,A1000133.6810,,105,S1000133.49879,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
