Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000307.88568,SP1000307.23.88568,SY1000307.2026.88568,iPad1(1000307),307,01.06.26 17:00,Prod,A1000307.6008,Tisch 3,119,S1000307.88568,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000307.88569,SP1000307.23.88569,SY1000307.2026.88569,iPad1(1000307),307,01.06.26 17:00,Prod,A1000307.6008,Tisch 3,119,S1000307.88569,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000307.88570,SP1000307.23.88570,SY1000307.2026.88570,iPad1(1000307),307,01.06.26 17:00,Prod,A1000307.6008,Tisch 3,119,S1000307.88570,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000307.88571,SP1000307.23.88571,SY1000307.2026.88571,iPad1(1000307),307,01.06.26 15:39,Prod,A1000307.6009,Tisch 3,107,S1000307.88571,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000307.88572,SP1000307.23.88572,SY1000307.2026.88572,iPad1(1000307),307,01.06.26 15:39,Prod,A1000307.6009,Tisch 3,107,S1000307.88572,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000307.88573,SP1000307.23.88573,SY1000307.2026.88573,iPad1(1000307),307,01.06.26 13:17,Prod,A1000307.6010,,115,S1000307.88573,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000307.88574,SP1000307.23.88574,SY1000307.2026.88574,iPad1(1000307),307,01.06.26 13:17,Prod,A1000307.6010,,115,S1000307.88574,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000307.88575,SP1000307.23.88575,SY1000307.2026.88575,iPad1(1000307),307,01.06.26 13:17,Prod,A1000307.6010,,115,S1000307.88575,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000307.88576,SP1000307.23.88576,SY1000307.2026.88576,iPad1(1000307),307,01.06.26 17:35,Prod,A1000307.6011,Tisch 19,107,S1000307.88576,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000307.88577,SP1000307.23.88577,SY1000307.2026.88577,iPad1(1000307),307,01.06.26 17:35,Prod,A1000307.6011,Tisch 19,107,S1000307.88577,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
