Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000057.10222,SP1000057.16.10222,SY1000057.2026.10222,iPad1(1000057),57,01.06.26 13:05,Prod,A1000057.6646,Tisch 21,108,S1000057.10222,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000057.10223,SP1000057.16.10223,SY1000057.2026.10223,iPad1(1000057),57,01.06.26 13:05,Prod,A1000057.6646,Tisch 21,108,S1000057.10223,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000057.10224,SP1000057.16.10224,SY1000057.2026.10224,iPad1(1000057),57,01.06.26 12:24,Prod,A1000057.6647,Tisch 24,112,S1000057.10224,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000057.10225,SP1000057.16.10225,SY1000057.2026.10225,iPad1(1000057),57,01.06.26 12:24,Prod,A1000057.6647,Tisch 24,112,S1000057.10225,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000057.10226,SP1000057.16.10226,SY1000057.2026.10226,iPad1(1000057),57,01.06.26 12:24,Prod,A1000057.6647,Tisch 24,112,S1000057.10226,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000057.10227,SP1000057.16.10227,SY1000057.2026.10227,iPad1(1000057),57,01.06.26 12:01,Prod,A1000057.6648,Tisch 3,112,S1000057.10227,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000057.10228,SP1000057.16.10228,SY1000057.2026.10228,iPad1(1000057),57,01.06.26 12:01,Prod,A1000057.6648,Tisch 3,112,S1000057.10228,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000057.10229,SP1000057.16.10229,SY1000057.2026.10229,iPad1(1000057),57,01.06.26 12:01,Prod,A1000057.6648,Tisch 3,112,S1000057.10229,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000057.10230,SP1000057.16.10230,SY1000057.2026.10230,iPad1(1000057),57,01.06.26 10:54,Prod,A1000057.6649,Tisch 12,106,S1000057.10230,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000057.10231,SP1000057.16.10231,SY1000057.2026.10231,iPad1(1000057),57,01.06.26 10:54,Prod,A1000057.6649,Tisch 12,106,S1000057.10231,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
