Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000239.43727,SP1000239.20.43727,SY1000239.2026.43727,iPad1(1000239),239,01.06.26 13:39,Prod,A1000239.6573,Tisch 14,105,S1000239.43727,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000239.43728,SP1000239.20.43728,SY1000239.2026.43728,iPad1(1000239),239,01.06.26 19:37,Prod,A1000239.6574,Tisch 16,105,S1000239.43728,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000239.43729,SP1000239.20.43729,SY1000239.2026.43729,iPad1(1000239),239,01.06.26 18:15,Prod,A1000239.6575,Tisch 5,107,S1000239.43729,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000239.43730,SP1000239.20.43730,SY1000239.2026.43730,iPad1(1000239),239,01.06.26 15:38,Prod,A1000239.6576,Tisch 20,104,S1000239.43730,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000239.43731,SP1000239.20.43731,SY1000239.2026.43731,iPad1(1000239),239,01.06.26 15:38,Prod,A1000239.6576,Tisch 20,104,S1000239.43731,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000239.43732,SP1000239.20.43732,SY1000239.2026.43732,iPad1(1000239),239,01.06.26 15:38,Prod,A1000239.6576,Tisch 20,104,S1000239.43732,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000239.43733,SP1000239.20.43733,SY1000239.2026.43733,iPad1(1000239),239,01.06.26 17:00,Prod,A1000239.6577,Tisch 17,104,S1000239.43733,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000239.43734,SP1000239.20.43734,SY1000239.2026.43734,iPad1(1000239),239,01.06.26 17:00,Prod,A1000239.6577,Tisch 17,104,S1000239.43734,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000239.43735,SP1000239.20.43735,SY1000239.2026.43735,iPad1(1000239),239,01.06.26 17:00,Prod,A1000239.6577,Tisch 17,104,S1000239.43735,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000239.43736,SP1000239.20.43736,SY1000239.2026.43736,iPad1(1000239),239,01.06.26 18:12,Prod,A1000239.6578,Tisch 19,104,S1000239.43736,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000239.43737,SP1000239.20.43737,SY1000239.2026.43737,iPad1(1000239),239,01.06.26 18:12,Prod,A1000239.6578,Tisch 19,104,S1000239.43737,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000239.43738,SP1000239.20.43738,SY1000239.2026.43738,iPad1(1000239),239,01.06.26 18:12,Prod,A1000239.6578,Tisch 19,104,S1000239.43738,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000239.43739,SP1000239.20.43739,SY1000239.2026.43739,iPad1(1000239),239,01.06.26 09:17,Prod,A1000239.6579,Tisch 18,107,S1000239.43739,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000239.43740,SP1000239.20.43740,SY1000239.2026.43740,iPad1(1000239),239,01.06.26 09:17,Prod,A1000239.6579,Tisch 18,107,S1000239.43740,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000239.43741,SP1000239.20.43741,SY1000239.2026.43741,iPad1(1000239),239,01.06.26 09:17,Prod,A1000239.6579,Tisch 18,107,S1000239.43741,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000239.43742,SP1000239.20.43742,SY1000239.2026.43742,iPad1(1000239),239,01.06.26 18:55,Prod,A1000239.6580,Tisch 12,117,S1000239.43742,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000239.43743,SP1000239.20.43743,SY1000239.2026.43743,iPad1(1000239),239,01.06.26 18:55,Prod,A1000239.6580,Tisch 12,117,S1000239.43743,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000239.43744,SP1000239.20.43744,SY1000239.2026.43744,iPad1(1000239),239,01.06.26 18:55,Prod,A1000239.6580,Tisch 12,117,S1000239.43744,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000239.43745,SP1000239.20.43745,SY1000239.2026.43745,iPad1(1000239),239,01.06.26 20:11,Prod,A1000239.6581,Tisch 10,117,S1000239.43745,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000239.43746,SP1000239.20.43746,SY1000239.2026.43746,iPad1(1000239),239,01.06.26 20:11,Prod,A1000239.6581,Tisch 10,117,S1000239.43746,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000239.43747,SP1000239.20.43747,SY1000239.2026.43747,iPad1(1000239),239,01.06.26 20:11,Prod,A1000239.6581,Tisch 10,117,S1000239.43747,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000239.43748,SP1000239.20.43748,SY1000239.2026.43748,iPad1(1000239),239,01.06.26 13:58,Prod,A1000239.6582,Tisch 12,107,S1000239.43748,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000239.43749,SP1000239.20.43749,SY1000239.2026.43749,iPad1(1000239),239,01.06.26 13:26,Prod,A1000239.6583,Tisch 15,117,S1000239.43749,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000239.43750,SP1000239.20.43750,SY1000239.2026.43750,iPad1(1000239),239,01.06.26 13:26,Prod,A1000239.6583,Tisch 15,117,S1000239.43750,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000239.43751,SP1000239.20.43751,SY1000239.2026.43751,iPad1(1000239),239,01.06.26 13:26,Prod,A1000239.6583,Tisch 15,117,S1000239.43751,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000239.43752,SP1000239.20.43752,SY1000239.2026.43752,iPad1(1000239),239,01.06.26 18:57,Prod,A1000239.6584,Tisch 11,104,S1000239.43752,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
