Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000178.32065,SP1000178.1.32065,SY1000178.2026.32065,iPad1(1000178),178,01.06.26 10:00,Prod,A1000178.6757,Tisch 13,111,S1000178.32065,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000178.32066,SP1000178.1.32066,SY1000178.2026.32066,iPad1(1000178),178,01.06.26 12:50,Prod,A1000178.6758,Tisch 14,120,S1000178.32066,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000178.32067,SP1000178.1.32067,SY1000178.2026.32067,iPad1(1000178),178,01.06.26 12:50,Prod,A1000178.6758,Tisch 14,120,S1000178.32067,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000178.32068,SP1000178.1.32068,SY1000178.2026.32068,iPad1(1000178),178,01.06.26 12:50,Prod,A1000178.6758,Tisch 14,120,S1000178.32068,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000178.32069,SP1000178.1.32069,SY1000178.2026.32069,iPad1(1000178),178,01.06.26 11:51,Prod,A1000178.6759,Tisch 15,119,S1000178.32069,VOID,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000178.32070,SP1000178.1.32070,SY1000178.2026.32070,iPad1(1000178),178,01.06.26 11:51,Prod,A1000178.6759,Tisch 15,119,S1000178.32070,VOID,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000178.32071,SP1000178.1.32071,SY1000178.2026.32071,iPad1(1000178),178,01.06.26 12:17,Prod,A1000178.6760,Tisch 16,119,S1000178.32071,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000178.32072,SP1000178.1.32072,SY1000178.2026.32072,iPad1(1000178),178,01.06.26 12:17,Prod,A1000178.6760,Tisch 16,119,S1000178.32072,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000178.32073,SP1000178.1.32073,SY1000178.2026.32073,iPad1(1000178),178,01.06.26 11:09,Prod,A1000178.6761,Tisch 12,111,S1000178.32073,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000178.32074,SP1000178.1.32074,SY1000178.2026.32074,iPad1(1000178),178,01.06.26 20:52,Prod,A1000178.6762,Tisch 21,111,S1000178.32074,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000178.32075,SP1000178.1.32075,SY1000178.2026.32075,iPad1(1000178),178,01.06.26 20:52,Prod,A1000178.6762,Tisch 21,111,S1000178.32075,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000178.32076,SP1000178.1.32076,SY1000178.2026.32076,iPad1(1000178),178,01.06.26 08:48,Prod,A1000178.6763,Tisch 24,119,S1000178.32076,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
