Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000345.85332,SP1000345.28.85332,SY1000345.2026.85332,iPad1(1000345),345,01.06.26 17:05,Prod,A1000345.6976,Tisch 16,119,S1000345.85332,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000345.85333,SP1000345.28.85333,SY1000345.2026.85333,iPad1(1000345),345,01.06.26 16:05,Prod,A1000345.6977,Tisch 6,119,S1000345.85333,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000345.85334,SP1000345.28.85334,SY1000345.2026.85334,iPad1(1000345),345,01.06.26 16:05,Prod,A1000345.6977,Tisch 6,119,S1000345.85334,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000345.85335,SP1000345.28.85335,SY1000345.2026.85335,iPad1(1000345),345,01.06.26 17:33,Prod,A1000345.6978,Tisch 8,101,S1000345.85335,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000345.85336,SP1000345.28.85336,SY1000345.2026.85336,iPad1(1000345),345,01.06.26 18:51,Prod,A1000345.6979,Tisch 21,120,S1000345.85336,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000345.85337,SP1000345.28.85337,SY1000345.2026.85337,iPad1(1000345),345,01.06.26 18:51,Prod,A1000345.6979,Tisch 21,120,S1000345.85337,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000345.85338,SP1000345.28.85338,SY1000345.2026.85338,iPad1(1000345),345,01.06.26 18:51,Prod,A1000345.6979,Tisch 21,120,S1000345.85338,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000345.85339,SP1000345.28.85339,SY1000345.2026.85339,iPad1(1000345),345,01.06.26 16:56,Prod,A1000345.6980,Tisch 23,114,S1000345.85339,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000345.85340,SP1000345.28.85340,SY1000345.2026.85340,iPad1(1000345),345,01.06.26 16:56,Prod,A1000345.6980,Tisch 23,114,S1000345.85340,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000345.85341,SP1000345.28.85341,SY1000345.2026.85341,iPad1(1000345),345,01.06.26 15:45,Prod,A1000345.6981,Tisch 9,101,S1000345.85341,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000345.85342,SP1000345.28.85342,SY1000345.2026.85342,iPad1(1000345),345,01.06.26 16:24,Prod,A1000345.6982,Tisch 12,101,S1000345.85342,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000345.85343,SP1000345.28.85343,SY1000345.2026.85343,iPad1(1000345),345,01.06.26 16:24,Prod,A1000345.6982,Tisch 12,101,S1000345.85343,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000345.85344,SP1000345.28.85344,SY1000345.2026.85344,iPad1(1000345),345,01.06.26 16:24,Prod,A1000345.6982,Tisch 12,101,S1000345.85344,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000345.85345,SP1000345.28.85345,SY1000345.2026.85345,iPad1(1000345),345,01.06.26 18:05,Prod,A1000345.6983,Tisch 24,119,S1000345.85345,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000345.85346,SP1000345.28.85346,SY1000345.2026.85346,iPad1(1000345),345,01.06.26 18:05,Prod,A1000345.6983,Tisch 24,119,S1000345.85346,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000345.85347,SP1000345.28.85347,SY1000345.2026.85347,iPad1(1000345),345,01.06.26 19:11,Prod,A1000345.6984,Tisch 18,114,S1000345.85347,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000345.85348,SP1000345.28.85348,SY1000345.2026.85348,iPad1(1000345),345,01.06.26 18:51,Prod,A1000345.6985,Tisch 14,114,S1000345.85348,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000345.85349,SP1000345.28.85349,SY1000345.2026.85349,iPad1(1000345),345,01.06.26 18:51,Prod,A1000345.6985,Tisch 14,114,S1000345.85349,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
