Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000230.51923,SP1000230.9.51923,SY1000230.2026.51923,iPad1(1000230),230,01.06.26 10:11,Prod,A1000230.6626,,102,S1000230.51923,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000230.51924,SP1000230.9.51924,SY1000230.2026.51924,iPad1(1000230),230,01.06.26 10:11,Prod,A1000230.6626,,102,S1000230.51924,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000230.51925,SP1000230.9.51925,SY1000230.2026.51925,iPad1(1000230),230,01.06.26 10:49,Prod,A1000230.6627,Tisch 13,102,S1000230.51925,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000230.51926,SP1000230.9.51926,SY1000230.2026.51926,iPad1(1000230),230,01.06.26 10:49,Prod,A1000230.6627,Tisch 13,102,S1000230.51926,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000230.51927,SP1000230.9.51927,SY1000230.2026.51927,iPad1(1000230),230,01.06.26 10:49,Prod,A1000230.6627,Tisch 13,102,S1000230.51927,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000230.51928,SP1000230.9.51928,SY1000230.2026.51928,iPad1(1000230),230,01.06.26 16:40,Prod,A1000230.6628,Tisch 15,113,S1000230.51928,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000230.51929,SP1000230.9.51929,SY1000230.2026.51929,iPad1(1000230),230,01.06.26 16:40,Prod,A1000230.6628,Tisch 15,113,S1000230.51929,VOID,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000230.51930,SP1000230.9.51930,SY1000230.2026.51930,iPad1(1000230),230,01.06.26 19:21,Prod,A1000230.6629,Tisch 20,113,S1000230.51930,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000230.51931,SP1000230.9.51931,SY1000230.2026.51931,iPad1(1000230),230,01.06.26 17:23,Prod,A1000230.6630,Tisch 1,113,S1000230.51931,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000230.51932,SP1000230.9.51932,SY1000230.2026.51932,iPad1(1000230),230,01.06.26 20:08,Prod,A1000230.6631,Tisch 24,112,S1000230.51932,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
