Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000175.82859,SP1000175.8.82859,SY1000175.2026.82859,iPad1(1000175),175,01.06.26 09:27,Prod,A1000175.6163,Tisch 23,104,S1000175.82859,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000175.82860,SP1000175.8.82860,SY1000175.2026.82860,iPad1(1000175),175,01.06.26 13:09,Prod,A1000175.6164,Tisch 18,112,S1000175.82860,VOID,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000175.82861,SP1000175.8.82861,SY1000175.2026.82861,iPad1(1000175),175,01.06.26 13:09,Prod,A1000175.6164,Tisch 18,112,S1000175.82861,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000175.82862,SP1000175.8.82862,SY1000175.2026.82862,iPad1(1000175),175,01.06.26 17:54,Prod,A1000175.6165,,101,S1000175.82862,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000175.82863,SP1000175.8.82863,SY1000175.2026.82863,iPad1(1000175),175,01.06.26 17:54,Prod,A1000175.6165,,101,S1000175.82863,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000175.82864,SP1000175.8.82864,SY1000175.2026.82864,iPad1(1000175),175,01.06.26 17:54,Prod,A1000175.6165,,101,S1000175.82864,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000175.82865,SP1000175.8.82865,SY1000175.2026.82865,iPad1(1000175),175,01.06.26 11:31,Prod,A1000175.6166,Tisch 6,110,S1000175.82865,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000175.82866,SP1000175.8.82866,SY1000175.2026.82866,iPad1(1000175),175,01.06.26 08:33,Prod,A1000175.6167,Tisch 5,117,S1000175.82866,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000175.82867,SP1000175.8.82867,SY1000175.2026.82867,iPad1(1000175),175,01.06.26 13:50,Prod,A1000175.6168,Tisch 20,105,S1000175.82867,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000175.82868,SP1000175.8.82868,SY1000175.2026.82868,iPad1(1000175),175,01.06.26 13:50,Prod,A1000175.6168,Tisch 20,105,S1000175.82868,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000175.82869,SP1000175.8.82869,SY1000175.2026.82869,iPad1(1000175),175,01.06.26 12:14,Prod,A1000175.6169,Tisch 13,112,S1000175.82869,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000175.82870,SP1000175.8.82870,SY1000175.2026.82870,iPad1(1000175),175,01.06.26 17:44,Prod,A1000175.6170,Tisch 3,104,S1000175.82870,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000175.82871,SP1000175.8.82871,SY1000175.2026.82871,iPad1(1000175),175,01.06.26 12:01,Prod,A1000175.6171,Tisch 8,101,S1000175.82871,VOID,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
