Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000132.38062,SP1000132.51.38062,SY1000132.2026.38062,iPad1(1000132),132,01.06.26 12:27,Prod,A1000132.6195,Tisch 5,113,S1000132.38062,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000132.38063,SP1000132.51.38063,SY1000132.2026.38063,iPad1(1000132),132,01.06.26 12:27,Prod,A1000132.6195,Tisch 5,113,S1000132.38063,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000132.38064,SP1000132.51.38064,SY1000132.2026.38064,iPad1(1000132),132,01.06.26 19:13,Prod,A1000132.6196,Tisch 12,112,S1000132.38064,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000132.38065,SP1000132.51.38065,SY1000132.2026.38065,iPad1(1000132),132,01.06.26 19:13,Prod,A1000132.6196,Tisch 12,112,S1000132.38065,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000132.38066,SP1000132.51.38066,SY1000132.2026.38066,iPad1(1000132),132,01.06.26 19:13,Prod,A1000132.6196,Tisch 12,112,S1000132.38066,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000132.38067,SP1000132.51.38067,SY1000132.2026.38067,iPad1(1000132),132,01.06.26 17:07,Prod,A1000132.6197,Tisch 3,112,S1000132.38067,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000132.38068,SP1000132.51.38068,SY1000132.2026.38068,iPad1(1000132),132,01.06.26 17:07,Prod,A1000132.6197,Tisch 3,112,S1000132.38068,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000132.38069,SP1000132.51.38069,SY1000132.2026.38069,iPad1(1000132),132,01.06.26 17:07,Prod,A1000132.6197,Tisch 3,112,S1000132.38069,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000132.38070,SP1000132.51.38070,SY1000132.2026.38070,iPad1(1000132),132,01.06.26 19:39,Prod,A1000132.6198,Tisch 11,108,S1000132.38070,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000132.38071,SP1000132.51.38071,SY1000132.2026.38071,iPad1(1000132),132,01.06.26 19:39,Prod,A1000132.6198,Tisch 11,108,S1000132.38071,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000132.38072,SP1000132.51.38072,SY1000132.2026.38072,iPad1(1000132),132,01.06.26 19:39,Prod,A1000132.6198,Tisch 11,108,S1000132.38072,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000132.38073,SP1000132.51.38073,SY1000132.2026.38073,iPad1(1000132),132,01.06.26 17:51,Prod,A1000132.6199,,103,S1000132.38073,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000132.38074,SP1000132.51.38074,SY1000132.2026.38074,iPad1(1000132),132,01.06.26 17:51,Prod,A1000132.6199,,103,S1000132.38074,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000132.38075,SP1000132.51.38075,SY1000132.2026.38075,iPad1(1000132),132,01.06.26 17:51,Prod,A1000132.6199,,103,S1000132.38075,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000132.38076,SP1000132.51.38076,SY1000132.2026.38076,iPad1(1000132),132,01.06.26 18:26,Prod,A1000132.6200,Tisch 13,113,S1000132.38076,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000132.38077,SP1000132.51.38077,SY1000132.2026.38077,iPad1(1000132),132,01.06.26 18:26,Prod,A1000132.6200,Tisch 13,113,S1000132.38077,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000132.38078,SP1000132.51.38078,SY1000132.2026.38078,iPad1(1000132),132,01.06.26 18:26,Prod,A1000132.6200,Tisch 13,113,S1000132.38078,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000132.38079,SP1000132.51.38079,SY1000132.2026.38079,iPad1(1000132),132,01.06.26 11:12,Prod,A1000132.6201,Tisch 10,114,S1000132.38079,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000132.38080,SP1000132.51.38080,SY1000132.2026.38080,iPad1(1000132),132,01.06.26 11:12,Prod,A1000132.6201,Tisch 10,114,S1000132.38080,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000132.38081,SP1000132.51.38081,SY1000132.2026.38081,iPad1(1000132),132,01.06.26 11:12,Prod,A1000132.6201,Tisch 10,114,S1000132.38081,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000132.38082,SP1000132.51.38082,SY1000132.2026.38082,iPad1(1000132),132,01.06.26 12:09,Prod,A1000132.6202,Tisch 9,114,S1000132.38082,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000132.38083,SP1000132.51.38083,SY1000132.2026.38083,iPad1(1000132),132,01.06.26 12:45,Prod,A1000132.6203,Tisch 10,120,S1000132.38083,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000132.38084,SP1000132.51.38084,SY1000132.2026.38084,iPad1(1000132),132,01.06.26 12:45,Prod,A1000132.6203,Tisch 10,120,S1000132.38084,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000132.38085,SP1000132.51.38085,SY1000132.2026.38085,iPad1(1000132),132,01.06.26 15:08,Prod,A1000132.6204,,112,S1000132.38085,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000132.38086,SP1000132.51.38086,SY1000132.2026.38086,iPad1(1000132),132,01.06.26 19:47,Prod,A1000132.6205,,108,S1000132.38086,VOID,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000132.38087,SP1000132.51.38087,SY1000132.2026.38087,iPad1(1000132),132,01.06.26 19:47,Prod,A1000132.6205,,108,S1000132.38087,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000132.38088,SP1000132.51.38088,SY1000132.2026.38088,iPad1(1000132),132,01.06.26 19:36,Prod,A1000132.6206,,113,S1000132.38088,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000132.38089,SP1000132.51.38089,SY1000132.2026.38089,iPad1(1000132),132,01.06.26 19:36,Prod,A1000132.6206,,113,S1000132.38089,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000132.38090,SP1000132.51.38090,SY1000132.2026.38090,iPad1(1000132),132,01.06.26 15:48,Prod,A1000132.6207,Tisch 14,103,S1000132.38090,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000132.38091,SP1000132.51.38091,SY1000132.2026.38091,iPad1(1000132),132,01.06.26 12:35,Prod,A1000132.6208,Tisch 2,108,S1000132.38091,VOID,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000132.38092,SP1000132.51.38092,SY1000132.2026.38092,iPad1(1000132),132,01.06.26 12:35,Prod,A1000132.6208,Tisch 2,108,S1000132.38092,VOID,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000132.38093,SP1000132.51.38093,SY1000132.2026.38093,iPad1(1000132),132,01.06.26 12:35,Prod,A1000132.6208,Tisch 2,108,S1000132.38093,VOID,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000132.38094,SP1000132.51.38094,SY1000132.2026.38094,iPad1(1000132),132,01.06.26 18:21,Prod,A1000132.6209,Tisch 14,112,S1000132.38094,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000132.38095,SP1000132.51.38095,SY1000132.2026.38095,iPad1(1000132),132,01.06.26 10:36,Prod,A1000132.6210,Tisch 17,103,S1000132.38095,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000132.38096,SP1000132.51.38096,SY1000132.2026.38096,iPad1(1000132),132,01.06.26 10:36,Prod,A1000132.6210,Tisch 17,103,S1000132.38096,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000132.38097,SP1000132.51.38097,SY1000132.2026.38097,iPad1(1000132),132,01.06.26 10:36,Prod,A1000132.6210,Tisch 17,103,S1000132.38097,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000132.38098,SP1000132.51.38098,SY1000132.2026.38098,iPad1(1000132),132,01.06.26 15:30,Prod,A1000132.6211,Tisch 9,113,S1000132.38098,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000132.38099,SP1000132.51.38099,SY1000132.2026.38099,iPad1(1000132),132,01.06.26 15:30,Prod,A1000132.6211,Tisch 9,113,S1000132.38099,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000132.38100,SP1000132.51.38100,SY1000132.2026.38100,iPad1(1000132),132,01.06.26 12:51,Prod,A1000132.6212,Tisch 13,114,S1000132.38100,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000132.38101,SP1000132.51.38101,SY1000132.2026.38101,iPad1(1000132),132,01.06.26 12:51,Prod,A1000132.6212,Tisch 13,114,S1000132.38101,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
