Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000369.31516,SP1000369.29.31516,SY1000369.2026.31516,iPad1(1000369),369,01.06.26 17:57,Prod,A1000369.6711,Tisch 7,101,S1000369.31516,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000369.31517,SP1000369.29.31517,SY1000369.2026.31517,iPad1(1000369),369,01.06.26 17:57,Prod,A1000369.6711,Tisch 7,101,S1000369.31517,VOID,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000369.31518,SP1000369.29.31518,SY1000369.2026.31518,iPad1(1000369),369,01.06.26 17:57,Prod,A1000369.6711,Tisch 7,101,S1000369.31518,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000369.31519,SP1000369.29.31519,SY1000369.2026.31519,iPad1(1000369),369,01.06.26 14:50,Prod,A1000369.6712,Tisch 23,113,S1000369.31519,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000369.31520,SP1000369.29.31520,SY1000369.2026.31520,iPad1(1000369),369,01.06.26 11:26,Prod,A1000369.6713,Tisch 11,101,S1000369.31520,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000369.31521,SP1000369.29.31521,SY1000369.2026.31521,iPad1(1000369),369,01.06.26 11:26,Prod,A1000369.6713,Tisch 11,101,S1000369.31521,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000369.31522,SP1000369.29.31522,SY1000369.2026.31522,iPad1(1000369),369,01.06.26 11:26,Prod,A1000369.6713,Tisch 11,101,S1000369.31522,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000369.31523,SP1000369.29.31523,SY1000369.2026.31523,iPad1(1000369),369,01.06.26 19:20,Prod,A1000369.6714,Tisch 10,105,S1000369.31523,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000369.31524,SP1000369.29.31524,SY1000369.2026.31524,iPad1(1000369),369,01.06.26 19:20,Prod,A1000369.6714,Tisch 10,105,S1000369.31524,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000369.31525,SP1000369.29.31525,SY1000369.2026.31525,iPad1(1000369),369,01.06.26 16:21,Prod,A1000369.6715,Tisch 16,113,S1000369.31525,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
