Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000311.23345,SP1000311.36.23345,SY1000311.2026.23345,iPad1(1000311),311,01.06.26 19:12,Prod,A1000311.6253,Tisch 16,115,S1000311.23345,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000311.23346,SP1000311.36.23346,SY1000311.2026.23346,iPad1(1000311),311,01.06.26 19:12,Prod,A1000311.6253,Tisch 16,115,S1000311.23346,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000311.23347,SP1000311.36.23347,SY1000311.2026.23347,iPad1(1000311),311,01.06.26 19:12,Prod,A1000311.6253,Tisch 16,115,S1000311.23347,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000311.23348,SP1000311.36.23348,SY1000311.2026.23348,iPad1(1000311),311,01.06.26 11:44,Prod,A1000311.6254,Tisch 6,113,S1000311.23348,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000311.23349,SP1000311.36.23349,SY1000311.2026.23349,iPad1(1000311),311,01.06.26 11:44,Prod,A1000311.6254,Tisch 6,113,S1000311.23349,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000311.23350,SP1000311.36.23350,SY1000311.2026.23350,iPad1(1000311),311,01.06.26 15:29,Prod,A1000311.6255,Tisch 20,115,S1000311.23350,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000311.23351,SP1000311.36.23351,SY1000311.2026.23351,iPad1(1000311),311,01.06.26 15:29,Prod,A1000311.6255,Tisch 20,115,S1000311.23351,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000311.23352,SP1000311.36.23352,SY1000311.2026.23352,iPad1(1000311),311,01.06.26 15:29,Prod,A1000311.6255,Tisch 20,115,S1000311.23352,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000311.23353,SP1000311.36.23353,SY1000311.2026.23353,iPad1(1000311),311,01.06.26 16:03,Prod,A1000311.6256,Tisch 13,113,S1000311.23353,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000311.23354,SP1000311.36.23354,SY1000311.2026.23354,iPad1(1000311),311,01.06.26 16:03,Prod,A1000311.6256,Tisch 13,113,S1000311.23354,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
