Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000088.12341,SP1000088.21.12341,SY1000088.2026.12341,iPad1(1000088),88,01.06.26 18:22,Prod,A1000088.6289,Tisch 12,112,S1000088.12341,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000088.12342,SP1000088.21.12342,SY1000088.2026.12342,iPad1(1000088),88,01.06.26 17:41,Prod,A1000088.6290,Tisch 6,112,S1000088.12342,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000088.12343,SP1000088.21.12343,SY1000088.2026.12343,iPad1(1000088),88,01.06.26 17:41,Prod,A1000088.6290,Tisch 6,112,S1000088.12343,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000088.12344,SP1000088.21.12344,SY1000088.2026.12344,iPad1(1000088),88,01.06.26 13:33,Prod,A1000088.6291,Tisch 15,116,S1000088.12344,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000088.12345,SP1000088.21.12345,SY1000088.2026.12345,iPad1(1000088),88,01.06.26 13:33,Prod,A1000088.6291,Tisch 15,116,S1000088.12345,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000088.12346,SP1000088.21.12346,SY1000088.2026.12346,iPad1(1000088),88,01.06.26 11:23,Prod,A1000088.6292,Tisch 18,112,S1000088.12346,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000088.12347,SP1000088.21.12347,SY1000088.2026.12347,iPad1(1000088),88,01.06.26 11:23,Prod,A1000088.6292,Tisch 18,112,S1000088.12347,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000088.12348,SP1000088.21.12348,SY1000088.2026.12348,iPad1(1000088),88,01.06.26 11:23,Prod,A1000088.6292,Tisch 18,112,S1000088.12348,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000088.12349,SP1000088.21.12349,SY1000088.2026.12349,iPad1(1000088),88,01.06.26 12:18,Prod,A1000088.6293,Tisch 2,111,S1000088.12349,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000088.12350,SP1000088.21.12350,SY1000088.2026.12350,iPad1(1000088),88,01.06.26 12:18,Prod,A1000088.6293,Tisch 2,111,S1000088.12350,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000088.12351,SP1000088.21.12351,SY1000088.2026.12351,iPad1(1000088),88,01.06.26 12:18,Prod,A1000088.6293,Tisch 2,111,S1000088.12351,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000088.12352,SP1000088.21.12352,SY1000088.2026.12352,iPad1(1000088),88,01.06.26 17:21,Prod,A1000088.6294,,111,S1000088.12352,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000088.12353,SP1000088.21.12353,SY1000088.2026.12353,iPad1(1000088),88,01.06.26 17:21,Prod,A1000088.6294,,111,S1000088.12353,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000088.12354,SP1000088.21.12354,SY1000088.2026.12354,iPad1(1000088),88,01.06.26 15:22,Prod,A1000088.6295,Tisch 24,107,S1000088.12354,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000088.12355,SP1000088.21.12355,SY1000088.2026.12355,iPad1(1000088),88,01.06.26 15:22,Prod,A1000088.6295,Tisch 24,107,S1000088.12355,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000088.12356,SP1000088.21.12356,SY1000088.2026.12356,iPad1(1000088),88,01.06.26 15:02,Prod,A1000088.6296,,107,S1000088.12356,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000088.12357,SP1000088.21.12357,SY1000088.2026.12357,iPad1(1000088),88,01.06.26 15:02,Prod,A1000088.6296,,107,S1000088.12357,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000088.12358,SP1000088.21.12358,SY1000088.2026.12358,iPad1(1000088),88,01.06.26 15:02,Prod,A1000088.6296,,107,S1000088.12358,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000088.12359,SP1000088.21.12359,SY1000088.2026.12359,iPad1(1000088),88,01.06.26 13:35,Prod,A1000088.6297,Tisch 15,111,S1000088.12359,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000088.12360,SP1000088.21.12360,SY1000088.2026.12360,iPad1(1000088),88,01.06.26 20:13,Prod,A1000088.6298,,112,S1000088.12360,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000088.12361,SP1000088.21.12361,SY1000088.2026.12361,iPad1(1000088),88,01.06.26 20:13,Prod,A1000088.6298,,112,S1000088.12361,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000088.12362,SP1000088.21.12362,SY1000088.2026.12362,iPad1(1000088),88,01.06.26 20:13,Prod,A1000088.6298,,112,S1000088.12362,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000088.12363,SP1000088.21.12363,SY1000088.2026.12363,iPad1(1000088),88,01.06.26 17:34,Prod,A1000088.6299,,116,S1000088.12363,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000088.12364,SP1000088.21.12364,SY1000088.2026.12364,iPad1(1000088),88,01.06.26 17:34,Prod,A1000088.6299,,116,S1000088.12364,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000088.12365,SP1000088.21.12365,SY1000088.2026.12365,iPad1(1000088),88,01.06.26 17:34,Prod,A1000088.6299,,116,S1000088.12365,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000088.12366,SP1000088.21.12366,SY1000088.2026.12366,iPad1(1000088),88,01.06.26 16:33,Prod,A1000088.6300,Tisch 22,116,S1000088.12366,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000088.12367,SP1000088.21.12367,SY1000088.2026.12367,iPad1(1000088),88,01.06.26 16:33,Prod,A1000088.6300,Tisch 22,116,S1000088.12367,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000088.12368,SP1000088.21.12368,SY1000088.2026.12368,iPad1(1000088),88,01.06.26 09:42,Prod,A1000088.6301,Tisch 8,116,S1000088.12368,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000088.12369,SP1000088.21.12369,SY1000088.2026.12369,iPad1(1000088),88,01.06.26 09:42,Prod,A1000088.6301,Tisch 8,116,S1000088.12369,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000088.12370,SP1000088.21.12370,SY1000088.2026.12370,iPad1(1000088),88,01.06.26 09:42,Prod,A1000088.6301,Tisch 8,116,S1000088.12370,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000088.12371,SP1000088.21.12371,SY1000088.2026.12371,iPad1(1000088),88,01.06.26 16:37,Prod,A1000088.6302,Tisch 13,111,S1000088.12371,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000088.12372,SP1000088.21.12372,SY1000088.2026.12372,iPad1(1000088),88,01.06.26 16:23,Prod,A1000088.6303,Tisch 19,109,S1000088.12372,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000088.12373,SP1000088.21.12373,SY1000088.2026.12373,iPad1(1000088),88,01.06.26 16:23,Prod,A1000088.6303,Tisch 19,109,S1000088.12373,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000088.12374,SP1000088.21.12374,SY1000088.2026.12374,iPad1(1000088),88,01.06.26 15:04,Prod,A1000088.6304,Tisch 2,110,S1000088.12374,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000088.12375,SP1000088.21.12375,SY1000088.2026.12375,iPad1(1000088),88,01.06.26 15:04,Prod,A1000088.6304,Tisch 2,110,S1000088.12375,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
