Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000172.35855,SP1000172.32.35855,SY1000172.2026.35855,iPad1(1000172),172,01.06.26 20:43,Prod,A1000172.6871,Tisch 3,104,S1000172.35855,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000172.35856,SP1000172.32.35856,SY1000172.2026.35856,iPad1(1000172),172,01.06.26 16:36,Prod,A1000172.6872,Tisch 19,113,S1000172.35856,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000172.35857,SP1000172.32.35857,SY1000172.2026.35857,iPad1(1000172),172,01.06.26 16:36,Prod,A1000172.6872,Tisch 19,113,S1000172.35857,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000172.35858,SP1000172.32.35858,SY1000172.2026.35858,iPad1(1000172),172,01.06.26 16:36,Prod,A1000172.6872,Tisch 19,113,S1000172.35858,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000172.35859,SP1000172.32.35859,SY1000172.2026.35859,iPad1(1000172),172,01.06.26 12:15,Prod,A1000172.6873,Tisch 19,101,S1000172.35859,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000172.35860,SP1000172.32.35860,SY1000172.2026.35860,iPad1(1000172),172,01.06.26 12:20,Prod,A1000172.6874,Tisch 11,120,S1000172.35860,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000172.35861,SP1000172.32.35861,SY1000172.2026.35861,iPad1(1000172),172,01.06.26 12:20,Prod,A1000172.6874,Tisch 11,120,S1000172.35861,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000172.35862,SP1000172.32.35862,SY1000172.2026.35862,iPad1(1000172),172,01.06.26 12:20,Prod,A1000172.6874,Tisch 11,120,S1000172.35862,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000172.35863,SP1000172.32.35863,SY1000172.2026.35863,iPad1(1000172),172,01.06.26 19:27,Prod,A1000172.6875,Tisch 19,104,S1000172.35863,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000172.35864,SP1000172.32.35864,SY1000172.2026.35864,iPad1(1000172),172,01.06.26 19:27,Prod,A1000172.6875,Tisch 19,104,S1000172.35864,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000172.35865,SP1000172.32.35865,SY1000172.2026.35865,iPad1(1000172),172,01.06.26 19:27,Prod,A1000172.6875,Tisch 19,104,S1000172.35865,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000172.35866,SP1000172.32.35866,SY1000172.2026.35866,iPad1(1000172),172,01.06.26 12:06,Prod,A1000172.6876,Tisch 11,101,S1000172.35866,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000172.35867,SP1000172.32.35867,SY1000172.2026.35867,iPad1(1000172),172,01.06.26 12:06,Prod,A1000172.6876,Tisch 11,101,S1000172.35867,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000172.35868,SP1000172.32.35868,SY1000172.2026.35868,iPad1(1000172),172,01.06.26 13:20,Prod,A1000172.6877,Tisch 14,104,S1000172.35868,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000172.35869,SP1000172.32.35869,SY1000172.2026.35869,iPad1(1000172),172,01.06.26 13:40,Prod,A1000172.6878,Tisch 4,104,S1000172.35869,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000172.35870,SP1000172.32.35870,SY1000172.2026.35870,iPad1(1000172),172,01.06.26 13:40,Prod,A1000172.6878,Tisch 4,104,S1000172.35870,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000172.35871,SP1000172.32.35871,SY1000172.2026.35871,iPad1(1000172),172,01.06.26 20:53,Prod,A1000172.6879,,112,S1000172.35871,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000172.35872,SP1000172.32.35872,SY1000172.2026.35872,iPad1(1000172),172,01.06.26 20:53,Prod,A1000172.6879,,112,S1000172.35872,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000172.35873,SP1000172.32.35873,SY1000172.2026.35873,iPad1(1000172),172,01.06.26 20:53,Prod,A1000172.6879,,112,S1000172.35873,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000172.35874,SP1000172.32.35874,SY1000172.2026.35874,iPad1(1000172),172,01.06.26 19:42,Prod,A1000172.6880,Tisch 13,113,S1000172.35874,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000172.35875,SP1000172.32.35875,SY1000172.2026.35875,iPad1(1000172),172,01.06.26 19:42,Prod,A1000172.6880,Tisch 13,113,S1000172.35875,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
