Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000246.25282,SP1000246.45.25282,SY1000246.2026.25282,iPad1(1000246),246,01.06.26 15:30,Prod,A1000246.6228,Tisch 14,103,S1000246.25282,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000246.25283,SP1000246.45.25283,SY1000246.2026.25283,iPad1(1000246),246,01.06.26 11:50,Prod,A1000246.6229,Tisch 22,103,S1000246.25283,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000246.25284,SP1000246.45.25284,SY1000246.2026.25284,iPad1(1000246),246,01.06.26 17:25,Prod,A1000246.6230,Tisch 22,115,S1000246.25284,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000246.25285,SP1000246.45.25285,SY1000246.2026.25285,iPad1(1000246),246,01.06.26 17:25,Prod,A1000246.6230,Tisch 22,115,S1000246.25285,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000246.25286,SP1000246.45.25286,SY1000246.2026.25286,iPad1(1000246),246,01.06.26 17:25,Prod,A1000246.6230,Tisch 22,115,S1000246.25286,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000246.25287,SP1000246.45.25287,SY1000246.2026.25287,iPad1(1000246),246,01.06.26 19:51,Prod,A1000246.6231,Tisch 21,116,S1000246.25287,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000246.25288,SP1000246.45.25288,SY1000246.2026.25288,iPad1(1000246),246,01.06.26 19:51,Prod,A1000246.6231,Tisch 21,116,S1000246.25288,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000246.25289,SP1000246.45.25289,SY1000246.2026.25289,iPad1(1000246),246,01.06.26 19:51,Prod,A1000246.6231,Tisch 21,116,S1000246.25289,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000246.25290,SP1000246.45.25290,SY1000246.2026.25290,iPad1(1000246),246,01.06.26 18:16,Prod,A1000246.6232,Tisch 9,116,S1000246.25290,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000246.25291,SP1000246.45.25291,SY1000246.2026.25291,iPad1(1000246),246,01.06.26 18:16,Prod,A1000246.6232,Tisch 9,116,S1000246.25291,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
