Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000368.76714,SP1000368.46.76714,SY1000368.2026.76714,iPad1(1000368),368,01.06.26 16:02,Prod,A1000368.6556,Tisch 10,111,S1000368.76714,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000368.76715,SP1000368.46.76715,SY1000368.2026.76715,iPad1(1000368),368,01.06.26 19:17,Prod,A1000368.6557,Tisch 17,105,S1000368.76715,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000368.76716,SP1000368.46.76716,SY1000368.2026.76716,iPad1(1000368),368,01.06.26 19:17,Prod,A1000368.6557,Tisch 17,105,S1000368.76716,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000368.76717,SP1000368.46.76717,SY1000368.2026.76717,iPad1(1000368),368,01.06.26 19:17,Prod,A1000368.6557,Tisch 17,105,S1000368.76717,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000368.76718,SP1000368.46.76718,SY1000368.2026.76718,iPad1(1000368),368,01.06.26 13:48,Prod,A1000368.6558,,105,S1000368.76718,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000368.76719,SP1000368.46.76719,SY1000368.2026.76719,iPad1(1000368),368,01.06.26 16:51,Prod,A1000368.6559,Tisch 21,108,S1000368.76719,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000368.76720,SP1000368.46.76720,SY1000368.2026.76720,iPad1(1000368),368,01.06.26 11:50,Prod,A1000368.6560,Tisch 3,109,S1000368.76720,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000368.76721,SP1000368.46.76721,SY1000368.2026.76721,iPad1(1000368),368,01.06.26 11:27,Prod,A1000368.6561,Tisch 10,108,S1000368.76721,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000368.76722,SP1000368.46.76722,SY1000368.2026.76722,iPad1(1000368),368,01.06.26 11:27,Prod,A1000368.6561,Tisch 10,108,S1000368.76722,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000368.76723,SP1000368.46.76723,SY1000368.2026.76723,iPad1(1000368),368,01.06.26 11:27,Prod,A1000368.6561,Tisch 10,108,S1000368.76723,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000368.76724,SP1000368.46.76724,SY1000368.2026.76724,iPad1(1000368),368,01.06.26 12:32,Prod,A1000368.6562,Tisch 8,114,S1000368.76724,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000368.76725,SP1000368.46.76725,SY1000368.2026.76725,iPad1(1000368),368,01.06.26 12:32,Prod,A1000368.6562,Tisch 8,114,S1000368.76725,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000368.76726,SP1000368.46.76726,SY1000368.2026.76726,iPad1(1000368),368,01.06.26 12:32,Prod,A1000368.6562,Tisch 8,114,S1000368.76726,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000368.76727,SP1000368.46.76727,SY1000368.2026.76727,iPad1(1000368),368,01.06.26 20:49,Prod,A1000368.6563,Tisch 11,114,S1000368.76727,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000368.76728,SP1000368.46.76728,SY1000368.2026.76728,iPad1(1000368),368,01.06.26 20:49,Prod,A1000368.6563,Tisch 11,114,S1000368.76728,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000368.76729,SP1000368.46.76729,SY1000368.2026.76729,iPad1(1000368),368,01.06.26 20:49,Prod,A1000368.6563,Tisch 11,114,S1000368.76729,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000368.76730,SP1000368.46.76730,SY1000368.2026.76730,iPad1(1000368),368,01.06.26 16:38,Prod,A1000368.6564,,105,S1000368.76730,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000368.76731,SP1000368.46.76731,SY1000368.2026.76731,iPad1(1000368),368,01.06.26 16:38,Prod,A1000368.6564,,105,S1000368.76731,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
