Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000312.55288,SP1000312.35.55288,SY1000312.2026.55288,iPad1(1000312),312,01.06.26 13:26,Prod,A1000312.6519,Tisch 15,118,S1000312.55288,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000312.55289,SP1000312.35.55289,SY1000312.2026.55289,iPad1(1000312),312,01.06.26 13:26,Prod,A1000312.6519,Tisch 15,118,S1000312.55289,VOID,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000312.55290,SP1000312.35.55290,SY1000312.2026.55290,iPad1(1000312),312,01.06.26 13:26,Prod,A1000312.6519,Tisch 15,118,S1000312.55290,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000312.55291,SP1000312.35.55291,SY1000312.2026.55291,iPad1(1000312),312,01.06.26 20:04,Prod,A1000312.6520,Tisch 24,109,S1000312.55291,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000312.55292,SP1000312.35.55292,SY1000312.2026.55292,iPad1(1000312),312,01.06.26 20:04,Prod,A1000312.6520,Tisch 24,109,S1000312.55292,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000312.55293,SP1000312.35.55293,SY1000312.2026.55293,iPad1(1000312),312,01.06.26 20:04,Prod,A1000312.6520,Tisch 24,109,S1000312.55293,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000312.55294,SP1000312.35.55294,SY1000312.2026.55294,iPad1(1000312),312,01.06.26 16:46,Prod,A1000312.6521,Tisch 15,114,S1000312.55294,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000312.55295,SP1000312.35.55295,SY1000312.2026.55295,iPad1(1000312),312,01.06.26 20:01,Prod,A1000312.6522,,118,S1000312.55295,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000312.55296,SP1000312.35.55296,SY1000312.2026.55296,iPad1(1000312),312,01.06.26 20:01,Prod,A1000312.6522,,118,S1000312.55296,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000312.55297,SP1000312.35.55297,SY1000312.2026.55297,iPad1(1000312),312,01.06.26 20:01,Prod,A1000312.6522,,118,S1000312.55297,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000312.55298,SP1000312.35.55298,SY1000312.2026.55298,iPad1(1000312),312,01.06.26 12:37,Prod,A1000312.6523,Tisch 9,104,S1000312.55298,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000312.55299,SP1000312.35.55299,SY1000312.2026.55299,iPad1(1000312),312,01.06.26 12:37,Prod,A1000312.6523,Tisch 9,104,S1000312.55299,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000312.55300,SP1000312.35.55300,SY1000312.2026.55300,iPad1(1000312),312,01.06.26 18:50,Prod,A1000312.6524,Tisch 1,118,S1000312.55300,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000312.55301,SP1000312.35.55301,SY1000312.2026.55301,iPad1(1000312),312,01.06.26 12:42,Prod,A1000312.6525,Tisch 15,114,S1000312.55301,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000312.55302,SP1000312.35.55302,SY1000312.2026.55302,iPad1(1000312),312,01.06.26 12:42,Prod,A1000312.6525,Tisch 15,114,S1000312.55302,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000312.55303,SP1000312.35.55303,SY1000312.2026.55303,iPad1(1000312),312,01.06.26 09:39,Prod,A1000312.6526,,113,S1000312.55303,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000312.55304,SP1000312.35.55304,SY1000312.2026.55304,iPad1(1000312),312,01.06.26 11:21,Prod,A1000312.6527,,118,S1000312.55304,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000312.55305,SP1000312.35.55305,SY1000312.2026.55305,iPad1(1000312),312,01.06.26 13:58,Prod,A1000312.6528,,118,S1000312.55305,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
