Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000310.87963,SP1000310.25.87963,SY1000310.2026.87963,iPad1(1000310),310,01.06.26 20:12,Prod,A1000310.6892,,118,S1000310.87963,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000310.87964,SP1000310.25.87964,SY1000310.2026.87964,iPad1(1000310),310,01.06.26 20:12,Prod,A1000310.6892,,118,S1000310.87964,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000310.87965,SP1000310.25.87965,SY1000310.2026.87965,iPad1(1000310),310,01.06.26 20:12,Prod,A1000310.6892,,118,S1000310.87965,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000310.87966,SP1000310.25.87966,SY1000310.2026.87966,iPad1(1000310),310,01.06.26 16:52,Prod,A1000310.6893,Tisch 13,118,S1000310.87966,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000310.87967,SP1000310.25.87967,SY1000310.2026.87967,iPad1(1000310),310,01.06.26 16:52,Prod,A1000310.6893,Tisch 13,118,S1000310.87967,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000310.87968,SP1000310.25.87968,SY1000310.2026.87968,iPad1(1000310),310,01.06.26 16:52,Prod,A1000310.6893,Tisch 13,118,S1000310.87968,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000310.87969,SP1000310.25.87969,SY1000310.2026.87969,iPad1(1000310),310,01.06.26 19:31,Prod,A1000310.6894,Tisch 10,115,S1000310.87969,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000310.87970,SP1000310.25.87970,SY1000310.2026.87970,iPad1(1000310),310,01.06.26 19:31,Prod,A1000310.6894,Tisch 10,115,S1000310.87970,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000310.87971,SP1000310.25.87971,SY1000310.2026.87971,iPad1(1000310),310,01.06.26 19:31,Prod,A1000310.6894,Tisch 10,115,S1000310.87971,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000310.87972,SP1000310.25.87972,SY1000310.2026.87972,iPad1(1000310),310,01.06.26 18:10,Prod,A1000310.6895,Tisch 11,117,S1000310.87972,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
