Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000356.70057,SP1000356.32.70057,SY1000356.2026.70057,iPad1(1000356),356,01.06.26 17:41,Prod,A1000356.6890,Tisch 7,118,S1000356.70057,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000356.70058,SP1000356.32.70058,SY1000356.2026.70058,iPad1(1000356),356,01.06.26 17:41,Prod,A1000356.6890,Tisch 7,118,S1000356.70058,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000356.70059,SP1000356.32.70059,SY1000356.2026.70059,iPad1(1000356),356,01.06.26 11:08,Prod,A1000356.6891,Tisch 4,115,S1000356.70059,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000356.70060,SP1000356.32.70060,SY1000356.2026.70060,iPad1(1000356),356,01.06.26 11:08,Prod,A1000356.6891,Tisch 4,115,S1000356.70060,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000356.70061,SP1000356.32.70061,SY1000356.2026.70061,iPad1(1000356),356,01.06.26 19:43,Prod,A1000356.6892,Tisch 14,112,S1000356.70061,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000356.70062,SP1000356.32.70062,SY1000356.2026.70062,iPad1(1000356),356,01.06.26 19:43,Prod,A1000356.6892,Tisch 14,112,S1000356.70062,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000356.70063,SP1000356.32.70063,SY1000356.2026.70063,iPad1(1000356),356,01.06.26 19:43,Prod,A1000356.6892,Tisch 14,112,S1000356.70063,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000356.70064,SP1000356.32.70064,SY1000356.2026.70064,iPad1(1000356),356,01.06.26 20:16,Prod,A1000356.6893,Tisch 7,112,S1000356.70064,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000356.70065,SP1000356.32.70065,SY1000356.2026.70065,iPad1(1000356),356,01.06.26 17:40,Prod,A1000356.6894,Tisch 19,108,S1000356.70065,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000356.70066,SP1000356.32.70066,SY1000356.2026.70066,iPad1(1000356),356,01.06.26 17:40,Prod,A1000356.6894,Tisch 19,108,S1000356.70066,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000356.70067,SP1000356.32.70067,SY1000356.2026.70067,iPad1(1000356),356,01.06.26 16:57,Prod,A1000356.6895,Tisch 10,112,S1000356.70067,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
