Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000287.49203,SP1000287.36.49203,SY1000287.2026.49203,iPad1(1000287),287,01.06.26 19:26,Prod,A1000287.6450,Tisch 21,102,S1000287.49203,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000287.49204,SP1000287.36.49204,SY1000287.2026.49204,iPad1(1000287),287,01.06.26 19:26,Prod,A1000287.6450,Tisch 21,102,S1000287.49204,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000287.49205,SP1000287.36.49205,SY1000287.2026.49205,iPad1(1000287),287,01.06.26 17:21,Prod,A1000287.6451,Tisch 10,107,S1000287.49205,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000287.49206,SP1000287.36.49206,SY1000287.2026.49206,iPad1(1000287),287,01.06.26 17:21,Prod,A1000287.6451,Tisch 10,107,S1000287.49206,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000287.49207,SP1000287.36.49207,SY1000287.2026.49207,iPad1(1000287),287,01.06.26 17:23,Prod,A1000287.6452,Tisch 16,106,S1000287.49207,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000287.49208,SP1000287.36.49208,SY1000287.2026.49208,iPad1(1000287),287,01.06.26 17:23,Prod,A1000287.6452,Tisch 16,106,S1000287.49208,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000287.49209,SP1000287.36.49209,SY1000287.2026.49209,iPad1(1000287),287,01.06.26 17:57,Prod,A1000287.6453,Tisch 7,118,S1000287.49209,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000287.49210,SP1000287.36.49210,SY1000287.2026.49210,iPad1(1000287),287,01.06.26 08:29,Prod,A1000287.6454,Tisch 9,102,S1000287.49210,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000287.49211,SP1000287.36.49211,SY1000287.2026.49211,iPad1(1000287),287,01.06.26 12:42,Prod,A1000287.6455,Tisch 14,102,S1000287.49211,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000287.49212,SP1000287.36.49212,SY1000287.2026.49212,iPad1(1000287),287,01.06.26 12:42,Prod,A1000287.6455,Tisch 14,102,S1000287.49212,VOID,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
